ext_id,coordinates,tags
682977,59.9180035 10.7401616,"image:https://photos.app.goo.gl/9E4uJyGiRutpAVeQ9;name:St. Olavs plass;source:bing;tourism:artwork;wikidata:Q12002560;wikimedia_commons:Category:St. Olavs plass, Oslo"
1028887,59.9421794 10.7422899,artwork_type:sculpture;tourism:artwork
25416923,59.913388 10.72853,"amenity:cinema;email:post@kinovictoria.no;facebook:http://www.facebook.com/KinoVictoria;name:Vika kino;opening_hours:Mo-Fr 11:30-22:00; Sa,Su,PH 12:30-22:00;operator:Oslo Kino;start_date:2013-12-13;wikidata:Q12009749;wikimedia_commons:Category:Kino Victoria Oslo"
25416924,59.913468 10.732893,amenity:cinema;check_date:2022-12-19;name:Klingenberg kino;website:https://www.nfkino.no/kino/klingenberg;wheelchair:limited;wikidata:Q11981166;wikimedia_commons:Category:Klingenberg kino
25416925,59.914122 10.732463,amenity:cinema;check_date:2022-12-19;name:Saga Kino;name:en:Saga Cinema;name:no:Saga Kino;opening_hours:Mo-Sa 09:30-21:30; Su 10:30-21:30;website:https://www.nfkino.no/kino/saga;wheelchair:yes;wikidata:Q11999074;wikimedia_commons:Category:Saga kino
25527120,59.9107282 10.7325217,artwork_type:sculpture;description:A tiny sculpture of a merman https://www.dagsavisen.no/oslo/mysteriet-med-den-skjeggete-lille-havfruen-1.1150688;material:metal;tourism:artwork
25702718,59.930368 10.867714,amenity:fuel;branch:E6 Furuset;brand:Circle K;car_wash:yes;email:54428@circlekeurope.com;fuel:HGV_diesel:yes;fuel:adblue:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:propane:yes;fuel:taxfree_diesel:yes;hgv:yes;internet_access:wlan;name:Circle K E6 Furuset;opening_hours:24/7;phone:+4722442444;ref:circlek:54428;shop:yes
28380722,59.918655 10.709961,amenity:cinema;name:Frogner kino;wikidata:Q14449028
29050983,59.947061 10.759695,amenity:fuel;branch:Bjølsen;brand:Shell;car_wash:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;name:Shell Bjølsen;opening_hours:24/7;phone:+47 22589357;ref:st1:9159
29583698,59.9362482 10.8894328,amenity:fuel;branch:Oslo;brand:Automat1;name:Automat1 Oslo
30310859,59.9357546 10.7115263,fee:yes;museum:art;name:Det internasjonale barnekunstmuseet;name:en:The International Museum of Children's Art;name:no:Det internasjonale barnekunstmuseet;tourism:museum;website:https://barnekunst.no/;wikidata:Q11960263
31026175,59.928846 10.750035,amenity:fuel;branch:Kiellands plass;brand:Circle K;brand:wikidata:Q3268010;car_wash:yes;email:51435@circlekeurope.com;fuel:HGV_diesel:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:propane:yes;hgv:yes;internet_access:wlan;name:Circle K Kiellands plass;opening_hours:24/7;phone:+4722809850;ref:circlek:51435;trailer:rental:yes;vacuum_cleaner:yes
31385667,59.922228 10.771457,alt_name:Esso Sofienberg;amenity:fuel;branch:Trondheimsveien;brand:Esso;brand:wikidata:Q867662;check_date:2023-07-11;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;fuel:propane:yes;name:Esso Trondheimsveien;opening_hours:24/7;phone:+47 23302023;ref:esso:100115115;trailer:rental:yes
33244753,59.931157 10.822649,amenity:fuel;branch:Oslo;brand:Automat1;name:Automat1 Oslo;opening_hours:24/7;wheelchair:yes
33245456,59.9394772 10.8291547,created_by:JOSM;name:Thon Hotell Linne;tourism:hotel
33246233,59.942024 10.809353,amenity:fuel;branch:Bjerke;brand:Circle K;brand:wikidata:Q3268010;car_wash:yes;compressed_air:no;email:55474@circlekeurope.com;fuel:diesel:yes;fuel:octane_95:yes;fuel:propane:yes;internet_access:wlan;name:Circle K Bjerke;opening_hours:24/7;phone:+4722646210;ref:circlek:55474
33730394,59.918446 10.734108,"brand:Radisson Blu;brand:wikidata:Q7281341;brand:wikipedia:en:Radisson Blu;name:Radisson Blu Scandinavia Hotel, Oslo;tourism:hotel;website:https://www.radissonblu.com/scandinaviahotel-oslo;wheelchair:yes;wikidata:Q4573522;wikimedia_commons:Category:Radisson SAS Hotel Scandinavia, Oslo;wikipedia:en:Radisson Blu Scandinavia Hotel, Oslo"
33730408,59.919171 10.7342715,historic:monument
34138914,59.324824 10.954802,alt_name:Shell (LPG) Sollibrua Bilistsenter AS;amenity:fuel;branch:Sollibrua;brand:Shell;compressed_air:yes;fuel:HGV_diesel:yes;fuel:adblue:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;fuel:taxfree_diesel:yes;hgv:yes;name:Shell Sollibrua;opening_hours:24/7;phone:+47 69147286;ref:st1:9190;shop:yes;wheelchair:yes
34693409,59.9152186 10.7386249,amenity:theatre;check_date:2023-05-28;name:Det Norske Teatret;phone:+47 22424344;website:https://www.detnorsketeatret.no/;wheelchair:yes;wikidata:Q1201058;wikipedia:en:Det Norske Teatret
35334541,59.948267 10.778864,amenity:fuel;branch:Grefsen;brand:Esso;brand:wikidata:Q867662;brand:wikipedia:en:Esso;car_wash:yes;compressed_air:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;name:Esso Grefsen;opening_hours:24/7;phone:+47 22155300;ref:esso:100115250
35334542,59.946088 10.776545,amenity:fuel;branch:Storo;brand:Circle K;brand:wikidata:Q3268010;brand:wikipedia:en:Circle K;car_wash:yes;email:arig@circlekeurope.com;fuel:HGV_diesel:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:propane:yes;hgv:yes;internet_access:wlan;name:Circle K Storo;opening_hours:24/7;phone:+4722153590;ref:circlek:53105;trailer:rental:yes;wheelchair:yes
35784735,59.9286096 10.6597329,"amenity:fuel;branch:Ullern øst;brand:YX 7-Eleven;car_wash:yes;email:711no7592@7-eleven.no;fuel:HGV_diesel:yes;fuel:diesel:yes;fuel:octane_95:yes;hgv:yes;name:YX 7-Eleven Ullern øst;opening_hours:Mo-Fr 06:00-23:00, Sa-Su 08:00-23:00;phone:+47 22733609;ref:yx:10417592;shop:yes"
35784739,59.937715 10.6844182,amenity:fuel;branch:Smestad;brand:Circle K;brand:wikidata:Q3268010;brand:wikipedia:en:Circle K;car_wash:yes;email:51434@circlekeurope.com;fuel:diesel:yes;fuel:octane_95:yes;fuel:propane:yes;internet_access:wlan;name:Circle K Smestad;opening_hours:24/7;phone:+4723222140;ref:circlek:51434;trailer:rental:yes
36440127,59.3776187 10.7734371,aeroway:light:obstacle;aeroway:light:character:fixed;aeroway:light:colour:red;ele:54;height:28;man_made:tower;name:Rygge flytårn;tower:type:observation
60753744,59.917047 10.742028,check_date:2023-05-28;name:Thon Hotel Munch;tourism:hotel;website:https://www.thonhotels.no/munch
