ext_id,coordinates,tags
node/625056,42.5330014 1.5784228,bus:yes;highway:bus_stop;public_transport:stop_position
node/51404642,42.5073157 1.5280457,bus:yes;highway:bus_stop;public_transport:stop_position
node/51408872,42.5143731 1.5488713,name:Mirador Coll de Jou;tourism:viewpoint
node/53275640,42.5479837 1.5907555,name:Toll Bullidor;name:ca:Toll Bullidor;tourism:attraction;waterway:waterfall
node/258356188,42.5370251 1.490656,leisure:sports_centre;name:Vallnord: Sector Pal;name:ca:Vallnord: Sector Pal;sport:skiing
node/258356379,42.5736172 1.4707472,leisure:sports_centre;name:Vallnord: Sector Arinsal;name:ca:Vallnord: Sector Arinsal;sport:skiing
node/258357981,42.6313913 1.5003889,leisure:sports_centre;name:Vallnord: Sector Arcalís;name:ca:Vallnord: Sector Arcalís;sport:skiing
node/262472865,42.5549682 1.5722207,name:Coll d'Ordino;name:ca:Coll d'Ordino;tourism:viewpoint
node/262473157,42.5690931 1.5877545,artist_name:Jorge Dubon;artwork_type:totem_pole;name:Estructures Autogeneradores;tourism:artwork
node/268096174,42.5684921 1.4896011,created_by:Potlatch 0.9c;name:Hotel Xalet Besoli;tourism:hotel;wikidata:Q111877849
node/271939031,42.57958 1.6400616,addr:city:Ransol;amenity:fuel;brand:BP;brand:wikidata:Q152057;brand:wikipedia:en:BP;name:BP;operator:BP
node/278752636,42.5776839 1.6506788,created_by:Potlatch 0.9c;name:Hotel Nordic;tourism:hotel
node/281694408,42.5558367 1.5352907,addr:city:Ordino;addr:postcode:AD300;addr:street:Carrer del Camp de la Tanada;dog:allowed;email:hotelcoma@hotelcoma.com;internet_access:wlan;internet_access:fee:no;name:Hotel la Coma;phone:+376 736 100;tourism:hotel;website:https://hotelcoma.com/
node/283680492,42.5569178 1.5347739,amenity:arts_centre;created_by:Potlatch 0.10b;name:Auditori Nacional d'Andorra;name:ca:Auditori Nacional d'Andorra;wikidata:Q17587283;wikipedia:ca:Auditori Nacional d'Andorra
node/292503717,42.5466649 1.7306629,amenity:fuel;brand:Gasopas;operator:Gasopas
node/442881217,42.5476038 1.513549,addr:city:La Massana;addr:housenumber:1;addr:postcode:AD400;addr:street:Avinguda del Ravell;internet_access:wlan;internet_access:fee:customers;name:Hotel Magic Ski;phone:+376 734900;rooms:84;stars:4;tourism:hotel;website:https://www.hotelmagicski.com/;wikidata:Q111877841
node/442881670,42.5470493 1.5137876,name:Hotel Font;tourism:hotel;wikidata:Q111112016
node/442881710,42.5471619 1.5149412,addr:city:La Massana;addr:housenumber:7;addr:postcode:AD400;addr:street:Avinguda el Travès;internet_access:wlan;internet_access:fee:customers;name:Hotel Magic;phone:+376 735900;rooms:108;stars:4;tourism:hotel;website:https://www.hotelmagicmassana.com/;wikidata:Q111412168
node/442881842,42.5426353 1.5170824,name:Hotel Marco Polo;phone:+376 738 363;rooms:128;stars:3;tourism:hotel;website:https://www.hotelmarcopolo.com/;wikidata:Q111877833
node/442882272,42.5366401 1.5167992,name:Hotel Burna;tourism:hotel
node/442882581,42.543523 1.5228025,addr:city:L’Aldosa;addr:postcode:AD400;name:Residential de l'Aldosa;tourism:hotel
node/470343766,42.589862 1.517808,tourism:viewpoint
node/522788283,42.5771889 1.4797788,bus:yes;highway:bus_stop;public_transport:platform
node/529940889,42.5562347 1.5367648,amenity:school
node/590463656,42.5714552 1.4858474,name:Hotel Solana;tourism:hotel
node/590463661,42.5742341 1.4830294,"addr:street:Prat Del Verdú, Carretera General D'Arinsal, AD400 Arinsal, Andorra;name:Hotel Xalet Verdu;phone:+376 737 140;tourism:hotel;website:https://xaletverdu.com;wikidata:Q111412178"
node/590463663,42.577688 1.4788261,name:Hotel Yomo Patagonia;phone:00376882000;tourism:hotel;website:https://www.yomohotels.com/en/hotels/patagonia/
node/590463669,42.5732923 1.4831734,name:Hotel Ayma;tourism:hotel
node/590538926,42.5737679 1.4826865,name:Hotel Arinsal;tourism:hotel;wikidata:Q111877853
node/663953196,42.6324748 1.4958015,"artist_name:Mauro Staccioli;inscription:ca:Simposi d'esculture amb motiu del 25è aniversari de la Caixa Andorrana de Seguretat Social.;inscription:ca:2:La circumferència, símbol de la perfecció i de l'eternitat, és, en aquest espai, una finestra al paisatge que l'envolta, que juga amb la llei de la gravetat en estar col-locada com si estigès apunt d’iniciar el descens per la vall.;inscription:en:This work was created at the sculpture symposium that was held to commemorate the 25th anniversary of the Andorran Social Security.;inscription:en:2:This, ring a symbol of perfection and eternity, forms a window on the surrounding landscape in this place. Positioned as if it were about to roll down the valley, it seems to play with the law of gravity.;inscription:es:Simposio de esculturas con motivo del 25 aniversario de la Caja Andorrana de Seguridad Social.;inscription:es:2:La circunferencia, símbolo da la perfección y de la eternidad, es, en este espacio, una ventana al paisaje que la rodea, que juega con la ley de la gravedad al estar colocada como si fuera a iniciar el descenso por el valle.;inscription:fr:Symposium de sculpture à l'occasion du 25e anniversaire de la Caisse Andorrane Sécurité Sociale.;inscription:fr:2:La circonférence, symbole de la perfection et de l’éternité, constitue en ces lieux une fenêtre sur le paysages qui l’entoure;elle joue avec la loi de la pesanteur et semble, vu sa position, prête à rouler en direction de la vallée.;name:l'Anella d'Ordino;start_date:1991;tourism:artwork"
node/690708508,42.5435351 1.7345643,amenity:school;name:Centre de Autoaprenentatge
node/690708523,42.5429738 1.7320093,amenity:bank;atm:yes;operator:AndBanc
node/690708533,42.5393546 1.7333881,addr:city:Pas de La Casa;addr:housenumber:39;addr:postcode:AD200;addr:street:Avinguda d'Encamp;internet_access:wlan;name:Apartaments Frontera Blanca;name:ca:Apartaments Frontera Blanca;stars:2;tourism:hotel
node/690708538,42.5425731 1.731984,name:Màgic Pas;name:ca:Màgic Pas;stars:4;tourism:hotel
node/820954183,42.576807 1.666509,addr:city:Soldeu;addr:postcode:AD100;name:Hotel Bruxelles;tourism:hotel
node/895601487,42.5174397 1.5684365,highway:bus_stop;shelter:no
node/899526058,42.6334407 1.5114513,"description:2021-09 : Solide abris en pierre . Place pour 4-5 matelas sur une réhausse en béton. Emplacement pour feu. Bancs et table. Proche rivière.  Bémol : Très sombre, pas super propre et route à proximité.;ele:1838;fireplace:yes;name:Cabana de la Pleta del Castellar;tourism:wilderness_hut;wikidata:Q3649144;wikipedia:ca:Cabana del Castellar"
node/1051444040,42.5784829 1.6576396,name:Hotel Euro Esqui;tourism:hotel
node/1051748851,42.58032 1.6492304,addr:city:El Tarter;addr:postcode:AD100;name:Hotel Del Clos;tourism:hotel
node/1386872680,42.5220951 1.5595241,amenity:fuel;brand:BP;brand:wikidata:Q152057;brand:wikipedia:en:BP;name:BP;operator:BP
node/1386872681,42.5216523 1.5594823,amenity:fuel;name:Cepsa
node/1397132076,42.5084573 1.5370477,addr:housenumber:93;addr:street:Avinguda Carlemany;name:Les Closes;phone:828393;tourism:hotel;website:https://www.lescloses.com/;wikidata:Q111412171
node/1407160092,42.45736 1.4868083,addr:city:Sant Julià de Lòria;addr:postcode:AD600;amenity:fuel;brand:Total;brand:wikidata:Q154037;fuel:adblue:yes;fuel:diesel:yes;fuel:diesel_B:yes;fuel:octane_95:yes;fuel:octane_98:yes;name:Sant Eloi;name:ca:Sant Eloi;operator:Sant Eloi
node/1498852269,42.4582683 1.4875781,addr:postcode:600;addr:street:Carretera d'Espanya;email:hotel@santeloi.com;internet_access:wlan;name:Hotel Sant Eloi;phone:+34 74 31 00;stars:3;tourism:hotel;website:https://www.hotelsanteloi.com/;wikidata:Q111877864
node/1568150075,42.5793721 1.6529451,name:Chalet Casale;tourism:hotel
node/1607001077,42.5818347 1.6619984,amenity:fuel;brand:Esso;brand:wikidata:Q867662;brand:wikipedia:en:Esso;name:Esso
node/1665069339,42.5352596 1.5881654,amenity:fountain
node/1855341013,42.5392959 1.7323765,man_made:tower
node/1870046288,42.4766272 1.4902601,bus:yes;highway:bus_stop;public_transport:stop_position
node/1889183693,42.4960473 1.4966361,tourism:picnic_site
node/1889183702,42.6124803 1.6383555,tourism:picnic_site
node/1889220955,42.5727917 1.6140581,tourism:viewpoint
node/1922592322,42.4536015 1.4873853,addr:city:Sant Julià de Lòria;addr:postcode:AD600;addr:street:Carretera d'Espanya;amenity:fuel;brand:Total;brand:wikidata:Q154037;fuel:adblue:yes;fuel:diesel:yes;fuel:diesel_B:yes;fuel:octane_95:yes;fuel:octane_98:yes;name:Riberola;name:ca:Riberola;nohousenumber:yes;operator:Sant Eloi
node/1922592407,42.4551036 1.4863617,amenity:fuel
node/1922592536,42.4529563 1.4867788,amenity:fuel;brand:Cepsa
node/1922608172,42.5401526 1.5916872,tourism:viewpoint
node/1934470860,42.532352 1.5747102,name:Onix;tourism:hotel
node/1949792885,42.5128361 1.5505895,brand:Ibis;brand:wikidata:Q920166;brand:wikipedia:en:Ibis (hotel);internet_access:yes;internet_access:fee:no;name:Hotel Tropical;stars:4;tourism:hotel
node/2050272761,42.468551 1.4924823,amenity:fuel
node/2050370613,42.4694689 1.492671,addr:city:Sant Julià de Lòria;name:Hotel Imperial;operator:Atiram;tourism:hotel
node/2050370614,42.4682066 1.4934703,tourism:hotel
node/2050445453,42.4636372 1.4908332,amenity:bank
node/2050466660,42.4644304 1.4898845,addr:city:Sant Julià de Lòria;amenity:bank;name:Banc Sabadell;name:ca:Banc Sabadell
node/2050563580,42.5110262 1.5343232,amenity:bank
node/2287024653,42.5669913 1.6008296,amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);name:Total;name:ca:Total
node/2294035697,42.5083285 1.5450527,amenity:fuel;brand:Repsol;brand:wikidata:Q174747;brand:wikipedia:es:Repsol;name:Repsol;name:ca:Repsol;name:es:Repsol
node/2345240113,42.5083071 1.52245,addr:city:Andorra la Vella;addr:country:AD;addr:housenumber:7;addr:postcode:AD500;addr:street:Carrer La Llacuna;email:hotelfestabrava@andorra.ad;fax:+376 860 266;internet_access:wlan;name:Festa Brava;phone:+376 820 741;source:Bing;tourism:hotel;website:https://www-hotel-festabrava.com
node/2391685812,42.5094099 1.5700532,tourism:picnic_site
node/2391685813,42.511512 1.5686758,tourism:picnic_site
node/2402829884,42.5081265 1.5342843,addr:housenumber:5;addr:street:Carrer de la Unió;name:Hotel Exe Princep;stars:4;tourism:hotel;website:https://www.hotelexeprincep.com/;wikidata:Q111412172
node/2411240030,42.5656692 1.5955067,leisure:park;name:Bona Estada;name:ca:Bona Estada
node/2425449897,42.4745277 1.4522443,historic:monument;name:Santuari de la Mare de Déu de Canòlich
node/2425453193,42.5552313 1.5403763,name:Hotel Babot;name:ca:Hotel Babot;tourism:hotel
node/2425472714,42.5038062 1.5139727,amenity:place_of_worship;name:Hotel Bellpí
node/2430777412,42.5088198 1.5326843,name:Pitiusa;tourism:hotel
node/2482295087,42.5399678 1.7195088,amenity:fuel;name:Elf;name:ca:Elf
node/2482295089,42.5403278 1.7205645,addr:postcode:AD200;addr:street:Port d'Envalira;bar:yes;ele:2408;email:reception@hotelpicmaia.com;image:https://www.hotelpicmaia.com/uploads/galeriahoteles/1-fachada-2.jpg;internet_access:wlan;internet_access:fee:no;name:PicMaia Mountain Hotel;phone:+376856789;reservation:yes;rooms:85;stars:2;tourism:hotel;website:https://www.hotelpicmaia.com/;wikidata:Q111877865
node/2482295114,42.5394951 1.7207305,amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);name:Total;name:ca:Total
node/2671660696,42.5659363 1.6012371,leisure:sports_centre;name:Grandvalira (Sector de Canillo);name:ca:Grandvalira (Sector de Canillo);sport:skiing
node/2671662458,42.5783067 1.6461507,leisure:sports_centre;name:Grandvalira (Sector del Tarter);name:ca:Grandvalira (Sector del Tarter);sport:skiing
node/2671666127,42.5758026 1.6680948,leisure:sports_centre;name:Grandvalira (Sector de Soldeu);name:ca:Grandvalira (Sector de Soldeu);sport:skiing
node/2694361901,42.581357 1.6387352,name:La Dorada El Tarter;tourism:hotel
node/2752720010,42.5080749 1.524806,addr:city:Andorra la Vella;addr:housenumber:23;addr:postcode:AD500;addr:street:Avinguda Meritxell;name:Eurostars Andorra;old_name:Hotel Carlton Plaza;phone:+376886800;rooms:66;stars:5;tourism:hotel;website:https://www.eurostarshotels.com/eurostars-andorra.html
node/2797792644,42.5334885 1.5847079,addr:city:Encamp;addr:street:nou vial;amenity:fuel;brand:Repsol;brand:wikidata:Q174747;name:Repsol;name:ca:Repsol;name:en:Repsol;name:fr:Repsol
node/2879956293,42.5568685 1.5323996,tourism:viewpoint
