ext_id,coordinates,tags
node/26859340,42.3955569 27.7036152,created_by:Potlatch 0.9c;name:Каваци;name:bg:Каваци;name:en:Kavatsi;tourism:camp_site
node/26859341,42.9539842 25.4306003,name:Къмпинг Стринава;name:en:Strinava;tourism:camp_site
node/30361106,42.8227811 22.6316904,amenity:fuel;brand:Петрол;brand:en:Petrol;brand:wikidata:Q24315;name:Петрол;name:en:Petrol;operator:Петрол АД
node/30361107,42.823481 22.633246,amenity:fuel;name:Бензиностанция
node/30361112,42.8627284 22.6490468,created_by:Potlatch 0.10c;int_name:Tsarkvishteto;name:Църквището;tourism:viewpoint
node/30361119,42.8348421 22.6510457,amenity:community_centre;name:Гюрга Пинджурова
node/30361121,42.8347142 22.6520162,amenity:bank;atm:yes;brand:Банка ДСК;brand:bg:Банка ДСК;brand:en:DSK Bank;brand:wikidata:Q5206146;name:Банка ДСК;name:bg:Банка ДСК;name:en:DSK Bank;operator:Банка ДСК
node/30361124,42.8368587 22.6523505,amenity:school;name:ЕСПУ Гео Милев
node/30361137,42.869887 22.5818381,"created_by:Potlatch 0.9c;name:х. Руй;operator:ТД Руй, Трън;tourism:alpine_hut"
node/30361168,42.8439447 22.5865086,amenity:place_of_worship;denomination:orthodox;name:Забелски манастир Св. Димитър;religion:christian
node/30361190,42.8538249 22.5935514,created_by:Potlatch 0.10c;name:Панорамния завой;tourism:viewpoint
node/30361197,42.8356345 22.6243793,man_made:tower;name:ОСПБС кула;tower:type:observation
node/30361217,42.8317577 22.6367874,amenity:place_of_worship;denomination:orthodox;name:Скален параклис Св. Петка;religion:christian
node/30361223,42.837391 22.64855,created_by:JOSM;leisure:stadium;name:Градски стадион
node/30362360,42.8193688 22.5767931,highway:bus_stop;name:Забелски хан
node/30363127,42.816566 22.5249726,highway:bus_stop;name:Главановци
node/30368147,42.8163296 22.6011828,highway:bus_stop;name:Побиен камик
node/150993608,42.6845713 23.3646522,bench:yes;bin:yes;bus:yes;highway:bus_stop;int_name:Zala Festivalna;lit:yes;name:Зала Фестивална;network:Градски транспорт София;network:wikidata:Q124360139;public_transport:platform;ref:0729;shelter:yes
node/166622273,42.6716555 23.3935853,name:Разклона за летището;name:en:Airport Crossroad;network:Градски транспорт София;network:wikidata:Q124360139;public_transport:stop_position;railway:tram_stop;ref:1454;tram:yes
node/166622279,42.6656919 23.4063966,name:28-ми ДКЦ;name:en:28-mi DKTS;network:Градски транспорт София;network:wikidata:Q124360139;public_transport:stop_position;railway:tram_stop;ref:0027;shelter:yes;tram:yes
node/183090389,43.2222934 27.8717649,bus:yes;bus_bay:right;name:Елпром-2;public_transport:stop_position
node/183652181,42.7114366 23.271477,bench:yes;bin:yes;bus:yes;highway:bus_stop;int_name:bul. Tsaritsa Yoana;lit:yes;name:бул. Царица Йоана;network:Градски транспорт София;network:wikidata:Q124360139;public_transport:platform;ref:2419;shelter:yes
node/198946127,42.4728164 26.5230365,amenity:fuel;brand:ОМВ;brand:wikidata:Q168238;name:ОМВ;name:en:OMV;opening_hours:24/7;operator:ОМВ България ООД;phone:+359 2 93298038
node/212548284,42.6710891 23.3935488,bench:yes;bin:yes;bus:yes;highway:bus_stop;int_name:Razklona za letishteto;name:Разклона за летището;network:Градски транспорт София;network:wikidata:Q124360139;public_transport:platform;ref:1455;shelter:yes
node/212548740,42.6721791 23.3945212,bench:yes;bin:yes;bus:yes;departures_board:realtime;highway:bus_stop;int_name:Razklona za letishteto;lit:yes;name:Разклона за летището;network:Градски транспорт София;network:wikidata:Q124360139;public_transport:platform;ref:1452;shelter:yes
