ext_id,coordinates,tags
32316581,28.027022 -16.5490737,ele:171;name:Montaña Roja;name:de:Roter Berg;natural:peak;prominence:155;source:yahoo;survey;tourism:viewpoint;wheelchair:no;wikidata:Q23979792
32316582,28.0407415 -16.5432976,leisure:sports_centre;name:Surfcenter Playa Sur;source:yahoo;wheelchair:no
32969730,28.5586999 -16.1754436,"ele:952.8740234375;gml_featuretype:VerticeRedRegente;ideewfs:alturaElipsoidal:952.8740234375;ideewfs:convergencia:0;ideewfs:factorEscala:0;ideewfs:fechaCompensacion:2001-06-01 00:00:00.0;ideewfs:husoUTM:28;ideewfs:latitud:28.5586999305556;ideewfs:longitud:-16.1754436111111;ideewfs:nombre:Chinobre;ideewfs:numeroROI:109048;ideewfs:xUTM:385024.575;ideewfs:yUTM:3159658.815;man_made:survey_point;name:Chinobre;note:This is a point from an official geodetic network. Use it as a reference, but do NOT move it.;ref:RRG:RRG_1113;source:IDEE;source:filename:Geodesia - Red Regente_-18.75587_27.36158_4.36897_43.81842.gml;source:name:Infraestructura de Datos Espaciales de España;source:ref:http://www.idee.es;tourism:viewpoint;wikidata:Q115501806"
33104770,28.0736672 -14.3081859,name:allsun Esquinzo Beach Hotel;operator:alltours;tourism:hotel
33105081,28.0600049 -14.3168865,name:Club Aldiana Fuerteventura;tourism:hotel
33105367,28.0566298 -14.3203323,addr:city:Jandia;addr:country:ES;addr:housenumber:1;addr:postcode:35626;addr:street:Pasaje Playas;entrance:main;internet_access:wlan;name:Iberostar Selection Fuerteventura Palace;operator:Iberostar;stars:5;tourism:hotel
33105714,28.0928086 -14.2886611,disused:yes;name:disused hotel (ex: Dunas Club Calela del Sol);tourism:hotel
33106314,28.1019044 -14.286801,amenity:fuel;branch:Shell;branch:website:https://www.shell.es;branch:wikidata:Q154950;branch:wikipedia:es:Royal Dutch Shell;brand:Disa;brand:website:https://www.disagrupo.es;brand:wikidata:Q5797102;brand:wikipedia:es:DISA (empresa);fuel:diesel:yes;fuel:octane_95:yes;name:Shell;self_service:yes
33106383,28.0567461 -14.3194206,addr:city:Las Gaviotas;addr:country:ES;addr:housenumber:2;addr:postcode:35626;addr:street:Pasaje Playas;name:Iberostar Playa Gaviotas;operator:Iberostar;stars:4;toilets:wheelchair:yes;tourism:hotel;wheelchair:yes
33106414,28.0582658 -14.3200759,"addr:city:Las Gaviotas;addr:country:ES;addr:housenumber:3;addr:postcode:35626;addr:street:Pasaje Playas;air_conditioning:yes;bar:yes;brand:Iberostar Hotels & Resorts;brand:wikidata:Q2035939;contact:facebook:https://www.facebook.com/IberostarPlayaGaviotasPark/;description:Iberostar Playa Gaviotas Park is a 4-star family hotel in Playa Jandia, with 5 swimming pools, splash pool, comfort rooms, playground, activity programme for children, meeting rooms and All Inclusive board.;email:fuerteventura.park@iberostar.com;image:https://apiimg.iberostar.com/uploads/image/48494/crops/1366:797/1366/image.jpeg;internet_access:wlan;internet_access:fee:customers;name:Iberostar Playa Gaviotas Park;opening_hours:24/7;operator:IBEROSTAR Hotels & Resorts;payment:american_express:yes;payment:credit_cards:yes;payment:debit_cards:yes;payment:mastercard:yes;payment:visa:yes;phone:+34 928 54 51 50;reservation:yes;smoking:outside;source:local knowledge;www.iberostar.com;stars:4;toilets:wheelchair:yes;tourism:hotel;website:https://www.iberostar.com/en/hotels/fuerteventura/iberostar-playa-gaviotas-park/;wheelchair:yes"
