ext_id,coordinates,tags
node/29034622,28.7765349 -17.764415,bus:yes;public_transport:stop_position
node/29207000,28.5542033 -17.8011514,bus:yes;highway:bus_stop;name:Tigalate;public_transport:stop_position
node/29208756,28.5709326 -17.7802684,bus:yes;highway:bus_stop;public_transport:stop_position
node/29208773,28.57397 -17.7778984,highway:bus_stop;name:Belmaco
node/29208837,28.5753132 -17.7872444,bus:yes;highway:bus_stop;public_transport:stop_position
node/29208870,28.578334 -17.7852448,bus:yes;highway:bus_stop;public_transport:stop_position
node/32316581,28.027022 -16.5490737,ele:171;name:Montaña Roja;name:de:Roter Berg;natural:peak;prominence:155;source:yahoo;survey;tourism:viewpoint;wheelchair:no;wikidata:Q23979792
node/32316582,28.0407415 -16.5432976,leisure:sports_centre;name:Surfcenter Playa Sur;source:yahoo;wheelchair:no
node/32969730,28.5586999 -16.1754436,"ele:952.8740234375;gml_featuretype:VerticeRedRegente;ideewfs:alturaElipsoidal:952.8740234375;ideewfs:convergencia:0;ideewfs:factorEscala:0;ideewfs:fechaCompensacion:2001-06-01 00:00:00.0;ideewfs:husoUTM:28;ideewfs:latitud:28.5586999305556;ideewfs:longitud:-16.1754436111111;ideewfs:nombre:Chinobre;ideewfs:numeroROI:109048;ideewfs:xUTM:385024.575;ideewfs:yUTM:3159658.815;man_made:survey_point;name:Chinobre;note:This is a point from an official geodetic network. Use it as a reference, but do NOT move it.;ref:RRG:RRG_1113;source:IDEE;source:filename:Geodesia - Red Regente_-18.75587_27.36158_4.36897_43.81842.gml;source:name:Infraestructura de Datos Espaciales de España;source:ref:http://www.idee.es;tourism:viewpoint;wikidata:Q115501806"
node/33104770,28.0736672 -14.3081859,name:allsun Esquinzo Beach Hotel;operator:alltours;tourism:hotel
node/33105081,28.0600049 -14.3168865,name:Club Aldiana Fuerteventura;tourism:hotel
node/33105367,28.0566298 -14.3203323,addr:city:Jandia;addr:country:ES;addr:housenumber:1;addr:postcode:35626;addr:street:Pasaje Playas;entrance:main;internet_access:wlan;name:Iberostar Selection Fuerteventura Palace;operator:Iberostar;stars:5;tourism:hotel
node/33105714,28.0928086 -14.2886611,disused:yes;name:disused hotel (ex: Dunas Club Calela del Sol);tourism:hotel
node/33106314,28.1019044 -14.286801,amenity:fuel;brand:Shell;brand:website:https://www.shell.es;brand:wikidata:Q154950;brand:wikipedia:es:Royal Dutch Shell;fuel:diesel:yes;fuel:octane_95:yes;name:Shell;operator:Disa;operator:website:https://www.disagrupo.es;operator:wikidata:Q5797102;operator:wikipedia:es:DISA (empresa);self_service:yes
node/33106383,28.0567461 -14.3194206,addr:city:Las Gaviotas;addr:country:ES;addr:housenumber:2;addr:postcode:35626;addr:street:Pasaje Playas;name:Iberostar Playa Gaviotas;operator:Iberostar;stars:4;toilets:wheelchair:yes;tourism:hotel;wheelchair:yes
node/33106414,28.0582658 -14.3200759,"addr:city:Las Gaviotas;addr:country:ES;addr:housenumber:3;addr:postcode:35626;addr:street:Pasaje Playas;air_conditioning:yes;bar:yes;brand:Iberostar Hotels & Resorts;brand:wikidata:Q2035939;contact:facebook:https://www.facebook.com/IberostarPlayaGaviotasPark/;description:Iberostar Playa Gaviotas Park is a 4-star family hotel in Playa Jandia, with 5 swimming pools, splash pool, comfort rooms, playground, activity programme for children, meeting rooms and All Inclusive board.;email:fuerteventura.park@iberostar.com;image:https://apiimg.iberostar.com/uploads/image/48494/crops/1366:797/1366/image.jpeg;internet_access:wlan;internet_access:fee:customers;name:Iberostar Playa Gaviotas Park;opening_hours:24/7;operator:IBEROSTAR Hotels & Resorts;payment:american_express:yes;payment:credit_cards:yes;payment:debit_cards:yes;payment:mastercard:yes;payment:visa:yes;phone:+34 928 54 51 50;reservation:yes;smoking:outside;source:local knowledge;www.iberostar.com;stars:4;toilets:wheelchair:yes;tourism:hotel;website:https://www.iberostar.com/en/hotels/fuerteventura/iberostar-playa-gaviotas-park/;wheelchair:yes"
node/33107071,28.1679706 -14.2095802,addr:city:Costa Calma - Pájara;addr:country:ES;addr:housenumber:8;addr:postcode:35627;addr:street:Calle Artistas Canarios;internet_access:yes;internet_access:fee:no;name:R2 Rio Calma;phone:+34 928 546 050;stars:4;tourism:hotel;website:https://r2hotels.com/es/r2-rio-calma-hotel-fuerteventura-4-estrellas.html
node/33107356,28.0812146 -14.2946825,"addr:city:Esquinzo;addr:postcode:35620;addr:street:Lomo de Acebuche;air_conditioning:yes;bar:yes;brand:SBH Hotels & Resorts;contact:facebook:https://www.facebook.com/SBHHotelsResorts/;description:The SBH Club Paraiso Playa is a hotel for family with kids and couples near Esquinzo beach. The hotel features 2 outdoor swimming pools, gym, tennis courts, All Inclusive board, bars and restaurants,  modern rooms, reception, sports...;email:online@sbhfue.com;image:https://www.sbhfue.com/en/dms/multiHotel-SBH-Hotels-Resorts/Hoteles/club-paraiso-playa/home-sbh-club-paraiso-playa.jpg;internet_access:yes;internet_access:fee:no;name:SBH Hotel Club Paraíso Playa;nohousenumber:yes;opening_hours:24/7;operator:FUERT CAN, S.L.;payment:credit_cards:yes;payment:debit_cards:yes;phone:+34 928 87 37 00;reservation:yes;rooms:317;smoking:outside;source:survey;www.sbhfue.com;stars:4;tourism:hotel;wheelchair:yes"
node/33107458,28.0713631 -14.3086583,addr:city:Pájara - Urbanización Butihondo;addr:country:ES;addr:housenumber:13;addr:postcode:35626;addr:street:Calle Gran Canaria;designation:4 Star Hotel;name:Fuerteventura Princess;phone:+34 928 544136;tourism:hotel;wheelchair:limited
node/33107944,28.0724497 -14.3060873,created_by:JOSM;name:Club Jandia Princess;tourism:hotel
node/33107967,28.1370729 -14.2451186,addr:city:Pájara;addr:postcode:35627;addr:street:Playa Barca;bar:yes;brand:Meliá;brand:wikidata:Q1815030;internet_access:wlan;name:Meliá Fuerteventura;nohousenumber:yes;reservation:required;rooms:418;stars:4;tourism:hotel;wheelchair:yes;wikidata:Q111389795
node/33108259,28.7315735 -13.8701223,amenity:fuel;brand:Disa;brand:website:https://www.disagrupo.es;brand:wikidata:Q5797102;brand:wikipedia:es:DISA (empresa);name:Disa;opening_hours:06:00-22:00
node/33108335,28.3462398 -14.1804586,"description:As of 2022, it is no longer visible on the ocean surface and has become an artificial reef.  https://en.wikipedia.org/wiki/SS_America_(1939);historic:wreck;name:American Star;note:ship crashed 1994-01-17 As of 2022, it is no longer visible on the ocean surface and has become an artificial reef.;old_name:SS America;seamark:type:wreck;seamark:wreck:category:underwater;tourism:attraction;wikidata:Q463091;wikipedia:en:SS America (1939);wreck:date_sunk:1994-01-17;wreck:visible_at_high_tide:no;wreck:visible_at_low_tide:no"
node/51164965,28.9715504 -13.5264258,amenity:ferry_terminal;ferry:yes;name:Naviera Armas Terminal Arrecife;name:es:Naviera Armas Terminal Arrecife;operator:Naviera Armas;public_transport:stop_position
node/60584016,28.0497963 -14.3453216,amenity:fuel;brand:Shell;brand:website:https://www.shell.es;brand:wikidata:Q154950;brand:wikipedia:es:Royal Dutch Shell;fax:+34 928 540145;name:Shell;operator:Disa;operator:website:https://www.disagrupo.es;operator:wikidata:Q5797102;operator:wikipedia:es:DISA (empresa);phone:+34 928 540253
node/60592443,28.1018577 -14.2751892,created_by:JOSM;tourism:viewpoint
node/95165322,28.2740368 -16.6116736,name:Huevos del Teide;name:de:Teideeier;name:en:Teide-Eggs;name:es:Huevos del Teide;place:locality;tourism:attraction;wheelchair:no
node/101520524,28.049076 -15.7323789,highway:bus_stop
node/146469716,28.5823171 -17.9089945,name:Hotel Sol la Palma;phone:+34 922 40 80 00;stars:4;toilets:wheelchair:no;tourism:hotel;website:https://www.melia.com/es/hoteles/espana/la-palma/sol-la-palma/index.htm;wheelchair:limited
