ext_id,coordinates,tags
21619742,59.346329 26.3524291,archaeological_site:fortification;fortification_type:hill_fort;historic:archaeological_site;name:Vallimägi
26860115,58.039167 26.428056,name:Annimatsi;tourism:camp_site
26860125,58.928056 23.536667,name:Pikseke;tourism:camp_site;website:http://www.campingpikseke.com
29168843,59.3504806 26.3576671,addr:city:Rakvere;addr:country:EE;addr:housenumber:8;addr:postcode:44308;addr:street:Rohuaia;amenity:courthouse;contact:email:virumk.info@kohus.ee;contact:phone:+372 6200100;contact:website:https://www.kohus.ee/kohtute-kontaktid/maakohtud/viru-maakohus;name:Viru Maakohus;wikidata:Q12378751;wikipedia:et:Viru Maakohus
30564959,58.8507267 26.9128242,amenity:fuel;brand:Circle K;brand:wikidata:Q3268010;brand:wikipedia:en:Circle K;name:Circle K
60294937,59.4384985 24.743782,addr:city:Tallinn;addr:housenumber:5;addr:postcode:10133;addr:street:Lai;description:Old but refurbished 4-star hotel;name:Hotell St. Olav;name:en:St. Olav Hotel;phone:+372 6161180;tourism:hotel;website:https://olav.ee/;wheelchair:no
60418749,59.437666 24.7472466,addr:city:Tallinn;addr:housenumber:9;addr:postcode:10123;addr:street:Vene;brand:Autograph Collection;brand:wikidata:Q19872869;brand:wikipedia:en:Autograph Collection;contact:email:info@telegraafhotel.com;contact:website:https://www.telegraafhotel.com/;internet_access:wlan;name:Telegraaf;phone:+372 600 0600;rooms:83;stars:5;swimming_pool:yes;tourism:hotel;website:https://www.telegraafhotel.com/
60686492,59.4388717 24.7421781,addr:city:Tallinn;addr:housenumber:14;addr:postcode:10133;addr:street:Nunne;name:Hotell Imperial;name:en:Nunne Boutique Hotel;phone:+372 677 6777;tourism:hotel;website:https://nunne.ee/
60687731,59.4372061 24.7376154,name:Piiskopi vaateplatvorm;name:be:Абзорная пляцоўка Епіскапа;name:en:Piiskopi Viewing Platform;name:ru:Смотровая площадка Пийскопи;tourism:viewpoint;website:https://www.visittallinn.ee/eng/visitor/see-do/sightseeing/pid-177849/piiskopi-viewing-platform;wheelchair:no
66775473,59.3429572 24.6165947,amenity:fuel;fuel:adblue:yes;fuel:diesel:yes;fuel:lpg:yes;fuel:octane_95:yes;fuel:octane_98:yes;name:Alexela Laagri automaattankla;opening_hours:24/7;operator:Alexela
73800082,59.3544873 24.6285074,amenity:fuel;brand:Circle K;brand:wikidata:Q3268010;check_date:2023-05-13;fuel:diesel:yes;fuel:lpg:yes;fuel:octane_95:yes;fuel:octane_98:yes;name:Circle K Laagri;operator:Circle K
80938776,59.4445701 24.7460477,alt_name:Domina Ilmarine;contact:website:https://www.hestiahotels.com/ilmarine/;email:info.ilmarine@hestiahotels.com;internet_access:yes;internet_access:fee:no;name:Hestia Hotel Ilmarine;phone:+372 614 0900;stars:4;tourism:hotel;wheelchair:yes
251121742,58.2667408 22.5104944,amenity:fuel;name:Roonimäe Tankla
251121862,58.2647227 22.5131813,amenity:fuel;brand:Olerex;brand:wikidata:Q16931205;name:Olerex
251240321,58.2632251 22.4807832,amenity:fuel;name:Saare Kütus
251528050,58.2521743 22.4863848,amenity:bank;atm:yes;brand:SEB;brand:wikidata:Q975655;name:SEB;opening_hours:Mo-Sa 09:00-14:00
251974273,58.9938702 24.0566386,alternate:Risti tankla;amenity:fuel;brand:Krooning;fuel:diesel:yes;fuel:octane_95:yes;name:Krooning Risti tankla;opening_hours:24/7;self_service:yes
256300171,58.3649142 25.5621787,amenity:fuel;brand:Olerex;brand:wikidata:Q16931205;brand:wikipedia:et:AS Olerex;name:Olerex
257591394,59.3478713 26.3606931,amenity:bank;name:SEB Rakvere kontor;operator:SEB
257591395,59.3488154 26.3632277,amenity:bank;atm:yes;brand:Swedbank;brand:wikidata:Q1145493;brand:wikipedia:en:Swedbank;name:Swedbank
257893760,58.9183539 25.610784,addr:city:Mäo küla;addr:housename:Ristmiku;addr:postcode:72751;amenity:fuel;brand:Circle K;brand:wikidata:Q3268010;brand:wikipedia:en:Circle K;fuel:diesel:yes;fuel:electricity:yes;fuel:octane_95:yes;fuel:octane_98:yes;name:Circle K Mäo;operator:Circle K;self_service:no
258053177,58.4622303 25.2063698,historic:ruins;name:Oksa kõrtsi varemed;tourism:attraction
258205515,59.449841 25.1785636,"description:The highest natural waterfall in Estonia, more than 8 m high;intermittent:yes;name:Jägala juga;name:lv:Jegalas ūdenskritums;name:ru:Водопад Ягала;tourism:attraction;waterway:waterfall;wikidata:Q37401;wikimedia_commons:File:Jägala_Juga_(Jägalafallet).JPG;wikipedia:et:Jägala juga"
262747458,58.4822956 25.5183336,alt_name:Vana Veetorn;man_made:tower;name:EMHI Ilmavaatlusradar
262780021,58.4835197 25.5190703,amenity:library;name:Sürgavere raamatukogu
262940718,59.0791377 25.4289369,man_made:tower;tower:type:communication
267216614,58.362426 25.6027688,direction:120;ele:79;tourism:viewpoint
267216634,58.3617935 25.6048714,artwork_type:sculpture;historic:memorial;memorial:statue;name:Jooksja;tourism:artwork
267367528,58.4596968 24.5339672,name:Uueda;tourism:hotel
268020130,58.3720904 25.5635668,amenity:fuel;brand:Olerex;brand:wikidata:Q16931205;brand:wikipedia:et:AS Olerex;name:Olerex
269203257,59.4433685 24.7939874,architect:wikipedia:et:Nikolai_Thamm_noorem;artist:wikidata:Q454331;artist:wikipedia:et:Amandus Adamson;artist_name:Amandus Adamson;height:16;historic:memorial;material:bronze;memorial:statue;name:Russalka monument;name:en:Russalka Memorial;name:et:Russalka monument;name:fr:Mémorial de la Russalka;name:ru:Русалка;source:http://en.wikipedia.org/wiki/Russalka_Memorial;start_date:1902-09-20;wheelchair:yes;wikidata:Q692269;wikipedia:et:Russalka (monument)
270089708,58.5289877 25.4639459,amenity:fuel;name:Alexela
279539513,59.4563074 24.8123946,historic:memorial;memorial:war_memorial
281548129,59.046699 25.1157856,amenity:fuel;name:Kuimetsa tankla;operator:HEPA
281717168,57.8421567 27.0069521,amenity:fuel;brand:Circle K;brand:wikidata:Q3268010;brand:wikipedia:en:Circle K;name:Circle K
281863982,58.3603556 25.598137,direction:100;tourism:viewpoint
281863990,58.3597484 25.5971158,direction:120;tourism:viewpoint
281863998,58.3587368 25.5953266,direction:100;150;tourism:viewpoint
281864001,58.3589681 25.5960571,direction:100;160;ele:80;tourism:viewpoint
281911647,58.3635938 25.6003034,artwork_type:sculpture;historic:memorial;memorial:statue;name:Johann Köler;tourism:artwork
286490335,57.785817 26.0563542,amenity:fuel
289012254,58.0837201 26.0459052,amenity:fuel;name:Pikasilla tankla
289667338,59.3407576 26.3502557,"alt_name:Küüditamise ohvrite mälestusmärk;historic:memorial;memorial:sculpture;memorial:conflict:June_deportation,Operation_Priboi;memorial:conflict:wikidata:Q2563605,Q653783;name:Küüditatute mälestusmärk ""Okaskroon"";wikidata:Q31280641;wikipedia:et:Okaskroon (mälestusmärk)"
289667531,59.3370292 26.3504989,historic:memorial;memorial:war_memorial;memorial:conflict:WW2;memorial:conflict:wikidata:Q362;wikidata:Q20529069;wikipedia:et:Rakvere Saksa sõjaväekalmistu
291698837,58.4387431 25.450385,amenity:fuel;name:Vastemõisa tankla
292816273,58.4051858 25.3197964,backcountry:yes;bbq:yes;capacity:persons:8;capacity:tents:2;name:Ruunaraipe lõkkekoht;openfire:yes;operator:RMK;shower:no;tents:yes;toilets:yes;tourism:camp_site;website:https://loodusegakoos.ee/kuhuminna/rahvuspargid/soomaa-rahvuspark/1283
294853628,59.3483375 26.3604744,addr:city:Rakvere;addr:housenumber:18;addr:postcode:44308;addr:street:Lai;amenity:bank;bic:EKRDEE22;name:Coop Pank;old_name:Krediidipank;opening_hours:Mo-Fr 09:00-17:00;operator:Coop Pank AS
298101901,58.484272 25.5183321,amenity:fountain
299531722,58.2161962 22.3941852,tourism:hotel
301579860,58.3665109 25.6010008,amenity:fountain
301592887,58.3687955 25.5887914,amenity:fountain
301703450,58.3626196 25.5890401,amenity:fountain
301742220,58.3645749 25.5999811,alt_name:Carl Robert Jakobsoni mälestussammas;historic:memorial;material:metal;memorial:statue;name:Carl Robert Jakobson;subject:wikidata:Q725191;subject:wikipedia:et:Carl Robert Jakobson;tourism:attraction;wikidata:Q65258031;wikipedia:et:Carl Robert Jakobsoni mälestussammas (Viljandi maakond)
303020813,58.3497467 25.5783269,amenity:fountain
303020825,58.3489081 25.5788696,amenity:fountain
303523902,59.1017735 24.7296723,historic:monument;name:Metsavendade punker;seiklejaee:eksinud
