ext_id,coordinates,tags
node/32886059,62.0099106 -6.7707546,addr:housenumber:4-10;addr:street:Áarvegur;name:Hotel Hafnia;stars:3;tourism:hotel;website:http://www.hafnia.fo/;wheelchair:yes
node/32897707,62.0077021 -6.7631626,man_made:lighthouse;name:de:Leuchtturm Skansin
node/32897716,62.0084612 -6.7622362,bus:yes;public_transport:stop_position
node/32897807,62.0277381 -6.7687854,bus:yes;name:Studentaskúlin;public_transport:stop_position
node/302100288,62.0499973 -7.2166676,gns_classification:HLL;gns_uni:-3822368;is_in:Faroe Islands;is_in:country:Faroe Islands;is_in:country_code:fo;name:Vørðuklettar;natural:peak;source:GNS;tourism:viewpoint
node/302104530,62.0120789 -6.7693761,access:yes;gns_classification:MNMT;gns_uni:-3810395;historic:memorial;memorial:obelisk;name:Kongaminnið;source:GNS;start_date:1874
node/303579511,62.0203974 -6.7753934,bus:yes;name:Á Hálsi;public_transport:stop_position
node/303582721,62.0104817 -6.7670376,bus:yes;public_transport:stop_position
node/303599097,62.0176963 -6.776615,amenity:fuel;internet_access:wlan;internet_access:fee:no;operator:Effo
node/305430445,62.1192131 -6.9838697,addr:city:Kollafjørður;addr:housenumber:6;addr:postcode:410;addr:street:Frammi í Dal;amenity:fuel;brand:Effo;name:Effo Kollafjørður;name:en:EFFO;phone:+298 343555;website:https://www.effo.fo/stodirnar/upplatingartidir/
node/307701172,62.0001595 -6.7995151,bus:yes;public_transport:stop_position
node/307701177,62.000304 -6.7983285,bus:yes;public_transport:stop_position
node/331369289,62.158487 -6.7870972,name:Skáli;tourism:camp_site
node/394860469,62.014918 -6.7648309,bus:yes;public_transport:stop_position
node/439357221,62.242816 -6.8127835,addr:city:Fuglafjørður;addr:country:FO;addr:housenumber:7;addr:postcode:530;addr:street:Í Støð;amenity:bank;name:Bank Nordik;source:Umhvørvisstovan www.us.fo;us.fo:Adressutal:30656;us.fo:Galdandi_frá:12-12-2008;us.fo:Postnr:530;us.fo:Veganr:3226;us.fo:kommununr:11
node/439365904,62.2425896 -6.8146079,addr:city:Fuglafjørður;addr:country:FO;addr:housenumber:1;addr:postcode:530;addr:street:Karvatoftir;amenity:library;name:Bókasavn;source:Umhvørvisstovan www.us.fo;us.fo:Adressutal:30594;us.fo:Galdandi_frá:12-12-2008;us.fo:Postnr:530;us.fo:Veganr:3221;us.fo:kommununr:11
node/439366057,62.2420505 -6.8157481,addr:city:Fuglafjørður;addr:country:FO;addr:housenumber:5;addr:postcode:530;addr:street:Karvatoftir;amenity:arts_centre;name:Mentunarhúsið;source:Umhvørvisstovan www.us.fo;us.fo:Adressutal:30596;us.fo:Galdandi_frá:12-12-2008;us.fo:Postnr:530;us.fo:Veganr:3221;us.fo:kommununr:11
node/440212729,62.0470472 -7.1636921,addr:city:Sandavágur;addr:country:FO;addr:housenumber:8;addr:postcode:360;addr:street:Á Hillingatanga;name:Á Giljanesi;source:Umhvørvisstovan www.us.fo;tourism:camp_site;us.fo:Adressutal:19500;us.fo:Galdandi_frá:06-07-2005;us.fo:Postnr:360;us.fo:Veganr:2161;us.fo:kommununr:34
node/440220157,62.103661 -7.6455632,addr:city:Mykines;addr:country:FO;addr:housenumber:3;addr:postcode:388;addr:street:Túalsvegur;name:Gulahusid;phone:512914;source:Umhvørvisstovan www.us.fo;tourism:hostel;us.fo:Adressutal:30382;us.fo:Galdandi_frá:2008-10-28;us.fo:Postnr:388;us.fo:Veganr:3192;us.fo:kommununr:36;website:https://www.gulahusid.com
