ext_id,coordinates,tags
node/3391071,48.8987475 7.791492,highway:bus_stop;name:Biblisheim - Mairie;shelter:yes;tactile_paving:no
node/18305708,49.0401326 7.9517304,"bus:yes;name:Wissembourg, Europe;public_transport:stop_position"
node/25178645,48.2543657 7.206837,"amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;contact:city:Sainte-Marie-aux-Mines;contact:postcode:68160;description:N 59 - direction Sélestat/St-Dié, Aire du Val d'Argent Nord;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Relais Total de Sainte-Marie;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:68160004;shop:convenience;gas;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel"
node/25178828,48.3626764 7.573834,"amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;contact:city:Huttenheim;contact:postcode:67230;description:N 83 -, Route de Lyon;fuel:diesel:yes;fuel:e10:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Total;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:67230006;shop:convenience;gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;vending:fuel;vending_machine:fuel"
node/25209337,48.5955563 7.7094271,"address:142, route d'Oberhausbergen;amenity:fuel;brand:Total Access;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);check_date:2023-04-30;compressed_air:yes;fuel:cng:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;name:Relais Total De Cronenbourg;opening_hours:24/7;operator:Total;postal_code:67200;ref:FR:prix-carburants:67200012;shop:convenience;gas;source:cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2009;vending:fuel;vending_machine:fuel"
node/25209355,48.7599252 7.3622817,"addr:description:A 4 - Direction Metz/Strasbourg, Aire De Saverne-Monswiller;amenity:fuel;brand:Total;brand:wikidata:Q154037;fuel:GTL_diesel:yes;fuel:HGV_diesel:yes;fuel:adblue:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;name:Total;opening_hours:24/7;payment:dkv:yes;payment:routex:yes;payment:uta:yes;ref:FR:prix-carburants:67700012;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020"
node/25209420,48.5440449 7.7380018,addr:housenumber:6;addr:street:Avenue de Strasbourg;amenity:fuel;brand:Auchan;brand:wikidata:Q758603;brand:wikipedia:en:Auchan;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;name:Auchan;operator:Auchan;payment:mastercard:yes;payment:visa:yes;postal_code:67400;ref:FR:prix-carburants:67400001;shop:gas;vending:fuel;vending_machine:fuel
node/25209833,47.5931448 7.5556247,amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;contact:city:Saint-Louis;contact:country:FR;contact:housenumber:122;contact:postcode:68300;contact:street:Rue de Mulhouse;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Station Total;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:68300002;shop:convenience;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel;wheelchair:yes
node/25210235,48.0433656 7.5561458,"amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:TotalEnergies;contact:postcode:68600;description:D 52 - Zone Industrielle;fuel:diesel:yes;fuel:octane_95:yes;name:Total Contact;opening_hours:24/7;operator:Elf;ref:FR:prix-carburants:68600003;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;vending:fuel;vending_machine:fuel"
node/25210848,48.6038843 7.7582739,"address:direction Wacken, Avenue Pierre Mendès-France;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;is_in:SCHILTIGHEIM;name:Relais Total De L'Aar;opening_hours:24/7;operator:Total;postal_code:67300;ref:FR:prix-carburants:67300003;shop:convenience;source:cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2009;vending:fuel;vending_machine:fuel;wheelchair:limited"
