ext_id,coordinates,tags
node/392078,44.928162 2.4422853,bus:yes;name:Square République;public_transport:stop_position;source:cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2008
node/395335,45.1140957 2.6717462,ele:1589;mountain_pass:yes;name:Pas de Peyrol;natural:saddle;tourism:attraction;wikidata:Q3367147;wikipedia:en:Pas de Peyrol
node/1240776,44.9029537 2.456771,bus:yes;name:Avenue Milhaud;public_transport:stop_position
node/1472054,45.2963629 2.3885259,bus:yes;highway:bus_stop;name:Vendes;public_transport:platform
node/2005279,45.0590336 2.7613395,name:Plomb du Cantal;tourism:viewpoint
node/12160139,45.1721845 2.9701605,bus:yes;highway:bus_stop;name:Sainte-Anastasie;public_transport:stop_position
node/12164708,45.3062044 2.8273624,bus:yes;highway:bus_stop;name:Marcenat;public_transport:stop_position
node/13111989,45.3193222 3.1705414,amenity:fountain
node/13800157,45.042729 3.8925667,name:Le Puy-en-Velay;network:TER Auvergne-Rhône-Alpes;network:wikidata:Q41585492;official_name:Le Puy-en-Velay;operator:SNCF;operator:wikidata:Q13646;public_transport:station;railway:station;train:yes;uic_ref:8773469;wheelchair:yes;wikidata:Q1891124;wikipedia:fr:Gare du Puy-en-Velay
node/17851033,45.2593341 2.595851,created_by:Potlatch 0.10f;name:Scénoparc iO;tourism:attraction;wikidata:Q3476625
node/21377419,45.1780273 3.7316435,bus:yes;highway:bus_stop;name:Céaux-d'Allègre;public_transport:stop_position
node/21492380,45.7858189 3.0649888,bus:yes;highway:bus_stop;name:Quatre Routes;network:T2C;operator:T2C;public_transport:stop_position;tactile_paving:yes
node/21496382,45.802619 3.1066979,name:Les Vignes;network:T2C;operator:T2C;public_transport:stop_position;railway:tram_stop;tactile_paving:yes;tram:yes
node/21496393,45.8107374 3.1071202,name:Hauts de Chanturgue;network:T2C;operator:T2C;public_transport:stop_position;railway:tram_stop;tactile_paving:yes;tram:yes
node/21496603,45.922317 3.0625878,bus:yes;name:Les Thermes;network:RLV Mobilités;operator:Keolis Riom;public_transport:stop_position
node/21499106,45.8739642 3.0348849,tourism:viewpoint;wheelchair:limited
node/21647160,45.775818 3.0868317,bus:yes;highway:bus_stop;name:Ballainvilliers;network:T2C;operator:T2C;public_transport:stop_position;route_ref:B
node/24277843,45.7516263 3.0883807,bus:yes;name:Beaumont Place d'Armes;network:T2C;operator:T2C;public_transport:stop_position;tactile_paving:yes
node/25209555,46.343202 2.5920148,"addr:city:Montluçon;addr:description:direction Guéret, Boulevard Paul Constans;addr:postcode:03100;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:octane_98:yes;name:Relais Total Lagarde;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:3100002;shop:convenience;gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes"
node/25209604,45.8424112 3.5151316,addr:postcode:63300;address:La Croix Blanche;amenity:fuel;fuel:diesel:yes;fuel:lpg:yes;fuel:octane_95:yes;fuel:octane_98:yes;hgv:lanes:yes;is_in:THIERS;name:Garage Pireyre Fuel;opening_hours:24/7;ref:FR:prix-carburants:63300007;shop:gas;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel
node/25209898,44.913559 2.427069,addr:housenumber:1;amenity:fuel;brand:Avia;brand:wikidata:Q300147;brand:wikipedia:fr:Avia International;fuel:diesel:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_95:yes;fuel:octane_98:yes;name:Station Avia;operator:Avia;ref:FR:prix-carburants:15000012;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel
node/25210270,46.0793691 3.2011403,addr:city:GANNAT;addr:postcode:03800;address:Route De Clermont-Ferrand;amenity:fuel;brand:Intermarché;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;operator:Groupement des Mousquetaires;ref:FR:prix-carburants:3800006;shop:gas;source:stations.gpl.online.fr;toilets:yes
node/25210482,44.7088703 2.1959733,"addr:postcode:15600;address:N 122 - direction Figeac, Route de Bagnac;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;is_in:MAURS;name:Station Total;operator:Total;ref:FR:prix-carburants:15600001;shop:gas;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel"
node/25210723,45.7774472 3.1968612,"addr:postcode:63370;address:RN 89;amenity:fuel;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_95:yes;name:Station essence de Cora;opening_hours:24/7;operator:Cora;ref:FR:prix-carburants:63370001;shop:gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes;vending:fuel;vending_machine:fuel"
node/25211148,45.3401338 2.4341008,addr:city:Ydes;addr:postcode:15210;address:Av de la republique;amenity:fuel;brand:Super U;brand:wikidata:Q2529029;brand:wikipedia:fr:Système U;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Super U;operator:Super U;ref:FR:prix-carburants:15210001;shop:gas;toilets:yes;vending:fuel;vending_machine:fuel
