ext_id,coordinates,tags
node/24933409,48.8536739 -0.8801584,"amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Station Total Vire;operator:Total;ref:FR:prix-carburants:14500001;shop:convenience;source:Ministère de l'Economie, de l'Industrie et du Numérique - 22/10/2016;vending:fuel;vending_machine:fuel"
node/25178495,49.2839618 -0.7255631,"amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:TotalEnergies;compressed_air:yes;contact:city:Vaucelles;contact:housenumber:20;contact:postcode:14400;contact:street:Avenue de la Drôme;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;name:Total;opening_hours:24/7;operator:Relais Total de Vaucelles;ref:FR:prix-carburants:14400010;shop:gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes;vending:fuel;vending_machine:fuel"
node/25209072,48.6528818 -1.3500225,addr:city:Saint-Martin-des-Champs;addr:country:FR;addr:postcode:50300;addr:street:Parc de la Baie;amenity:fuel;brand:Carrefour;brand:wikidata:Q217599;brand:wikipedia:fr:Carrefour (enseigne);compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;name:Carrefour;opening_hours:24/7;operator:Carrefour;ref:FR:prix-carburants:50300001;shop:gas;vending:fuel;vending_machine:fuel
node/25209700,48.8142211 -1.5445598,addr:city:Saint-Pair-sur-Mer;addr:place:ZI Le Croissant;addr:postcode:50380;addr:street:Route d'Avranches;amenity:fuel;compressed_air:yes;covered:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Casino carburant;ref:FR:prix-carburants:50380001;shop:convenience;gas;source:survey;toilets:yes;vending:fuel;vending_machine:fuel
node/25210556,48.5264054 0.5339111,"addr:postcode:61400;address:Route d'Alencon;amenity:fuel;brand:Super U;brand:wikidata:Q2529029;brand:wikipedia:en:Système U;compressed_air:yes;fuel:diesel:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_95:yes;fuel:octane_98:yes;hgv:lanes:yes;operator:Super U;ref:FR:prix-carburants:61400001;shop:gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes;vending:fuel;vending_machine:fuel"
node/25210846,49.2708318 -0.6939387,"addr:postcode:14400;amenity:fuel;brand:Esso Express;brand:wikidata:Q2350336;brand:wikipedia:nl:Esso Express;fuel:diesel:yes;fuel:e10:yes;fuel:octane_98:yes;name:Esso Montgomery;opening_hours:24/7;ref:FR:prix-carburants:14400004;source:Ministère de l'Economie, de l'Industrie et du Numérique - 08/04/2018"
node/25211492,49.1009261 -1.0805207,"addr:city:Saint-Lô;addr:postcode:50000;addr:street:Rocade Sud;amenity:fuel;brand:Intermarché;brand:wikidata:Q3153200;brand:wikipedia:fr:Intermarché;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_95:yes;name:Intermarché;operator:Groupement des Mousquetaires;ref:FR:prix-carburants:50000004;shop:gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 22/10/2016;vending:fuel;vending_machine:fuel"
node/25211779,49.199854 -0.3600241,addr:housenumber:12;addr:street:Avenue de la Côte de Nacre;amenity:fuel;brand:Total Access;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:GTL_diesel:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;name:Total Access;opening_hours:24/7;ref:FR:prix-carburants:14000021;shop:convenience;gas;source:Survey;vending:fuel;vending_machine:fuel;website:https://store.totalenergies.fr/fr_FR/NF063239
node/25212161,48.3508262 0.3865202,addr:postcode:72600;address:Route de Bellême;amenity:fuel;brand:Station U;brand:wikidata:Q2529029;brand:wikipedia:fr:Système U;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_95:yes;fuel:octane_98:yes;hgv:lanes:yes;is_in:MAMERS;name:Super U;operator:Super U;ref:FR:prix-carburants:72600001;shop:gas;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel
node/25212361,48.5587204 -1.5090733,addr:postcode:50170;amenity:fuel;brand:Carrefour;brand:wikidata:Q217599;brand:wikipedia:fr:Carrefour (enseigne);name:Carrefour;opening_hours:24/7;source:stations.gpl.online.fr
