ext_id,coordinates,tags
node/144574,47.3098325 4.5013158,"addr:description:A 6 - direction Lyon/Paris, Aire des Lochères;addr:postcode:21320;amenity:fuel;brand:Eni;brand:wikidata:Q565594;brand:wikipedia:en:Eni;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Eni;opening_hours:24/7;ref:FR:prix-carburants:21320007;toilets:yes;vending:fuel;vending_machine:fuel"
node/10350952,46.9650397 4.8361985,"addr:postcode:21190;address:A 6 - direction Paris/Lyon, Aire de Beaune-Tailly;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:adblue:yes;fuel:diesel:yes;hgv:lanes:yes;name:Relais Beaune Tailly (PL);opening_hours:24/7;operator:Total;ref:FR:prix-carburants:21200009;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes;vending:fuel;vending_machine:fuel"
node/25178086,47.4922345 3.9223916,"addr:postcode:89200;address:N 6 - Direction Lyon,;amenity:fuel;brand:Avia;brand:wikidata:Q300147;brand:wikipedia:fr:Avia International;fuel:diesel:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_95:yes;fuel:octane_98:yes;is_in:AVALLON;name:Avia Xpress Vauban;opening_hours:24/7;operator:Avia;ref:FR:prix-carburants:89200008;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;vending:fuel;vending_machine:fuel"
node/25178373,47.2805352 5.008128,"addr:postcode:21160;address:N 74 -, 5, route de Beaune - vers Dijon Centre;amenity:fuel;brand:Total Access;brand:wikidata:Q154037;brand:wikipedia:fr:TotalEnergies;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Relais Total De La Côte;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:21160004;shop:convenience;gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes;vending:fuel;vending_machine:fuel"
node/25178668,46.9566902 4.2863694,"addr:postcode:71400;address:Carrefour De La Légion;amenity:fuel;brand:Avia;brand:wikidata:Q300147;brand:wikipedia:fr:Avia International;disused:yes;name:Station Avia;operator:Avia;source:Ministère de l'Economie, de l'Industrie et du Numérique - 22/10/2016"
node/25209166,47.2845873 5.0222678,"addr:housenumber:58;addr:postcode:21300;addr:street:Rue de Longvic;amenity:fuel;brand:Casino;brand:wikidata:Q89029184;brand:wikipedia:fr:Groupe Casino;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;opening_hours:Mo-Sa 08:30-20:30;operator:Casino;ref:FR:prix-carburants:21300001;shop:gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;vending:fuel;vending_machine:fuel"
node/25209204,47.0084079 3.1524708,"addr:city:Varennes-Vauzelles;addr:housenumber:16;addr:postcode:58640;addr:street:Boulevard Camille Dagonneau;address:N 7 - Direction Paris, 16, Boulevard Dagonneau;amenity:fuel;brand:Total Access;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;hgv:lanes:yes;name:Relais Total De Varennes;opening_hours:24/7;operator:Total;phone:+33 3 86 57 17 33;ref:FR:prix-carburants:58640004;shop:convenience;gas;source:stations.gpl.online.fr"
node/25209544,47.1856641 5.3350407,"addr:postcode:21130;address:A 39 - direction Dole/Dijon, Aire de Pont-Val-de-Saône;amenity:fuel;brand:Shell;brand:wikidata:Q110716465;brand:wikipedia:en:BP;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Station BP;opening_hours:24/7;operator:Shell;ref:FR:prix-carburants:21130009;shop:convenience;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes"
node/25209872,47.016974 4.8361669,"addr:postcode:21200;address:Avenue du Général de Gaulle;amenity:fuel;brand:Esso;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;name:BP;opening_hours:24/7;operator:BP;ref:FR:prix-carburants:21200007;shop:convenience;gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes;vending:fuel;vending_machine:fuel"
node/25209917,47.0002575 3.1553447,"addr:postcode:58000;address:N 7 -, 2, Route De Vauzelles;amenity:fuel;brand:Avia;brand:wikidata:Q300147;brand:wikipedia:fr:Avia International;compressed_air:yes;fuel:diesel:yes;fuel:e85:yes;fuel:ethanol:yes;fuel:lpg:yes;fuel:octane_95:yes;fuel:octane_98:yes;is_in:Nevers;name:Avia;opening_hours:24/7;operator:Avia;ref:FR:prix-carburants:58000005;shop:convenience;gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes;vending:fuel;vending_machine:fuel"
node/25210218,47.9738809 3.1974345,"addr:postcode:89110;address:A 6 - Direction Paris/Lyon, Aire De La Réserve;amenity:fuel;brand:Avia;brand:wikidata:Q300147;brand:wikipedia:fr:Avia International;compressed_air:yes;fuel:adblue:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Avia;opening_hours:24/7;operator:Avia;phone:+33 3 86 63 94 57;ref:FR:prix-carburants:89132001;shop:convenience;source:stations.gpl.online.fr;toilets:yes;vending:fuel;vending_machine:fuel"
node/25210480,47.3148969 4.4959198,"addr:postcode:21320;address:A 6 - direction Paris/Lyon, Aire du Chien Blanc;amenity:fuel;brand:Shell;brand:wikidata:Q110716465;brand:wikipedia:en:Royal Dutch Shell;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Shell;opening_hours:24/7;operator:Shell;ref:FR:prix-carburants:21350002;shop:convenience;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes;vending:fuel;vending_machine:fuel"
node/25210572,47.3558727 5.0332147,"amenity:fuel;brand:Intermarché;brand:wikidata:Q3153200;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Intermarché;operator:Intermarché;ref:FR:prix-carburants:21121001;shop:convenience;gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 08/04/2018;toilets:yes;vending:fuel;vending_machine:fuel"
node/25210677,48.335958 3.0801781,"addr:postcode:89340;address:N6;amenity:fuel;brand:Esso;brand:wikidata:Q867662;brand:wikipedia:fr:Esso (marque);compressed_air:yes;fuel:diesel:yes;fuel:lpg:yes;fuel:octane_95:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Esso;opening_hours:24/7;operator:Esso;ref:FR:prix-carburants:89340004;shop:convenience;gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 22/10/2016;toilets:yes"
node/25210930,46.4962062 5.3114123,"addr:postcode:71480;address:A 39 - (accessible dans les 2 sens), Aire du Poulet de Bresse;amenity:fuel;brand:Avia;brand:wikidata:Q300147;brand:wikipedia:fr:Avia International;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Station Avia;opening_hours:24/7;operator:Avia;ref:FR:prix-carburants:71480003;shop:convenience;source:stations.gpl.online.fr;toilets:yes;vending:fuel;vending_machine:fuel;wheelchair:yes"
node/25211024,47.217843 5.0026649,"addr:city:Gevrey-Chambertin;addr:postcode:21220;addr:street:A31, Aire de Gevrey-Chambertin Ouest;amenity:fuel;brand:Fulli;fuel:HGV_diesel:yes;fuel:adblue:yes;fuel:diesel:yes;fuel:e10:yes;fuel:octane_95:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Aire de Gevrey Ouest;opening_hours:24/7;operator:Fulli;ref:FR:prix-carburants:21220006;self_service:yes;shop:convenience;source:local knowledge;vending:fuel;vending_machine:fuel;website:https://www.fulli.com/station-service;wheelchair:yes"
node/25212482,47.7884716 3.6710373,"addr:description:A 6 - Direction Paris/Lyon, Aire De Venoy-Grosse Pierre;addr:postcode:89290;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);check_date:2023-11-07;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Relais Total de Venoy;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:89290007;toilets:yes;vending:fuel;vending_machine:fuel"
node/25212678,48.1656757 3.1718248,"addr:postcode:89000;address:A 19 - (Accessible dans les 2 sens), Aire de Villeroy;amenity:fuel;brand:Esso;brand:wikidata:Q867662;brand:wikipedia:fr:Esso (marque);compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;name:Station Esso;opening_hours:24/7;operator:Esso;ref:FR:prix-carburants:89150002;source:stations.gpl.online.fr"
node/25212748,47.3358189 5.05947,"addr:postcode:21000;address:55 Boulevard des Martyrs;amenity:fuel;brand:Avia;brand:wikidata:Q300147;brand:wikipedia:de:Avia International;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:octane_98:yes;name:Avia;opening_hours:24/7;operator:Avia;ref:FR:prix-carburants:21000022;source:Ministère de l'Economie, de l'Industrie et du Numérique - 08/04/2018;vending:fuel;vending_machine:fuel"
node/25213125,46.4830276 3.9748969,"addr:housenumber:19;addr:postcode:71160;addr:street:Avenue des Platanes;address:19, Avenue Des Platanes;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Station Total;opening_hours:24/7;phone:+33 3 85 53 16 90;ref:FR:prix-carburants:71160001;self_service:no;shop:convenience;source:stations.gpl.online.fr;toilets:yes;vending:fuel;vending_machine:fuel"
node/25213427,47.35 5.063,"addr:city:Dijon;addr:housenumber:15;addr:postcode:21000;addr:street:Rue de Mayence;amenity:fuel;fuel:diesel:yes;fuel:octane_95:yes;hgv:lanes:yes;name:Sa Piretti;ref:FR:prix-carburants:21000013;shop:convenience;gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 08/04/2018;toilets:yes"
node/25213687,48.2047536 3.2890108,"addr:postcode:89100;address:Direction Troyes, 89, Boulevard De Verdun;amenity:fuel;brand:Avia;brand:wikidata:Q300147;brand:wikipedia:de:Avia International;compressed_air:yes;description:covid19:Station ouverte quelques heures par jour de 10h à 12h et de 14h à 17h, jours à confirmer;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_95:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Avia;opening_hours:24/7;operator:Avia;ref:FR:prix-carburants:89100011;shop:convenience;gas"
node/25213752,46.8001784 4.4063586,"addr:full:75, route de Montcenis;addr:postcode:71200;amenity:fuel;brand:Eni;brand:wikidata:Q565594;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;name:Eni;opening_hours:24/7;shop:convenience;source:Ministère de l'Economie, de l'Industrie et du Numérique - 22/10/2016;toilets:yes"
node/25213971,46.9858186 3.1752888,"amenity:fuel;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;opening_hours:24/7;operator:Intermarché;ref:FR:prix-carburants:58000013;self_service:yes;shop:gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;vending:fuel;vending_machine:fuel"
node/25214263,47.2712107 5.0028352,"addr:postcode:21160;address:ZAC Les Vignes Blanches - Perrigny-lès-Dijon;amenity:fuel;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:C. C. Cora;opening_hours:24/7;operator:Cora;ref:FR:prix-carburants:21160001;shop:gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 08/04/2018;vending:fuel;vending_machine:fuel"
