ext_id,coordinates,tags
node/24933499,47.0952848 2.243102,amenity:fuel;brand:Eni;brand:wikidata:Q565594;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:18-A 71-Station Eni;opening_hours:24/7;operator:Eni;ref:FR:prix-carburants:18500006;shop:convenience;source:stations.gpl.online.fr;toilets:yes
node/25179025,47.1675782 0.6309601,"addr:description:A 10 - direction Paris/Bordeaux, Aire de Sainte-Maure-de-Touraine;addr:postcode:37800;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);fuel:adblue:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_95:yes;fuel:octane_98:yes;name:Relais Total Sainte-Maure-de-Touraine;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:37800006"
node/25209230,47.7803245 2.3747462,"addr:postcode:45600;address:71, rue de Savoie;amenity:fuel;brand:Super U;brand:wikidata:Q2529029;brand:wikipedia:en:Système U;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Super U;opening_hours:24/7;operator:Super U;ref:FR:prix-carburants:45600002;shop:gas;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel"
node/25209285,47.9067743 2.0582416,"addr:postcode:45430;address:N 60 - Direction Montargis, Aire Des Grillons;amenity:fuel;brand:Shell;brand:wikidata:Q154950;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Station Shell;opening_hours:24/7;operator:Shell;ref:FR:prix-carburants:45430001;shop:convenience;toilets:yes;vending:fuel;vending_machine:fuel"
node/25209318,47.8188372 1.6406197,"addr:postcode:45190;address:A 10 - direction Tours/Orléans, Aire de Beaugency-Messas;amenity:fuel;brand:E.Leclerc;brand:wikidata:Q1273376;brand:wikipedia:fr:E.Leclerc;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:E. Leclerc;opening_hours:24/7;phone:+33 2 38 44 68 50;ref:FR:prix-carburants:45190014;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;vending:fuel;vending_machine:fuel"
node/25209396,47.4733368 0.7757909,"addr:city:Monnaie;addr:full:A 10 - direction Paris/Bordeaux, Aire de Tours La Longue Vue;addr:postcode:37380;addr:street:Autoroute A10;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;contact:phone:+33 2 47 62 81 00;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Total;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:37380004;shop:convenience;toilets:yes;vending:fuel;vending_machine:fuel"
node/25209783,48.4495349 1.5063869,"addr:city:Chartres;addr:full:N 10 -, 34, rue Jean Mermoz;addr:postcode:28000;amenity:fuel;brand:Total Access;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);check_date:2023-08-16;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Total Access;opening_hours:24/7;ref:FR:prix-carburants:28000011;shop:convenience;gas;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel"
node/25209943,47.6969 2.609,"addr:postcode:45500;address:91, Route D'Orléans;amenity:fuel;brand:Esso;brand:wikidata:Q867662;brand:wikipedia:fr:Esso (marque);fuel:lpg:yes;name:Station Esso;operator:Esso;source:stations.gpl.online.fr"
node/25209973,47.9760238 1.8603883,"addr:description:A 10 - Direction Orléans/Paris, Aire D'Orléans-Gidy;addr:postcode:45520;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;name:Total;opening_hours:24/7;operator:BP;ref:FR:prix-carburants:45520004"
node/25210307,47.3967 0.7169,"addr:postcode:37700;address:D 751 - direction Amboise, 74/76, quai de la Loire;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;is_in:ST-PIERRE-DES-CORPS;name:Relais Du Rochin;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:37700010;shop:convenience;source:stations.gpl.online.fr"
node/25210333,47.8208848 1.6415388,"addr:description:A 10 - direction Orléans/Tours, Aire de Meung-sur-Loire;addr:postcode:45190;amenity:fuel;brand:E.Leclerc;brand:wikidata:Q1273376;brand:wikipedia:fr:E.Leclerc;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:E. Leclerc;opening_hours:24/7;ref:FR:prix-carburants:45190015;source:stations.gpl.online.fr"
node/25210660,48.2752106 1.8555697,"addr:description:A 10 - Direction Paris/Orléans, Aire De Francheville;addr:postcode:28310;amenity:fuel;brand:Shell;brand:wikidata:Q154950;brand:wikipedia:en:Royal Dutch Shell;check_date:2023-09-30;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:octane_98:yes;hgv:lanes:yes;opening_hours:24/7;operator:SHELL;ref:FR:prix-carburants:28310010;self_service:yes;shop:convenience;toilets:yes;vending:fuel;vending_machine:fuel"
node/25210772,47.4758609 0.7768262,"addr:postcode:37380;address:A 10 - direction Bordeaux/Paris, Aire de Tours Val de Loire;amenity:fuel;brand:BP;brand:wikidata:Q152057;brand:wikipedia:fr:BP (entreprise);compressed_air:yes;contact:phone:+33 2 47 56 14 51;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Relais BP De Meslay;note:Aire de la Brunellerie;opening_hours:24/7;operator:BP;ref:FR:SIREN:340018852;ref:FR:SIRET:34001885200483;ref:FR:prix-carburants:37380003;ref:vatin:FR09 340018852;shop:convenience;toilets:yes;vending:fuel;vending_machine:fuel"
node/25210813,48.7482851 1.2724216,addr:postcode:28500;address:N 12 - direction Alençon/Paris;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Relais Total de la Couette;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:28500008;shop:convenience;source:Microsoft Bing satellite 2012;toilets:yes;vending:fuel;vending_machine:fuel
node/25210988,47.978149 1.8578497,"addr:postcode:45400;address:A 10 - direction Paris/Orléans, Aire d'Orléans-Saran;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;name:Relais D'Orléans Saran;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:45520003"
node/25211089,47.6041 1.3149,"addr:postcode:41000;address:Direction Vendôme, 107, Avenue De Vendôme;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Relais Total Anne De Bretagne;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:41000019;shop:convenience;gas;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel"
node/25211506,47.9351817 1.8956351,"addr:city:Fleury-les-Aubrais;addr:postcode:45400;address:N 20 -, Avenue Dessaux;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;name:Total;opening_hours:24/7;operator:Relais Total des Aubrais;ref:FR:prix-carburants:45400006;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020"
node/25211754,47.8819636 1.9024123,"addr:postcode:45100;address:74, Route D'Olivet;amenity:fuel;brand:Auchan;brand:wikidata:Q758603;brand:wikipedia:en:Auchan;check_date:2023-12-31;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:octane_98:yes;name:Auchan;opening_hours:24/7;operator:Auchan;ref:FR:prix-carburants:45100001;shop:gas;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel"
