ext_id,coordinates,tags
node/24933166,49.6993383 4.9269062,"address:Direction Charleville-Mézières, 6, Avenue De La Marne;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Relais Total Sedan Marne;opening_hours:24/7;operator:Total;postal_code:08200;ref:FR:prix-carburants:8200010;shop:convenience;gas;vending:fuel;vending_machine:fuel"
node/25179246,47.855064 5.3324673,addr:postcode:52200;address:Avenue De Turenne;amenity:fuel;brand:Avia;brand:wikidata:Q300147;brand:wikipedia:de:Avia International;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;is_in:LANGRES;name:Station Avia;opening_hours:24/7;operator:Avia;ref:FR:prix-carburants:52200012;shop:convenience;gas;toilets:yes;vending:fuel;vending_machine:fuel
node/25179401,49.0867362 4.8792908,"addr:city:Sainte-Ménehould;addr:description:N 3 - direction Metz, Route de Châlons-en-Champagne;addr:postcode:51800;amenity:fuel;brand:BP;brand:wikidata:Q152057;brand:wikipedia:fr:BP (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_95:yes;fuel:octane_98:yes;hgv:lanes:yes;opening_hours:24/7;operator:BP;ref:FR:prix-carburants:51800004;shop:convenience;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes;vending:fuel;vending_machine:fuel"
node/25209430,49.2446857 3.9237957,"addr:postcode:51390;address:A 4 - Direction Reims/Paris, Aire De Gueux;amenity:fuel;brand:Shell;brand:wikidata:Q110716465;brand:wikipedia:en:Royal Dutch Shell;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;name:Shell;opening_hours:24/7;operator:Shell;ref:FR:prix-carburants:51390002;shop:convenience;source:stations.gpl.online.fr;toilets:yes;vending:fuel;vending_machine:fuel"
node/25210010,49.0464229 3.9568062,"addr:postcode:51200;address:13, boulevard Motte;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Relais Total Des Sparnaciens;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:51200006;shop:gas;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel"
node/25210210,48.2112974 4.2413518,"addr:description:A 5 - Direction Troyes/Dijon, Aire De Troyes-Fresnoy;addr:postcode:10270;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:GTL_diesel:yes;fuel:HGV_diesel:yes;fuel:adblue:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Relais Troyes Fresnoy;opening_hours:24/7;operator:Total;payment:dkv:yes;payment:routex:yes;payment:uta:yes;ref:FR:prix-carburants:10270006;shop:convenience;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes;vending:fuel;vending_machine:fuel;website:https://store.totalenergies.fr/fr_FR/NF042236"
node/25210685,47.8699086 5.3287024,addr:postcode:52200;address:N 19 - Rue Faubourg De La Collinière;amenity:fuel;brand:Total Access;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Relais Total Access De Langres;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:52200014;shop:convenience;gas;vending:fuel;vending_machine:fuel
node/25210739,49.2547334 4.0169743,"addr:full:12, Avenue Brébant;addr:postcode:51100;amenity:fuel;brand:Total Access;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;name:Total Access;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:51100048;source:Ministère de l'Economie, de l'Industrie et du Numérique - 22/10/2016"
node/25210824,49.73266 4.753189,"addr:description:N 64 -, ZI Des Ayvelles;amenity:fuel;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_95:yes;fuel:octane_98:yes;hgv:lanes:yes;name:C.c. Cora;operator:Cora;postal_code:08000;ref:FR:prix-carburants:8000006;shop:gas;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel"
node/25211046,49.1187866 4.2466093,"addr:postcode:51400;address:A 4 - Direction Châlons-en-Ch/Reims, Aire De Reims-Champagne Nord;amenity:fuel;brand:BP;brand:wikidata:Q152057;brand:wikipedia:fr:BP (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;is_in:A-4;name:Station BP;opening_hours:24/7;operator:BP;ref:FR:prix-carburants:51400007;shop:convenience;source:stations.gpl.online.fr;Ministère de l'Economie, de l'Industrie et du Numérique - 08/04/2018;toilets:yes"
node/25211845,48.9908817 4.3422208,addr:city:Saint-Martin sur le Pré;addr:postcode:51520;address:RN 44;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Relais Total Aire de Saint-Martin sur le Pré;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:51520002;shop:convenience;toilets:yes
node/25212682,49.2157839 4.0565289,"amenity:fuel;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;name:Cora;opening_hours:24/7;operator:Cora;ref:FR:prix-carburants:51350001;shop:gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes;vending:fuel;vending_machine:fuel"
node/25213083,48.6489179 4.9605494,addr:postcode:52100;address:Route De Bar Le Duc;amenity:fuel;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_95:yes;fuel:octane_98:yes;hgv:lanes:yes;is_in:St-DIZIER-/-BETTANCOURT-LA-FERREE;name:C.c. Cora;opening_hours:24/7;operator:Cora;ref:FR:prix-carburants:52112001;shop:gas;source:stations.gpl.online.fr
node/25213136,47.9747887 5.4985687,"addr:postcode:52140;address:A 31 - direction Nancy/Dijon, Aire de Montigny-le-Roi;amenity:fuel;brand:Avia;brand:wikidata:Q300147;brand:wikipedia:fr:Avia International;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;is_in:A-31;name:Station Avia;opening_hours:24/7;operator:Avia;ref:FR:prix-carburants:52140005;shop:convenience;source:Ministère de l'Economie, de l'Industrie et du Numérique - 22/10/2016;toilets:yes"
node/25214372,49.2646569 4.0597033,"addr:city:Reims;addr:postcode:51100;addr:street:Avenue Jean Jaurès;address:N 51 - Direction Charleville-Mézières, 252, Bis Av Jean Jaurès;amenity:fuel;brand:Total Access;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:octane_98:yes;name:Total Access;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:51100045;source:SC51"
node/25214466,48.1055636 5.1423301,amenity:fuel;brand:Intermarché;brand:wikidata:Q3153200;brand:wikipedia:fr:Groupe Casino;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;name:Intermarché;opening_hours:24/7;operator:Casino;ref:FR:prix-carburants:52000001;shop:convenience;gas;source:stations.gpl.online.fr;toilets:yes
node/26858507,49.8563539 4.7929466,name:Base de loisirs d'Haulmé;phone:+33 3 24 32 81 61;tourism:camp_site;website:https://www.meuse-semoy-tourisme.com/annuaires/campings/camping-departemental-d-haulme.html
node/26859171,49.872476 4.6052194,cabins:yes;caravans:yes;name:Le Lac des Vieilles Forges;phone:+33 3 24 40 17 31;shower:yes;stars:3;tents:yes;toilets:yes;tourism:camp_site;website:https://www.homair.com/camping/lac-des-vieilles-forges
node/27528035,48.7177835 4.587647,name:Vitry-le-François;operator:SNCF;public_transport:stop_position;railway:stop;railway:position:exact:204.898;ref:FR:SNCF_Reseau:GAIA:dfff771a-19bf-11e5-82ff-01fc64e0362d;source:Bing ; SNCF Réseau;train:yes;uic_ref:8717427
node/243198099,48.9090739 4.0287706,"addr:city:BLANCS-COTEAUX;addr:postcode:51130;addr:street:Chemin des chantereines;building:public;fee:yes;leisure:sports_centre;name:Espace Aquatique Neptune;opening_hours:Mo-Th 12:00-13:30; We 15:00-17:45,19:30-20:45; Fr 12:00-13:30,19:30-20:45; Sa 15:00-17:45; Su 09:00-12:15; SH Mo-Th 10:00-12:45,14:30-17:45; SH We 14:30-20:45; SH Fr 10:00-12:45,14:30-20:45; SH Sa 14:30-17:45; SH Su 10:00-12:45;payment:cash:yes;payment:credit_cards:yes;phone:+33 3 26 51 12 00;sport:swimming;yoga;website:https://www.epernay-agglo.fr/neptune"
node/243198101,48.9083295 4.0225364,name:Duval-Leroy;note:Champagne producer. Open for tastings during office hours.;tourism:attraction
node/243198104,48.8943847 4.0264026,name:Champagne Colin;note:Champagne producer. Open for tastings during office hours.;tourism:attraction
node/243198105,48.8641474 3.9940757,tourism:viewpoint
node/243208909,49.0986502 3.7588485,created_by:JOSM;tourism:viewpoint
node/243216562,49.1020352 3.7734402,name:Charlier et Fils;note:Champagne producer. Open for tastings during office hours.;tourism:attraction
node/243342295,49.0404198 3.9715514,name:Mercier;note:Champagne producer. Open for tastings during office hours.;tourism:attraction
node/244116974,48.9068263 4.014217,name:Serge Jumel;note:Champagne producer. Open for tastings during office hours.;tourism:attraction
node/244129272,49.0128567 3.9225078,name:Auberge Champenoise;tourism:hotel
node/244129377,49.093319 3.7891507,bus:yes;public_transport:stop_position
node/244129534,49.0816014 3.7538389,amenity:bank;atm:yes
node/244131002,49.2402093 4.0458473,name:Veuve Clicquot;note:Champagne producer. Open for tours and tasting by booking only.;tourism:attraction
node/254351592,49.7699144 4.3354961,name:Liart;public_transport:stop_position;railway:stop;railway:position:exact:27.453;ref:FR:SNCF_Reseau:GAIA:29dfd398-dfbc-11e3-a2ff-01a464e0362d;train:yes;uic_ref:8717254
node/267002827,48.2303789 4.7142071,bus:yes;highway:bus_stop;name:Bar-sur-Aube(Hôpital);operator:SNCF;public_transport:stop_position;source:SNCF - 06/2016;uic_ref:8721560
node/270444054,49.1664508 4.0408788,name:Rilly-la-Montagne;operator:SNCF;public_transport:stop_position;railway:stop;railway:position:exact:160.734;ref:FR:SNCF_Reseau:GAIA:d99a4c74-6667-11e3-89ff-01f464e0362d;source:Bing ; SNCF Réseau;train:yes;uic_ref:8717159
node/273218265,48.1178451 5.142343,bus:yes;name:Briand;public_transport:stop_position
node/277828795,48.2556683 4.0663066,addr:city:Rosières-Près-Troyes;addr:country:FR;addr:postcode:10430;addr:street:Chemin Sainte-Scholastique;email:troyes-rosieres@hifrance.org;name:Auberge de Jeunesse Troyes-Rosières;operator:FUAJ;phone:+33 3 25 82 00 65;tourism:hostel;website:https://www.hifrance.org/auberges-de-jeunesse/troyes-rosieres
node/278845625,49.2545714 4.0403556,bench:yes;bus:yes;departures_board:timetable;highway:bus_stop;local_ref:3;name:Jamot;public_transport:platform;shelter:no
