ext_id,coordinates,tags
node/13983322,43.5511156 10.3012232,amenity:ferry_terminal;cargo:passengers;vehicle;ferry:yes;name:Terminal dei traghetti;name:ru:Порт Ливорно;public_transport:stop_position
node/14472445,42.6083787 8.8603704,name:Algajola;operator:SEM des Chemins de Fer de la Corse;public_transport:station;railway:station;train:yes
node/24933547,41.9980754 9.4031533,"addr:postcode:20243;addr:street:N 198 - direction Bastia, ZI de Miglicciaru;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:lpg:yes;fuel:octane_95:yes;hgv:lanes:yes;is_in:PRUNELLI-DI-FIUMORBO;name:Total;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:20243001;shop:convenience;gas;toilets:yes;vending:fuel;vending_machine:fuel"
node/26860174,42.729722 9.3419439,capacity:pitches:100;caravans:yes;fee:yes;internet_access:wlan;internet_access:fee:no;mobile:+33 6 15 76 63 24;name:A Stella;opening_hours:May 1 - Oct 30;phone:+33 4 95 37 14 37;shower:yes;stars:2;tents:yes;toilets:yes;tourism:camp_site;url:http://www.campingastella.com/
node/26860205,41.531389 9.165278,created_by:JOSM;name:U Moru;tourism:camp_site
node/59740284,42.5646305 8.7559822,name:Calvi;operator:SEM des Chemins de Fer de la Corse;public_transport:station;railway:station;website:https://cf-corse.corsica/horaires/;wikidata:Q3096116
node/59845230,41.9217025 8.7385365,historic:monument;name:Tombeau des Bonaparte
node/59849914,41.9267498 8.7835124,"amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:GTL_diesel:yes;fuel:diesel:yes;fuel:octane_95:yes;hgv:lanes:yes;name:Total Campo Dell'Oro;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:20189002;shop:convenience;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes;vending:fuel;vending_machine:fuel"
node/59851451,41.6846241 8.9212029,"amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:octane_95:yes;name:Total;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:20113002;shop:convenience;gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 30/08/2017;toilets:yes;vending:fuel;vending_machine:fuel"
node/59852860,41.6486269 8.9454149,"amenity:fuel;brand:Vito;brand:wikidata:Q62536473;compressed_air:yes;fuel:diesel:yes;fuel:octane_95:yes;name:Vito;opening_hours:24/7;ref:FR:prix-carburants:20100003;shop:convenience;source:Ministère de l'Economie, de l'Industrie et du Numérique - 08/04/2018;survey 2020;toilets:yes;vending:fuel;vending_machine:fuel"
node/59853077,41.4913211 9.0577021,"amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:octane_95:yes;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:20131002;shop:gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes"
node/59857471,41.3878259 9.1606179,name:Bonifacio;name:ar:بونيفاسيو;name:azb:بونیفاچیو;name:br:Bunifaziu;name:co:Bunifaziu;name:fa:بونیفاچیو;name:kmr:بۆنفاجۆ;name:ku-Arab:بۆنفاجۆ;name:ur:بونیفاچیو;place:village;reg_name:Bunifaziu;source:name:br:proper translation;tourism:attraction;website:https://www.bonifacio.fr/;wikidata:Q204051;wikipedia:fr:Bonifacio
node/59898198,41.6150759 9.2804315,"amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:lpg:yes;fuel:octane_95:yes;hgv:lanes:yes;name:Total;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:20137006;shop:convenience;gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 08/04/2018;toilets:yes;vending:fuel;vending_machine:fuel"
node/59898236,41.6387308 9.3357714,"amenity:fuel;brand:Vito;brand:wikidata:Q154037;compressed_air:yes;fuel:diesel:yes;fuel:octane_95:yes;opening_hours:24/7;operator:Vito;ref:FR:prix-carburants:20137008;shop:convenience;gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020"
node/60351222,41.6347228 9.2941026,"amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);fuel:diesel:yes;fuel:octane_95:yes;hgv:lanes:yes;name:Total Trinité;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:20137004;shop:convenience;gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 22/10/2016;toilets:yes;vending:fuel;vending_machine:fuel"
