ext_id,coordinates,tags
node/2086323,46.6741632 5.5812306,bus:yes;name:Route de Champagnole;public_transport:stop_position
node/2103829,47.6342711 6.8185459,bus:yes;local_ref:5;name:Essert;public_transport:stop_position
node/25209313,46.3795998 5.8394674,addr:city:Saint-Claude;addr:housenumber:16;addr:postcode:39200;addr:street:Route de Lyon;amenity:fuel;brand:Total Access;brand:wikidata:Q154037;brand:wikipedia:fr:TotalEnergies;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Total Access;opening_hours:24/7;operator:Total;phone:+33 3 84 45 23 78;ref:FR:prix-carburants:39200003;shop:convenience;gas;vending:fuel;vending_machine:fuel;website:http://store.total.fr/fr/france/Stations-service/st-claude/total-access/NF040154
node/25209435,47.8229122 6.3883949,"addr:postcode:70300;address:RN 57, R Etang De La Poche;amenity:fuel;brand:Auchan;brand:wikidata:Q758603;fuel:diesel:yes;fuel:e10:yes;fuel:octane_98:yes;hgv:lanes:yes;opening_hours:24/7;operator:Auchan;ref:FR:prix-carburants:70300001;shop:convenience;gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes;vending:fuel;vending_machine:fuel"
node/25209593,47.6334465 6.1586865,"addr:city:Vesoul;addr:description:N 19 -, Route De Paris - Rocade;addr:postcode:70000;amenity:fuel;brand:Total;brand:wikidata:Q300147;compressed_air:yes;fuel:GTL_diesel:yes;fuel:HGV_diesel:yes;fuel:adblue:yes;fuel:diesel:yes;fuel:diesel:class2:yes;fuel:e10:yes;fuel:octane_98:yes;hgv:lanes:yes;opening_hours:24/7;operator:ETS DORMOY FRERES 1;payment:dkv:yes;payment:uta:yes;ref:FR:prix-carburants:70000005;shop:convenience;gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes;vending:fuel;vending_machine:fuel;website:https://store.totalenergies.fr/fr_FR/NF080239"
node/25209614,47.4797367 6.7775383,addr:description:ZA de la Cray;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:TotalEnergies;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:octane_98:yes;hgv:lanes:yes;is_in:VOUJEAUCOURT;name:Station Total;opening_hours:24/7;operator:Total;postal_code:25420;ref:FR:prix-carburants:25420002;self_service:yes;shop:convenience;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel
node/25209933,46.6700042 5.5264033,amenity:fuel;brand:Super U;brand:wikidata:Q2529029;brand:wikipedia:en:Système U;compressed_air:yes;fuel:diesel:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_95:yes;fuel:octane_98:yes;name:Station U;opening_hours:24/7;operator:Super U;ref:FR:prix-carburants:39570004;shop:gas;vending:fuel;vending_machine:fuel;website:https://www.magasins-u.com/station/hyperu-montmorot;wheelchair:yes
node/25210173,47.0984388 5.4989866,"addr:full:Boulevard des Frères Lumière;addr:postcode:39100;amenity:fuel;brand:Avia;brand:wikidata:Q300147;brand:wikipedia:de:Avia International;compressed_air:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;is_in:DOLE;name:Avia;opening_hours:24/7;operator:Avia;ref:FR:prix-carburants:39100010;shop:convenience;gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;vending:fuel;vending_machine:fuel;wheelchair:yes"
node/25211876,47.3297339 6.1287977,"addr:postcode:25640;address:A 36 - Direction Belfort/Besançon, Aire De Besançon-Champoux;amenity:fuel;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Shell;opening_hours:PH,Mo-Su 00:00-24:00;ref:FR:prix-carburants:25640009;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020"
node/25212236,46.9091732 6.3343932,addr:postcode:25300;address:ZI Rue de la Fée Verte;amenity:fuel;brand:Total Access;brand:wikidata:Q154037;brand:wikipedia:fr:TotalEnergies;compressed_air:yes;fuel:diesel:yes;hgv:lanes:yes;name:Renault;operator:Total;ref:FR:prix-carburants:25300002;shop:convenience;gas;toilets:yes;vending:fuel;vending_machine:fuel
node/25214086,46.6740554 5.5395804,addr:street:Rue de 19 Mars 1962;amenity:fuel;brand:Intermarché;brand:wikidata:Q3153200;brand:wikipedia:fr:Intermarché;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;name:Intermarché;opening_hours:24/7;operator:Intermarché;ref:FR:SIRET:97824766600032;ref:FR:prix-carburants:39000001;shop:gas;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel;wheelchair:yes
node/25214316,47.3260614 6.1222731,"addr:postcode:25640;address:A 36 - Direction Besançon/Belfort, Aire De Besançon-Marchaux;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;is_in:A-36;name:Relais Total De Marchaux;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:25640007;shop:convenience;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes;vending:fuel;vending_machine:fuel"
node/26858398,46.6638594 5.8110895,addr:city:Doucier;addr:postcode:39130;addr:street:Domaine de Chalain;email:chalain@chalain.com;name:Domaine de Chalain;opening_hours:closed;phone:+33 3 84 25 78 78;tourism:camp_site;website:https://www.chalain.com/fr/
node/36261416,47.424346 5.838766,"amenity:fuel;brand:Carrefour Contact;brand:wikidata:Q2940188;brand:wikipedia:fr:Carrefour Contact;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Carrefour Contact;opening_hours:24/7;operator:Carrefour;shop:convenience;source:Ministère de l'Economie, de l'Industrie et du Numérique - 15/09/2014;wheelchair:yes"
node/36308831,47.620908 6.8350341,bus:yes;name:Bavilliers;network:Optymo;operator:Régie des Transports du Territoire de Belfort;public_transport:stop_position
node/36915714,47.6531839 6.8960078,bus:yes;name:Faubourg d'Alsace;network:Optymo;operator:Régie des Transports du Territoire de Belfort;public_transport:stop_position
