ext_id,coordinates,tags
node/247474638,16.3923466 -61.4610668,bus:yes;highway:bus_stop;junction:yes;name:Carrefour Les Mangles;name:gcf:katchimen lémang;name:ht:Katchimen Lémang;public_transport:platform;shelter:yes;source:cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre;mise à jour : 2008;tactile_paving:no
node/251490404,15.9745218 -61.6477256,bus:yes;highway:bus_stop;public_transport:platform
node/251490409,15.9739208 -61.651352,bus:yes;name:La Regrettée;public_transport:stop_position
node/251490417,15.9729364 -61.656021,bus:yes;name:Faubourg;public_transport:stop_position;shelter:yes
node/252690168,16.0267281 -61.6960249,bus:yes;highway:bus_stop;public_transport:platform
node/254035702,15.9938939 -61.7274803,amenity:theatre;description:Scène nationale de Guadeloupe;description:en:National Stage of Guadeloupe;name:L'Artchipel;website:https://www.lartchipel.com/
node/279388215,16.5117489 -61.4651118,name:Pointe de La Grande Vigie;name:gcf:Pwent Viji;tourism:viewpoint
node/279699138,16.2620367 -61.501758,bus:yes;highway:bus_stop;name:Carrefour Nérée;operator:Karu'lis;public_transport:platform
node/297410962,15.9775431 -61.6443157,amenity:library;name:Bibliothèque Peronne Salin
node/299161202,15.9773793 -61.6339594,amenity:fuel;brand:Total;brand:wikidata:Q154037;fuel:diesel:yes;fuel:octane_95:yes;name:Total
node/299180607,15.9754181 -61.6428858,amenity:bank;atm:yes;brand:Crédit Agricole;brand:wikidata:Q590952;brand:wikipedia:fr:Crédit agricole;name:Crédit Agricole
node/299259412,16.2379584 -61.5387475,bus:yes;highway:bus_stop;operator:Karu'lis;public_transport:platform
node/299259440,16.2368188 -61.5358781,"artist_name:Jacky Poullier;artwork_type:statue;description:L'un des plus grands joueurs de ka de l'histoire;material:bronze;name:Marcel Lollia dit ""Vélo"";source:https://fr.guadeloupe-tourisme.com/228/statue-de-velo-roi-du-ka-pointeapitre/;tourism:artwork"
node/299260480,16.2369681 -61.5325961,bus:yes;highway:bus_stop;public_transport:platform
node/300010721,16.2799842 -61.4955054,bus:yes;highway:bus_stop;public_transport:platform
node/300014069,16.2919328 -61.492487,bus:yes;highway:bus_stop;public_transport:platform
node/300045059,16.2685136 -61.5852553,bus:yes;highway:bus_stop;name:Boulevard de Verdun;public_transport:platform
node/300045384,16.2670081 -61.5885009,bench:no;bin:no;bus:yes;highway:bus_stop;lit:no;name:Cimetière;public_transport:platform;shelter:no;tactile_paving:no
node/300079111,16.2520435 -61.5801971,bus:yes;highway:bus_stop;operator:Karu'lis;public_transport:platform
node/303013302,16.2183222 -61.4775609,bus:yes;highway:bus_stop;public_transport:platform
node/308119190,16.2428739 -61.5308415,"artist_name:Jacky Poulier;artwork_type:statue;description:Ignace est un combattant qui s’opposa aux Anglais et fut promu Commandant. Opposant de la première heure à l’esclavage (donc bien avant la première abolition de 1794), il fut aussi un ardent partisan de l’indépendance de la Guadeloupe. Ignace est mort au;material:metal;name:Joseph Ignace;tourism:artwork"
node/344791562,15.9768972 -61.6292473,bus:yes;highway:bus_stop;name:Chemin Neuf;public_transport:platform;shelter:yes
node/370908964,16.3286872 -61.0201307,bus:yes;description:Quand vous voyez le bus faites lui signe;highway:bus_stop;public_transport:platform;shelter:no
node/483268731,16.2645534 -61.4674164,bus:yes;highway:bus_stop;name:Rue Henry;operator:Karu'lis;public_transport:platform;source:cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre;mise à jour : 2008
node/483329693,16.2617322 -61.4518478,bus:yes;highway:bus_stop;name:Impase Farhasmane;operator:Karu'lis;public_transport:platform;source:cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2008
node/502579447,16.2368272 -61.5348926,historic:memorial;memorial:war_memorial
node/503048089,16.2459564 -61.5383511,amenity:fountain;drinking_water:no;fountain:decorative;name:Fontaine de Bergevin;operator:Ville de Pointe-à-Pitre
node/503131793,16.2396238 -61.5337794,amenity:school;name:Externat Saint Joseph De Cluny;source:KG Ground Survey 2016;wikidata:Q22957313
node/503280080,16.241286 -61.5354338,amenity:bank;atm:yes;brand:BNP Paribas;brand:wikidata:Q499707;brand:wikipedia:en:BNP Paribas;name:BNP Paribas
node/503294052,16.2441301 -61.5333715,amenity:school;name:École
node/503370525,16.2358059 -61.5351409,amenity:ferry_terminal;bus:yes;ferry:yes;highway:bus_stop;public_transport:stop_position;type:public_transport
node/503586992,16.2378155 -61.5302057,amenity:school;name:École
node/506930488,16.2540954 -61.5700347,bus:yes;highway:bus_stop;name:La Jaille;operator:Karu'lis;public_transport:platform;shelter:yes;wheelchair:no
node/506930489,16.254351 -61.5710467,bus:yes;highway:bus_stop;name:La Jaille;operator:Karu'lis;public_transport:platform;shelter:yes
node/508888638,16.2455127 -61.6054929,bus:yes;highway:bus_stop;public_transport:platform
node/509267289,16.2661649 -61.5822249,amenity:library;name:CDI
node/513905466,16.3577773 -61.729452,direction:275;source:survey;tourism:viewpoint
node/514542947,16.3482537 -61.773549,check_date:internet_access:2022-11-15;internet_access:wlan;name:Fort Royal;name:gcf:Fô Woyal;place:locality;tourism:hotel
node/518456208,16.0130749 -61.7465457,"height:4;heritage:3;heritage:operator:mhs;historic:castle;man_made:tower;mhs:inscription_date:1979-01-22;name:Tour du Père-Labat;ref:mhs:PA00105848;source:heritage:data.gouv.fr, Ministère de la Culture - 2016;start_date:C18;tower:type:defensive;wikidata:Q15953420;wikipedia:fr:Tour du Père-Labat"
node/519916306,16.2690382 -61.506739,bus:yes;highway:bus_stop;operator:Karu'lis;public_transport:platform
node/520093074,16.2593313 -61.3564696,bus:yes;highway:bus_stop;name:Carrefour Bérard;public_transport:platform
