ext_id,coordinates,tags
node/324426083,5.0739861 -52.6993685,ele:160;name:Point de vue;tourism:viewpoint
node/332100191,4.7205483 -52.3038303,bus:yes;highway:bus_stop;name:Roura - Eskol;public_transport:platform
node/332100773,4.7413509 -52.3270946,bus:yes;highway:bus_stop;name:Marina du Mahury;public_transport:platform
node/332113712,5.0711668 -52.5444572,bench:no;bin:no;bus:yes;highway:bus_stop;name:Zone Guatemala;public_transport:platform;shelter:no;tactile_paving:no
node/332225587,5.1621968 -52.6347241,bus:yes;name:Cocoteraie 2;public_transport:stop_position
node/332228071,5.1574798 -52.6449038,bus:yes;name:Canal de l'Ouest;public_transport:stop_position
node/332235815,5.063556 -52.5347408,bench:no;bin:no;bus:yes;check_date:tactile_paving:2023-09-22;highway:bus_stop;name:Matiti point B;public_transport:platform;shelter:no;tactile_paving:no
node/337535534,5.17844 -52.649644,bus:yes;name:Canal de l'Anse;public_transport:stop_position
node/337924507,4.9486193 -52.4432412,bench:no;bin:no;bus:yes;highway:bus_stop;name:La Carapa;public_transport:platform;shelter:no;tactile_paving:no
node/337943910,5.1556104 -52.6487016,bus:yes;name:Pôle Culturel;public_transport:stop_position
node/408292465,4.784596 -52.3381385,bench:yes;bin:no;bus:yes;highway:bus_stop;name:Chemin Mogès;public_transport:platform;shelter:yes;tactile_paving:no
node/410540729,4.9389669 -52.3336821,addr:street:Place des palmistes;historic:monument;name:Statue de Félix Éboué;subject:wikidata:Q989568;wikidata:Q29612433
node/424529807,5.1659843 -52.6529563,bus:yes;name:Léopold Sédar Senghor;public_transport:stop_position
node/431261648,5.7448923 -53.9337364,addr:city:Awala-Yalimapo;addr:place:Zone de Simili;addr:postcode:97319;email:ajs.simili@wanadoo.fr;name:Auberge de Jeunesse de Simili;phone:+594 594 34 16 25;tourism:hostel;website:https://www.fuaj.org/awala-yalimapo-guyane
node/431261653,5.7382626 -53.9081885,tourism:picnic_site
node/431261661,5.7339385 -53.9056586,"amenity:townhall;contact:email:mairie@awala-yalimapo.fr;contact:phone:+594 594 34 76 76;name:Mairie d'Awala-Yalimapo;opening_hours:Mo 08:00-14:30; Fr 08:00-14:00; Tu 08:00-13:00,14:00-17:30; We 08:00-14:30; Th 08:00-13:00,14:00-17:30;ref:FR:SIRET:21973361500013;source:Service-Public.fr - 11/2023;wheelchair:yes"
node/431261680,5.7366272 -53.9096585,amenity:library;name:Bibliothèque municipale « Mailana »
node/431741301,5.0603592 -53.0536762,name:Carbet EDF;tourism:alpine_hut
node/440881923,4.8900591 -52.3465146,addr:city:Matoury;addr:country:GF;addr:housenumber:20;addr:postcode:97354;addr:street:Rue du Belvédère;alt_name:Lycée Balata;amenity:school;name:Lycée polyvalent Balata;operator:Education Nationale;operator:type:public;ref:UAI:9730514w;school:FR:lycée;website:https://lp-des-metiers-du-batiment.eta.ac-guyane.fr/
node/441386043,5.167061 -52.7008348,man_made:telescope;operator:ESA;telescope:type:radio
node/441386070,5.1674286 -52.7003284,man_made:telescope;operator:ESA;telescope:type:radio
node/442713345,5.1504194 -53.9781314,historic:ruins;name:Camp Maïpouri
node/443176368,4.9024017 -52.2800311,amenity:school;name:École élémentaire Moulin à vent;operator:type:public;ref:UAI:9730198C;school:FR:primaire;source:data.gouv.fr:Éducation Nationale - 03/2018
