ext_id,coordinates,tags
node/25178042,49.0879628 1.4938446,"addr:postcode:27200;address:73, avenue de Paris;amenity:fuel;brand:Avia;brand:wikidata:Q300147;brand:wikipedia:fr:Avia International;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;name:Avia;opening_hours:24/7;ref:FR:prix-carburants:27200004;shop:convenience;gas;toilets:yes"
node/25178337,49.6784837 1.3383569,"addr:postcode:76680;address:A 28 - direction Abbeville/Rouen, Aire de Maucomble;amenity:fuel;brand:Shell;brand:wikidata:Q110716465;brand:wikipedia:en:Royal Dutch Shell;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;name:Shell;opening_hours:24/7;operator:Shell;ref:FR:prix-carburants:76680003;shop:convenience;source:stations.gpl.online.fr;toilets:yes"
node/25209328,48.7424448 0.9607516,"addr:postcode:27130;address:N 12 -, Route de Paris;amenity:fuel;compressed_air:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Libreco;ref:FR:prix-carburants:27130004;shop:convenience;source:stations.gpl.online.fr;toilets:yes;vending:fuel;vending_machine:fuel"
node/25210112,49.3184891 1.1570238,"addr:postcode:27460;address:Route de Lyons;amenity:fuel;brand:Station U;brand:wikidata:Q2529029;brand:wikipedia:fr:Système U;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_95:yes;hgv:lanes:yes;name:Super U;opening_hours:24/7;operator:Super U;ref:FR:prix-carburants:27460001;shop:gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 08/04/2018;toilets:yes;vending:fuel;vending_machine:fuel"
node/25210337,49.207295 0.9352971,"addr:postcode:27370;address:Rue de la République;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:TotalEnergies;compressed_air:yes;fuel:diesel:yes;fuel:lpg:yes;fuel:octane_95:yes;hgv:lanes:yes;name:Station Total;operator:Total;ref:FR:prix-carburants:27370001;shop:convenience;gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes;vending:fuel;vending_machine:fuel"
node/25210589,49.90625 1.67395,"addr:postcode:76340;address:CD 49 - direction Aumale/Eu,;amenity:fuel;fuel:lpg:yes;name:Garage Chevalier;source:stations.gpl.online.fr"
node/25211072,49.4989354 0.1586172,"addr:postcode:76600;addr:street:Boulevard de Léningrad;amenity:fuel;brand:Total Access;brand:wikidata:Q154037;brand:wikipedia:fr:TotalEnergies;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;name:Total Access;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:76600024;shop:convenience;gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;vending:fuel;vending_machine:fuel"
node/25211123,49.3608819 0.8600691,"addr:postcode:27130;address:A 13 - Direction Caen/Paris, Aire De Bosgouet Sud;amenity:fuel;brand:Total Access;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Relais Total De Bosgouet;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:27310007;shop:convenience;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes;vending:fuel;vending_machine:fuel"
node/25211416,49.5250511 0.1897165,"addr:place:Centre Commercial La Lézarde;addr:postcode:76290;amenity:fuel;brand:Auchan;brand:wikidata:Q758603;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;name:Auchan;operator:Auchan;ref:FR:prix-carburants:76290001;shop:gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;vending:fuel;vending_machine:fuel"
node/25212292,49.3471154 0.5245305,addr:city:Pont-Audemer;addr:postcode:27500;addr:street:Route de Bernay;amenity:fuel;brand:Intermarché;brand:wikidata:Q3153200;brand:wikipedia:fr:Intermarché;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;operator:Groupement des Mousquetaires;ref:FR:prix-carburants:27500004;shop:gas;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel
