ext_id,coordinates,tags
node/656846,43.9596618 4.7552464,bus:yes;highway:bus_stop;name:Rouvre;public_transport:stop_position
node/881112,43.9565057 4.7836785,bus:yes;highway:bus_stop;name:Ste Thérèse;public_transport:stop_position
node/8977559,43.5899258 3.890467,bus:yes;name:Garcia Lorca;public_transport:stop_position
node/10465942,43.2544966 2.2646853,bus:yes;highway:bus_stop;public_transport:stop_position
node/20931619,43.8167884 4.3477141,bus:yes;name:Jean Monnet;public_transport:stop_position
node/20931624,43.8169841 4.3483755,bus:yes;name:Jean Monnet;public_transport:stop_position
node/20932648,43.6229528 3.8825724,bus:yes;name:Pierre Rouge;public_transport:stop_position
node/20932959,43.6336294 3.9220482,bus:yes;name:Notre-Dame de Sablassou;public_transport:stop_position;source:location:survey2019
node/21669557,43.6354367 3.9628893,name:Saint-Aunès;public_transport:stop_position;railway:stop;railway:position:exact:68.385;train:yes;uic_ref:8777346
node/25178206,43.672362 4.4218998,"amenity:fuel;brand:Intermarché;brand:wikidata:Q3153200;brand:wikipedia:fr:Intermarché;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_95:yes;hgv:lanes:yes;name:Intermarché;operator:Groupement des Mousquetaires;ref:FR:prix-carburants:30800001;shop:convenience;gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 08/04/2018;toilets:yes;vending:fuel;vending_machine:fuel"
node/25178536,44.003536 4.7043962,"addr:postcode:30120;amenity:fuel;brand:Esso;brand:wikidata:Q867662;brand:wikipedia:fr:Esso (marque);compressed_air:yes;description:A 9 - direction Orange/Nîmes, Aire de Tavel Nord;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Station Esso;opening_hours:24/7;operator:Esso;ref:FR:prix-carburants:30126005;shop:convenience;source:stations.gpl.online.fr;Ministère de l'Economie, de l'Industrie et du Numérique - 08/04/2018;toilets:yes"
node/25179261,43.547982 3.7955488,"addr:full:A 9 - direction Montpellier/Narbonne, Aire de Montpellier-Fabrègues Nord;addr:postcode:34690;amenity:fuel;brand:Total;brand:wikidata:Q377915;check_date:2023-07-23;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:octane_98:yes;hgv:lanes:yes;is_in:A-9;layer:2;opening_hours:24/7;ref:FR:prix-carburants:34690009;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes;vending:fuel;wifi:yes"
node/25179324,43.2032114 2.7817804,amenity:fuel;brand:Dyneff;brand:wikidata:Q16630266;brand:wikipedia:fr:Dyneff;compressed_air:yes;fuel:diesel:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_95:yes;name:Station Dyneff;opening_hours:24/7;operator:Dyneff;ref:FR:prix-carburants:11200002;shop:convenience;gas;source:stations.gpl.online.fr;toilets:yes;vending:fuel;vending_machine:fuel
node/25209179,44.1212123 4.0867544,"addr:postcode:30100;address:N 106 -, Avenue Carnot;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:octane_98:yes;level:0;name:Relais Total de la Chadenede;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:30100014;shop:convenience;gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020"
node/25209206,43.2558745 2.3645965,addr:description:Route de Mazamet;addr:postcode:11600;amenity:fuel;brand:Dyneff;brand:wikidata:Q16630266;brand:wikipedia:fr:Dyneff;compressed_air:yes;fuel:diesel:yes;fuel:e85:yes;fuel:octane_95:yes;fuel:octane_98:yes;name:Station service;opening_hours:24/7;ref:FR:prix-carburants:11620001;shop:convenience;gas;source:stations.gpl.online.fr;toilets:yes;vending:fuel;vending_machine:fuel
node/25209273,43.8504721 4.4007006,"addr:postcode:30000;address:N 86 -, 314, rte d'Avignon - Pont de Justice;amenity:fuel;brand:Total Access;brand:wikidata:Q154037;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;is_in:NÎMES;name:2 T Services;ref:FR:prix-carburants:30000021;shop:convenience;gas;vending:fuel;vending_machine:fuel"
node/25209344,43.9990145 4.6990979,"addr:postcode:30150;address:A 9 - direction Nîmes/Orange, Aire de Tavel Sud;amenity:fuel;brand:Agip;brand:wikidata:Q377915;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;is_in:A-9;opening_hours:24/7;operator:Agip;ref:FR:prix-carburants:30126008;shop:convenience;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;survey:date:2020-10-25;toilets:yes"
node/25209373,43.9794409 4.7858912,addr:postcode:30400;address:ZAC Des Charbonnières;amenity:fuel;brand:Carrefour Market;brand:wikidata:Q2689639;brand:wikipedia:fr:Carrefour Market;fuel:diesel:yes;fuel:e10:yes;fuel:octane_95:yes;fuel:octane_98:yes;operator:Carrefour;ref:FR:prix-carburants:30400001;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel
node/25209537,43.2852037 3.5137233,"addr:housenumber:8;addr:postcode:34300;addr:street:Avenue des Sergents;amenity:fuel;brand:Agip;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:octane_98:yes;opening_hours:24/7;operator:Agip;ref:FR:prix-carburants:34300013;shop:convenience;gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020"
node/25209736,43.295633 3.2177064,addr:postcode:34350;address:RD 64 - ZAE Europa Ouest - Domaine Grand Hopital;amenity:fuel;brand:Dyneff;brand:wikidata:Q16630266;brand:wikipedia:fr:Dyneff;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_95:yes;hgv:lanes:yes;name:Station Dyneff (Truck étape);opening_hours:24/7;ref:FR:prix-carburants:34350003;shop:convenience;source:stations.gpl.online.fr;toilets:yes
node/25209815,44.1113304 4.0962152,addr:postcode:30100;address:Quai Mas d'Hours;amenity:fuel;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:C. C. Cora;opening_hours:24/7;operator:Cora;ref:FR:prix-carburants:30104001;shop:gas;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel
node/25209822,43.6080875 3.9130199,addr:postcode:34000;addr:street:Avenue Président Pierre Mendès France;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:octane_98:yes;is_in:Montpellier;opening_hours:24/7;ref:FR:prix-carburants:34000013;shop:convenience;gas;vending:fuel;vending_machine:fuel
node/25210158,43.6135105 3.8091387,addr:city:Juvignac;addr:postcode:34990;addr:street:Route de Saint-Georges d'Orques;amenity:fuel;brand:Intermarché;brand:wikidata:Q3153200;brand:wikipedia:fr:Intermarché;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Intermarché;opening_hours:24/7;operator:Groupement des Mousquetaires;ref:FR:prix-carburants:34990001;shop:gas;vending:fuel;vending_machine:fuel
node/25210225,43.3589133 3.3458326,"addr:full:A 9 - direction Narbonne/Montpellier, Aire de Béziers-Montblanc Sud;addr:postcode:34290;amenity:fuel;brand:Shell;brand:wikidata:Q154950;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;opening_hours:24/7;operator:Shell;ref:FR:prix-carburants:34290007;shop:convenience;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes;vending:fuel;vending_machine:fuel"
