ext_id,coordinates,tags
node/24933643,46.183 1.846,addr:postcode:23000;address:N 145 - Aire Monts Gueret;amenity:fuel;brand:Avia;brand:wikidata:Q300147;brand:wikipedia:fr:Avia International;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Station Avia;opening_hours:24/7;operator:Avia;ref:FR:prix-carburants:23000004;shop:convenience;source:stations.gpl.online.fr;toilets:yes;vending:fuel;vending_machine:fuel
node/25209635,45.2456794 1.7734991,"addr:description:N 120 - 1, Avenue de Coulaud;addr:postcode:19150;amenity:fuel;brand:Station U;brand:wikidata:Q2529029;brand:wikipedia:fr:Système U;check_date:2023-11-06;compressed_air:yes;fuel:diesel:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_95:yes;fuel:octane_98:yes;opening_hours:24/7;operator:Super U;ref:FR:prix-carburants:19150002;shop:convenience;gas;toilets:yes;vending:fuel;vending_machine:fuel"
node/25210230,45.1648452 1.5105572,"addr:postcode:19100;address:N 89 - direction Bordeaux, 90, avenue Ribot;amenity:fuel;brand:Total Access;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;is_in:BRIVE-LA-GAILLARDE;name:Total Access;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:19100017;source:stations.gpl.online.fr"
node/25211077,46.2043299 1.3859852,"addr:full:N 145 - Direction Guéret, 14, Rue De La Croisière - St-Maurice;addr:postcode:23300;amenity:fuel;brand:Shell;brand:wikidata:Q110716465;fuel:diesel:yes;hgv:lanes:yes;name:Shell;operator:Shell;ref:FR:prix-carburants:23300010;source:stations.gpl.online.fr"
node/25212101,45.881418 1.291854,"addr:full:1, Place Beaubreuil;addr:postcode:87050;amenity:fuel;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;opening_hours:24/7;operator:Cora;ref:FR:prix-carburants:87280005;shop:convenience;gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;vending:fuel;vending_machine:fuel"
node/25212387,46.3134778 1.4194037,"address:A 20 - Direction Limoges/Vierzon, Aire De Boismandé Est;amenity:fuel;brand:Esso;brand:wikidata:Q867662;brand:wikipedia:en:Esso;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Esso;opening_hours:24/7;operator:Esso;ref:FR:prix-carburants:87160002;shop:convenience;toilets:yes"
node/25635209,46.0467455 1.4760473,local_ref:2;name:Saint-Sulpice-Laurière;public_transport:stop_position;railway:stop;railway:position:exact:368.138;448.953;train:yes;uic_ref:8759234
node/25637985,45.0146324 1.4831182,name:Gignac-Cressensac (Lot);official_name:Gignac - Cressensac;operator:SNCF;public_transport:stop_position;railway:stop;railway:position:exact:519.996;source:SNCF - 06/2013;train:yes;uic_ref:8759432
node/26858792,45.932222 1.290278,created_by:JOSM;name:Leychoisier;tourism:camp_site
node/26859163,45.045833 1.883889,created_by:JOSM;name:Vaurette;tourism:camp_site;website:https://www.vaurette.com/
node/35299145,46.349994 1.3940557,amenity:townhall
node/83592569,45.5814471 1.4687116,bus:yes;highway:bus_stop;name:Saint-Germain les Belles - Le Martoulet;public_transport:stop_position
node/83602950,45.5528143 1.4396833,bus:yes;highway:bus_stop;name:Meuzac - Centre;public_transport:stop_position
node/257391482,45.0379576 1.6007076,name:Turenne;operator:SNCF;public_transport:stop_position;railway:stop;railway:position:exact:163.055;train:yes;uic_ref:8759455;wikidata:Q5522732
node/257947881,45.2469609 1.7722103,bus:yes;name:Centre Commercial de Laguenne;public_transport:stop_position
node/272837836,46.1832158 1.879426,bus:yes;name:Varennes;public_transport:stop_position
node/272837922,46.2248057 1.9188732,bus:yes;name:Glénic - Le Pont;public_transport:stop_position
node/272838339,46.2880676 1.9116008,bus:yes;name:Champsanglard - Bordas;public_transport:stop_position
node/272840731,46.1670498 1.8549211,bus:yes;name:Courtille;public_transport:stop_position;tactile_paving:yes
node/272840753,46.1736589 1.8651027,bus:yes;name:Allende;public_transport:stop_position
node/272841023,46.179199 1.8800788,bus:yes;name:Clinique de la Marche;public_transport:stop_position
node/272841151,46.2985423 1.8240212,name:L'Age;operator:Municipal;phone:+33 5 55 89 24 61;stars:2;tourism:camp_site;website:https://tourisme-valleedespeintres-creuse.com/Ou-dormir/Campings/(view)/167000157
node/272841223,46.1597706 1.8720442,bus:yes;name:Schoelcher;note:test_VGD_180218_osm2GTFS;public_transport:stop_position
node/272843078,46.3217449 1.8265163,created_by:JOSM;name:La Tuilerie de Pouligny;tourism:attraction
node/272843441,46.3008522 1.8194337,direction:140;name:Guemontet Point de Vue;tourism:viewpoint
node/272843884,46.261416 1.8803582,name:Gites de Champsanglard;tourism:camp_site
node/272898384,45.1523601 1.5047153,bus:yes;name:Pont d'Estavel;public_transport:stop_position
node/274507434,45.8469894 1.0462893,bus:yes;name:Saint-Yrieix-sous-Aixe - Ratterie;public_transport:stop_position
node/274551112,45.832268 1.084514,bus:yes;name:Saint-Priest-sous-Aixe - Chemin Ferré;public_transport:stop_position
node/274551415,45.8402418 1.0976887,bus:yes;name:Saint-Priest-sous-Aixe - Pont de la Gabie;public_transport:stop_position
node/274701096,45.8569684 1.0779682,bench:yes;highway:bus_stop;name:Saint-Yrieix-sous-Aixe - Le Bourg;public_transport:platform;route_ref:LR70;shelter:yes
node/275013674,45.8166709 1.0992389,bus:yes;name:Saint-Priest-sous-Aixe - Place de la Poste;public_transport:stop_position
node/275673510,45.8467579 1.1720435,"amenity:fuel;brand:Avia;brand:wikidata:Q300147;brand:wikipedia:de:Avia International;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Avia;opening_hours:24/7;ref:FR:prix-carburants:87430001;shop:convenience;gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes;vending:fuel;vending_machine:fuel"
node/279589002,45.9025045 0.9978286,bus:yes;name:Saint-Brice-sur-Vienne - La Malaise;public_transport:stop_position
node/279858519,45.9826999 1.8945979,bus:yes;name:Saint-Hilaire-le-Château - Centre;public_transport:stop_position
node/279859855,45.9433964 2.0492511,bus:yes;name:Saint-Michel-de-Veisse - Courcelles;public_transport:stop_position
node/279881902,45.9188432 1.6346005,bus:yes;highway:bus_stop;name:Saint-Amand-Jartoudeix - Le Nouhaud;public_transport:platform;route_ref:LRR9
node/279902671,45.9972858 1.8504727,bus:yes;name:Pontarion - Centre;public_transport:stop_position
node/279905851,45.9718929 1.9676625,bus:yes;name:Chavanat - Charbonnier;public_transport:stop_position
node/279909509,45.9522602 2.1741463,"amenity:school;name:Lycée Professionnel Jean Jaurès;operator:type:public;ref:UAI:0230003D;school:FR:lycée;source:data.gouv.fr:Ministère de l'Éducation nationale, de la Jeunesse et de la Vie associative - 05/2012"
node/279912269,45.9464357 2.2410702,bus:yes;name:Saint-Pardoux-le-Neuf - La Croix de la Védrenne;public_transport:stop_position
node/279913481,45.8448645 1.4929103,bus:yes;name:Saint-Léonard-de-Noblat - Cité d'Augères;public_transport:stop_position
node/279914304,45.8378963 1.4922084,bus:yes;name:Saint-Léonard-de-Noblat - Centre;public_transport:stop_position
node/279915015,45.834106 1.4770085,bus:yes;name:Saint-Léonard-de-Noblat - Pont de Noblat;public_transport:stop_position
node/279915487,45.8306476 1.2996933,bus:yes;name:Le Chalet;public_transport:stop_position;route_ref:12;34;61
node/279917974,45.8484044 1.4306573,bus:yes;name:Royères - Centre;public_transport:stop_position
node/279923562,45.827869 1.291633,"amenity:fuel;brand:Netto;brand:wikidata:Q2720988;brand:wikipedia:fr:Netto;fuel:diesel:yes;fuel:e10:yes;fuel:octane_98:yes;name:Netto;operator:Netto;ref:FR:prix-carburants:87350004;self_service:yes;shop:gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 08/04/2018"
node/282698337,45.4353149 1.5643541,bus:yes;name:Uzerche - Pont des Malades;public_transport:stop_position
node/284145624,45.6519462 0.9800593,bus:yes;name:Châlus - Place Salvador Allende;public_transport:stop_position
node/284145780,45.6534679 0.9807095,"amenity:fuel;brand:Intermarché;brand:wikidata:Q3153200;brand:wikipedia:fr:Intermarché;compressed_air:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Intermarché;opening_hours:24/7;operator:Intermarché;ref:FR:prix-carburants:87230002;shop:gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 08/04/2018;vending:fuel;vending_machine:fuel"
node/285759167,45.4645498 1.727606,bus:yes;name:Le Lonzac - La Gare;public_transport:stop_position
node/285762420,45.6549061 2.2709099,bus:yes;name:Saint-Rémy - Église;public_transport:stop_position
node/285762640,45.6622235 2.451609,bench:yes;bus:yes;highway:bus_stop;name:Eygurande - Bourg Mairie AB;public_transport:platform;route_ref:LRR12;shelter:yes
node/286202015,46.2398214 1.4924642,local_ref:B;name:La Souterraine;operator:SNCF;public_transport:stop_position;railway:stop;railway:position:exact:342.063;ref:FR:SNCF_Reseau:GAIA:d99a5d90-6667-11e3-89ff-01f464e0362d;train:yes;uic_ref:8759237
node/288145593,45.3277628 1.7689937,bus:yes;name:Naves - Aire de Covoiturage La Combotte;public_transport:stop_position
node/290593538,45.1653994 1.5793967,bus:yes;name:ZA La Rivière;public_transport:stop_position
node/290594337,45.0702103 1.7382365,bus:yes;name:Le Pescher - Le Bourg;public_transport:stop_position
node/290594762,44.9425472 1.764369,tourism:camp_site
node/291739796,45.7097347 0.8037623,bus:yes;name:Saint-Mathieu - La Forge;public_transport:stop_position;source:cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2008
node/291828645,45.0399294 2.0784192,amenity:townhall
node/292555995,45.278628 1.4187715,amenity:school;name:Lycée horticole de Brive-Voutezac;school:FR:lycée
node/292990483,45.4190954 1.5684736,name:Camping municipal d'Uzerche;tourism:camp_site
node/294773941,45.8119225 1.072859,bus:yes;name:Saint-Priest-sous-Aixe - Scierie;public_transport:stop_position
node/298430757,46.1986117 2.174455,name:Parsac-Gouzon;public_transport:stop_position;railway:stop;train:yes;uic_ref:8759772
