ext_id,coordinates,tags
node/142029,48.6951244 6.1318416,bus:yes;highway:bus_stop;name:Vezouze;public_transport:stop_position
node/142108,48.6615018 6.1880408,bus:yes;highway:bus_stop;name:Haute Malgrange;public_transport:stop_position
node/142117,48.6584964 6.1786201,bus:yes;highway:bus_stop;name:Jeanne d'Arc;public_transport:stop_position
node/142164,48.6412978 6.1980614,bus:yes;highway:bus_stop;name:Morlaix;public_transport:stop_position
node/9685951,48.657539 6.1751593,bus:yes;highway:bus_stop;name:Fribourg;public_transport:stop_position
node/9685954,48.6577708 6.1777726,bus:yes;highway:bus_stop;name:Boulevard de l'Europe;public_transport:stop_position
node/9686212,48.6504743 6.1940954,bus:yes;highway:bus_stop;name:Temps Libre;public_transport:stop_position
node/9772682,48.6520595 6.1758948,bus:yes;highway:bus_stop;name:Haut de Penoy;public_transport:stop_position
node/9780878,48.648874 6.1759982,bus:yes;highway:bus_stop;name:La Ronchère;public_transport:stop_position
node/9903227,48.6952515 6.1393095,bus:yes;highway:bus_stop;name:Gentilly;public_transport:stop_position
node/10113682,48.6509204 6.1466534,bus:yes;highway:bus_stop;name:Campus Brabois - École d'Ingénieurs;public_transport:stop_position;source:survey
node/10115077,48.669547 6.1528043,bus:yes;highway:bus_stop;name:Remicourt;public_transport:stop_position
node/10285656,48.6487389 6.1445989,bus:yes;highway:bus_stop;name:Vandœuvre CHU Brabois;public_transport:stop_position
node/10285666,48.6485999 6.1454874,bus:yes;highway:bus_stop;name:Vandœuvre CHU Brabois;public_transport:stop_position;source:survey
node/10467154,48.6928836 6.1682625,bus:yes;highway:bus_stop;name:Place Godefroy de Bouillon;public_transport:stop_position;wheelchair:yes
node/10467265,48.697513 6.131914,bus:yes;highway:bus_stop;name:Parc;public_transport:stop_position
node/10468444,48.7013947 6.1642241,bus:yes;highway:bus_stop;name:Alix Le Clerc;public_transport:stop_position;source:survey;wheelchair:yes
node/10469062,48.7009977 6.1331679,bus:yes;highway:bus_stop;name:La Poste Champ le Boeuf;public_transport:stop_position
node/10531881,48.6908396 6.1745178,bus:yes;highway:bus_stop;name:Tour Thiers Gare;public_transport:stop_position;wheelchair:yes
