ext_id,coordinates,tags
node/473111042,14.6952791 -61.1674678,bus:yes;public_transport:stop_position
node/529538352,14.8667668 -61.106242,direction:45;tourism:viewpoint
node/529864833,14.6861955 -61.1134118,direction:90;tourism:viewpoint
node/534328957,14.4905983 -61.0804354,amenity:fountain;source:cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2008
node/534436053,14.48045 -60.8106136,direction:90;source:cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2008;tourism:viewpoint
node/539535657,14.6721216 -61.0163205,bus:yes;highway:bus_stop;name:Les Palmiers;network:Mozaik;public_transport:platform;source:cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre;mise à jour : 2008
node/600139468,14.5758234 -60.9746907,amenity:school;source:cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2009
node/972400688,14.6423087 -61.0335489,bus:yes;highway:bus_stop;public_transport:platform
node/973055823,14.6491404 -61.0611216,amenity:school;name:École élémentaire de Ravine-Vilaine;school:FR:élémentaire;source:cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010
node/973151375,14.6077576 -61.0829827,amenity:school;name:École primaire Eugène Revert;school:FR:primaire;source:cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010
node/973151927,14.6063071 -61.079181,amenity:school;name:CES Tartenson;source:cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010
node/973875523,14.6669396 -61.0623618,amenity:school;name:École;source:cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010
node/973958523,14.6755015 -61.0602503,amenity:school;name:École;source:cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010
node/975320796,14.7281951 -61.0222814,amenity:school;name:École primaire Bois-Joly;school:FR:primaire;source:cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010
node/1098198681,14.3995623 -60.8745496,direction:90;leisure:bird_hide;name:Observatoire Ornithologique;tourism:viewpoint
node/1098198801,14.3993434 -60.8752519,direction:65;leisure:bird_hide;name:Observatoire Ornithologique;tourism:viewpoint
node/1100204801,14.5181593 -61.0670883,man_made:tower;tower:type:communication;type:antenna
node/1106796491,14.6020262 -60.9076566,name:Habitation Clément;opening_hours:Mo-Su 09:00-18:30;tourism:museum;website:http://habitation.fondation-clement.org
node/1106810526,14.7726832 -60.8821405,direction:0-360;tourism:viewpoint
