ext_id,coordinates,tags
node/1295700479,-12.6893712 45.1288159,man_made:lighthouse;seamark:light:1:category:front;seamark:light:1:character:VQ;seamark:light:1:colour:white;seamark:light:1:range:10;seamark:light:1:sector_end:175.5;seamark:light:1:sector_start:172.5;seamark:light:1:visibility:intensified;seamark:light:reference:D 6892;seamark:type:light_minor;source:US NGA Pub. 112. 2010-11-10.
node/1552576123,-12.781802 45.2573953,internet_access:wlan;name:Le Rocher;operator:ORANGE;tourism:hotel
node/1629895275,-12.9616687 45.0850591,fax:02.69.60.15.19;name:Hôtel Le Jardin Maoré;phone:02.69.60.14.19;tourism:hotel;website:http://www.hotel-jardin-maore.com/
node/1629895306,-12.890767 45.2110206,email:sakouli.hotel@wanadoo.fr;fax:02.69.60.63.64;name:Hôtel Sakouli;phone:02.69.60.63.63;stars:3;tourism:hotel;website:https://hotelsakouli.com/;wheelchair:yes
node/1772851009,-12.7818653 45.2366781,description:Point de vue vers la Petite Terre;tourism:viewpoint
node/1865686289,-12.7771001 45.231517,name:Caribou Hotel;tourism:hotel
node/1871359411,-12.798332 45.2747644,"amenity:townhall;contact:email:mairie@mairie-pamandzi.fr;contact:facebook:https://www.facebook.com/villepamandzi;contact:phone:+262 269 60 12 82;name:Mairie de Pamandzi;opening_hours:Mo-Th 07:30-12:00,13:30-16:30; Fr 07:30-11:30; Sa 08:00-12:00;ref:FR:SIRET:20000886000013;source:Service-Public.fr - 11/2023;wheelchair:no"
node/1871359412,-12.7882819 45.2725539,amenity:townhall;name:Mairie de Labattoir
node/1871619359,-12.7310959 45.194665,name:Hôtel Trévani;tourism:hotel
node/1955635666,-12.7323918 45.1858728,email:villa.maora@yahoo.fr;name:La Villa Maora;phone:02 69 62 74 40;tourism:hotel
node/1955649372,-12.8063679 45.1547461,name:Gîte du Mont Combani;tourism:hotel;website:https://www.gitedumontcombani.com/
node/2165972753,-12.7894484 45.2683789,amenity:marketplace;name:Marché Couvert de Labattoir
node/2401742800,-12.7639647 45.2830862,man_made:tower;source:Bing Sat;tower:type:communication
node/2446809789,-12.7846007 45.2243379,amenity:bank;atm:yes;brand:Crédit Agricole;brand:wikidata:Q590952;brand:wikipedia:fr:Crédit agricole;name:Crédit Agricole;operator:Crédit Agricole
node/2446809807,-12.7828583 45.2199106,amenity:community_centre;name:Maison des Adolescents
