ext_id,coordinates,tags
node/17401813,50.6393227 3.0753276,highspeed:yes;level:-2;local_ref:43;name:Lille Europe;official_name:Lille-Europe;public_transport:stop_position;railway:stop;railway:bidirectional:regular;railway:preferred_direction:forward;train:yes;uic_ref:8722326
node/20974992,50.3718161 3.0903364,name:Douai;operator:SNCF;public_transport:stop_position;railway:stop;railway:position:exact:217.434;ref:5;ref:FR:SNCF_Reseau:GAIA:d9778118-6667-11e3-89ff-01f464e0362d;train:yes;uic_ref:8734500
node/21309171,50.6957568 3.1630343,alt_name:ar:روباي;local_ref:B;name:Roubaix;name:ar:روبيه;name:fa:روبه;name:ur:روبی;public_transport:stop_position;railway:stop;train:yes
node/24947460,50.6374689 3.0710152,name:Gare Lille Flandres;public_transport:stop_position;railway:stop;subway:yes
node/25178522,50.5726724 2.377248,"address:A 26 - direction Calais/Reims, Aire de Rely;amenity:fuel;brand:Shell;brand:wikidata:Q154950;brand:wikipedia:en:Royal Dutch Shell;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Shell;opening_hours:24/7;operator:Shell;postal_code:62120;ref:FR:prix-carburants:62120014;shop:convenience;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes;vending:fuel;vending_machine:fuel"
node/25179255,50.38719 2.3498,"address:184, Rue De Béthune;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;description:attention, cette station continue de distribuer LPG malgré infos osmose 11/2020;fuel:diesel:yes;fuel:e10:yes;fuel:octane_98:yes;hgv:lanes:yes;opening_hours:24/7;operator:Total;postal_code:62130;ref:FR:prix-carburants:62130001;shop:convenience;source:stations.gpl.online.fr;toilets:yes;website:https://store.total.fr/fr_FR/NF078382"
node/25209214,50.41706 2.76844,address:69 Rue Du Marechal De Lattre De Tassigny;amenity:fuel;brand:Total Access;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:GTL_diesel:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Relais Total de Rollencourt;opening_hours:24/7;operator:Total;postal_code:62800;ref:FR:prix-carburants:62800004;shop:convenience;gas;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel
node/25209305,51.02444 2.36115,addr:housenumber:235;addr:street:Avenue de la Villette;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;name:Relais Total Du Pont Loby;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:59640002;shop:convenience;gas;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel
node/25209311,50.7399798 3.1391232,address:Boulevard D'Halluin;amenity:fuel;brand:Auchan;brand:wikidata:Q758603;brand:wikipedia:en:Auchan;check_date:2024-01-20;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_95:yes;fuel:octane_98:yes;hgv:lanes:yes;name:C. C. Auchan;opening_hours:24/7;operator:Auchan;payment:cash:no;payment:credit_cards:yes;payment:debit_cards:yes;postal_code:59223;ref:FR:prix-carburants:59223001;self_service:yes;shop:gas;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel;wheelchair:yes
node/25209347,50.7308019 2.5438576,"address:88, Rue Notre-Dame;amenity:fuel;brand:Super U;brand:wikidata:Q2529029;brand:wikipedia:fr:Système U;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Super U;opening_hours:24/7;operator:Super U;postal_code:59190;ref:FR:prix-carburants:59190004;shop:convenience;gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes;vending:fuel;vending_machine:fuel"
node/25209378,51.01566 2.38211,address:Rue Jacquart;amenity:fuel;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;name:C. C. Cora;operator:Cora;ref:FR:prix-carburants:59411001;shop:gas;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel
node/25209475,50.1221967 3.0892838,"address:A 2 - direction Paris/Valenciennes, Aire d'Havrincourt;amenity:fuel;brand:Avia;brand:wikidata:Q300147;brand:wikipedia:fr:Avia International;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Station Avia;opening_hours:24/7;operator:Avia;ref:FR:prix-carburants:62147001;source:Ministère de l'Economie, de l'Industrie et du Numérique - 22/10/2016;toilets:yes"
node/25209505,50.4928696 2.4881725,"addr:postcode:62470;address:D 70 -,;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:GTL_diesel:yes;fuel:HGV_diesel:yes;fuel:adblue:yes;fuel:diesel:yes;fuel:e10:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Total Excellium;opening_hours:24/7;operator:SARL JMV;ref:FR:prix-carburants:62470004;shop:convenience;gas;source:stations.gpl.online.fr;toilets:yes;vending:fuel;vending_machine:fuel"
