ext_id,coordinates,tags
node/12387295,48.1135919 -1.0253019,name:Saint-Pierre-la-Cour;operator:SNCF;public_transport:stop_position;railway:stop;railway:position:exact:321.492;train:yes;uic_ref:8747876
node/12387316,48.1106648 -0.9740809,name:Port-Brillet;operator:SNCF;public_transport:stop_position;railway:stop;railway:position:exact:317.092;train:yes;uic_ref:8747875
node/12387352,48.0967861 -0.8854877,name:Le Genest;operator:SNCF;public_transport:stop_position;railway:stop;railway:position:exact:309.982;source:BDOrtho IGN;train:yes;uic_ref:8747874
node/12387408,48.0763386 -0.7609119,level:0;local_ref:1;name:Laval;operator:SNCF;public_transport:stop_position;railway:stop;railway:position:exact:300.121;train:yes;uic_ref:8747840;wheelchair:yes
node/12387531,48.1414774 -0.5506667,name:Montsûrs;note:traversée voie piétonne;operator:SNCF;public_transport:stop_position;railway:crossing;railway:position:exact:281.443;source:BDOrtho IGN;train:yes;uic_ref:8747853;wheelchair:no
node/12387680,48.1602835 -0.1995888,name:Rouessé-Vassé;operator:SNCF;public_transport:stop_position;railway:stop;railway:position:exact:252.435;source:BDOrtho IGN;train:yes;uic_ref:8739625;wheelchair:no
node/12387940,47.9952898 0.1921785,bus:no;local_ref:4;name:Le Mans;operator:SNCF;public_transport:stop_position;railway:stop;railway:position:exact:210.980;train:yes;uic_ref:8739600;wheelchair:yes;wikidata:Q2718010;wikipedia:fr:Gare du Mans
node/12387992,48.0197122 0.3351891,highspeed:yes;name:Champagné;public_transport:stop_position;railway:stop;railway:position:exact:199.637;train:yes;uic_ref:8739627
node/25178201,47.2583594 -1.5798059,"addr:postcode:44300;address:162, Route De Rennes;amenity:fuel;brand:Avia;brand:wikidata:Q300147;brand:wikipedia:fr:Avia International;check_date:2023-05-27;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_95:yes;fuel:octane_98:yes;name:Avia;opening_hours:24/7;operator:Avia;ref:FR:prix-carburants:44300020;shop:convenience;gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes"
node/25178366,48.0230934 0.1829726,"addr:postcode:72000;address:314, avenue Rhin et Danube;amenity:fuel;brand:Total Access;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;is_in:LE-MANS;name:Total Access;opening_hours:24/7;operator:Total;ref:FR:prix-carburants:72000019;shop:gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 08/04/2018;vending:fuel;vending_machine:fuel"
node/25178489,47.311318 -2.200929,"addr:description:N 171 - direction Nantes,;addr:postcode:44570;amenity:fuel;brand:Avia;brand:wikidata:Q300147;brand:wikipedia:fr:Avia International;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Avia;opening_hours:24/7;operator:Shell;ref:FR:prix-carburants:44570004;shop:convenience;source:stations.gpl.online.fr;toilets:yes"
node/25179117,47.258924 -2.265004,addr:postcode:44600;address:332 route côte d'amour;amenity:fuel;brand:Casino;brand:wikidata:Q89029184;brand:wikipedia:fr:Groupe Casino;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;is_in:Saint-Nazaire;name:Géant Casino;opening_hours:24/7;ref:FR:prix-carburants:44600001;shop:gas;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel
node/25209105,48.3417873 -0.271711,addr:postcode:53700;address:Rte Courcité;amenity:fuel;brand:Station U;brand:wikidata:Q2529029;brand:wikipedia:fr:Système U;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_95:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Super U;opening_hours:24/7;operator:Super U;ref:FR:prix-carburants:53700001;shop:gas;source:stations.gpl.online.fr
node/25209151,47.37139 -0.0979,addr:postcode:49160;address:La Métairie;amenity:fuel;brand:Station U;brand:wikidata:Q2529029;brand:wikipedia:fr:Système U;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Super U;opening_hours:24/7;operator:Super U;ref:FR:prix-carburants:49160001;shop:gas;source:stations.gpl.online.fr
node/25209169,47.9332135 0.1872413,"addr:postcode:72230;address:22, Avenue Nationale (centre Ville);amenity:fuel;brand:Esso;brand:wikidata:Q867662;brand:wikipedia:fr:Esso (marque);car_wash:yes;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Esso;opening_hours:24/7;operator:Esso;ref:FR:SIRET:32426549500014;ref:FR:prix-carburants:72230006;shop:convenience;gas;car_repair;source:stations.gpl.online.fr;toilets:yes;vending:fuel;vending_machine:fuel"
node/25209279,47.6968823 -0.8713722,"addr:city:Segré-en-Anjou Bleu;addr:description:C C de La Renaissance - Rte De Laval;addr:postcode:49500;amenity:fuel;brand:U;brand:wikidata:Q2529029;brand:wikipedia:fr:Système U;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_95:yes;hgv:lanes:yes;opening_hours:24/7;operator:Super U;ref:FR:prix-carburants:49500001;shop:gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;vending:fuel;vending_machine:fuel"
node/25209483,47.8410975 0.7573717,"addr:city:Bessé-sur-Braye;addr:postcode:72310;address:Les Sablonnières;amenity:fuel;brand:Super U;brand:wikidata:Q2529029;brand:wikipedia:fr:Système U;compressed_air:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Super U;opening_hours:24/7;operator:Super U;ref:FR:prix-carburants:72310001;shop:gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes;vending:fuel;vending_machine:fuel"
node/25209647,47.278913 -0.0662472,addr:city:Saumur;addr:postcode:49400;address:ZAC Ecoparc - Saint-Lambert Des Levées;amenity:fuel;brand:Intermarché;brand:wikidata:Q3153200;brand:wikipedia:fr:Intermarché;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:Intermarché;operator:Groupement des Mousquetaires;ref:FR:prix-carburants:49400004;shop:gas;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel
node/25209708,48.288585 -0.6111627,addr:city:Mayenne;addr:postcode:53100;addr:street:Rue de la Peyennière;address:ZI Des Peyennières;amenity:fuel;compressed_air:yes;fuel:lpg:yes;name:Garage Martineau;ref:FR:prix-carburants:53100006;shop:gas;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel
