ext_id,coordinates,tags
node/15261627,49.2925935 2.4493406,local_ref:2;name:Laigneville;public_transport:stop_position;railway:stop;railway:position:exact:54.147;ref:FR:SNCF_Reseau:GAIA:e007f0f0-19bf-11e5-82ff-01fc64e0362d;train:yes;uic_ref:8727620
node/15261630,49.3247596 2.4455652,local_ref:2;name:Liancourt - Rantigny;operator:SNCF;public_transport:stop_position;railway:stop;railway:position:exact:57.718;ref:FR:SNCF_Reseau:GAIA:d9bbca16-6667-11e3-89ff-01f464e0362d;train:yes;uic_ref:8727621
node/15261649,49.5036264 2.429187,local_ref:3;name:Saint-Just-en-Chaussée;network:TER Hauts-de-France;operator:SNCF;public_transport:stop_position;railway:stop;railway:position:exact:79.515;ref:FR:SNCF_Reseau:GAIA:295312da-dfbc-11e3-a2ff-01a464e0362d;source:BDOrtho IGN;train:yes;uic_ref:8731327
node/21320641,49.8640848 2.3528214,name:Longueau;operator:SNCF;public_transport:stop_position;railway:stop;railway:position:exact:125.971;ref:FR:SNCF_Reseau:GAIA:29d80350-dfbc-11e3-a2ff-01a464e0362d;train:yes;uic_ref:8731304;wikidata:Q2050826
node/24933100,49.8649365 3.292081,address:Route de Bohain;amenity:fuel;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;name:Cora Saint-Quentin;opening_hours:24/7;operator:Cora;operator:website:http://cora.fr/;operator:wikidata:Q686643;operator:wikipedia:fr:Cora (grande distribution);postal_code:02100;ref:FR:prix-carburants:2100012;shop:gas;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel
node/24933102,49.8518292 3.2648799,addr:city:Saint-Quentin;addr:postcode:02100;addr:street:Rue Antoine Parmentier;amenity:fuel;brand:Intermarché;brand:wikidata:Q3153200;brand:wikipedia:fr:Intermarché;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;fuel:lpg:yes;fuel:octane_98:yes;name:Intermarché;opening_hours:24/7;operator:Groupement des Mousquetaires;ref:FR:prix-carburants:2100013;shop:gas;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel
node/25179271,49.57693 2.99276,amenity:fuel;fuel:lpg:yes;operator:Shell;postal_code:60400;source:stations.gpl.online.fr
node/25179369,49.8809429 2.3303878,"amenity:fuel;brand:BP;brand:wikidata:Q152057;brand:wikipedia:en:BP;compressed_air:yes;contact:city:Amiens;contact:housenumber:190;contact:postcode:80000;contact:street:Chaussée Jules Ferry;fuel:GTL_diesel:yes;fuel:HGV_diesel:yes;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;name:BP Ultimate;opening_hours:24/7;operator:BP;ref:FR:prix-carburants:80000018;shop:convenience;gas;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes"
node/25209212,49.2207984 2.5931515,"addr:full:N 17;addr:postcode:60300;amenity:fuel;brand:Total;brand:wikidata:Q154037;brand:wikipedia:fr:Total (entreprise);compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:e85:yes;hgv:lanes:yes;name:Total;opening_hours:24/7;operator:SEMAC;ref:FR:prix-carburants:60300010;shop:convenience;source:Ministère de l'Economie, de l'Industrie et du Numérique - 03/2020;toilets:yes;vending:fuel;vending_machine:fuel"
node/25209462,49.9111748 4.0900925,amenity:fuel;brand:Auchan;brand:wikidata:Q758603;brand:wikipedia:en:Auchan;fuel:diesel:yes;fuel:e10:yes;fuel:lpg:yes;fuel:octane_98:yes;hgv:lanes:yes;name:C. C. Auchan;opening_hours:24/7;operator:Auchan;postal_code:02500;ref:FR:prix-carburants:2500001;shop:gas;source:stations.gpl.online.fr;vending:fuel;vending_machine:fuel;wheelchair:yes
