ext_id,coordinates,tags
node/61755530,-20.9321508 55.6429557,bus:yes;name:Poste Cambuston;public_transport:stop_position
node/61766450,-21.3590513 55.7678345,bus:yes;name:Mairie de St-Philippe;public_transport:stop_position
node/62747481,-21.3738637 55.6679338,bus:yes;name:Église Vincendo;public_transport:stop_position
node/64601055,-21.2865553 55.4194411,bus:yes;name:Rue François de Mahy;public_transport:stop_position
node/64601130,-21.2739825 55.4379978,bus:yes;name:Rue des Gris;public_transport:stop_position
node/64601333,-21.2536731 55.4590168,bus:yes;name:Ilet Rond Cilaos;public_transport:stop_position
node/64601636,-21.214909 55.4543927,bus:yes;name:Église Petit Serré;public_transport:stop_position
node/64601649,-21.2126413 55.4545073,bus:yes;name:Chemin Camaron;public_transport:stop_position
node/64602324,-21.1802911 55.4545196,bus:yes;name:Sentier du Cap Noir;public_transport:stop_position
node/64602450,-21.175509 55.4558267,bus:yes;name:Cap Noir;public_transport:stop_position
node/64602892,-21.1703603 55.4677263,bus:yes;name:Chemin des Fougères;public_transport:stop_position
node/64602912,-21.1515259 55.4772506,bus:yes;name:Bras de Benjouin;public_transport:stop_position
node/64603006,-21.1550478 55.4753149,bus:yes;name:Chemin Pente d'Abord;public_transport:stop_position
node/249165921,-20.9047676 55.444477,bus:yes;name:Tourmalines;operator:Citalis;public_transport:stop_position
node/249165936,-20.9018322 55.4424079,bus:yes;name:Sainte-Monique;operator:Citalis;public_transport:stop_position
node/249165969,-20.9005677 55.4438053,bus:yes;name:Émeraudes;operator:Citalis;public_transport:stop_position
node/249183529,-20.902096 55.463037,bus:yes;name:Belvédère;operator:Citalis;public_transport:stop_position
node/249187105,-20.8980497 55.4618532,bus:yes;name:Hibiscus;operator:Citalis;public_transport:stop_position
node/299707059,-21.203368 55.5879184,alt_name:panorama;ele:1755;name:Piton Dugain;natural:peak;tourism:viewpoint;wikidata:Q3389364;wikipedia:fr:Piton Dugain
node/299709059,-21.2173273 55.6874245,capacity:57;ele:2240;name:Gîte du Volcan;phone:+262 6 92 85 20 91;ref:refuges.info:1043;tourism:alpine_hut;website:https://www.reunion.fr/offres/gite-du-volcan-sainte-rose-fr-558388/;wikidata:Q3124529;wikimedia_commons:Category:Gîte du Volcan;wikipedia:fr:Gîte du Volcan
node/299709074,-21.2442805 55.7067415,direction:110;tourism:viewpoint
node/299971712,-21.1234692 55.4832749,bus:yes;name:Le Bloc;public_transport:stop_position
node/300009981,-21.2581541 55.6566439,direction:180;ele:2380;name:Morne Langevin;natural:peak;tourism:viewpoint;wikidata:Q3324192;wikimedia_commons:Category:Morne Langevin
node/300016847,-21.252101 55.7961189,name:Coulée de lave de 2002;tourism:attraction
node/300017064,-21.3192803 55.7978613,name:Coulée de Takamaka 1986;tourism:attraction
node/300017589,-21.2751373 55.7859309,name:Coulée de lave 1943;tourism:attraction
node/300017925,-21.2197 55.8051568,name:Coulée de lave de 2002;note:Point à améliorer.;tourism:attraction
node/300018125,-21.1623606 55.8323223,name:Coulée de 1977;tourism:attraction
node/300020244,-21.2085073 55.6166431,direction:160;name:Nez de Boeuf;tourism:viewpoint
node/316049866,-21.2072259 55.6424494,name:Cratère Commerson;tourism:viewpoint
node/318907908,-21.0435987 55.4979389,ele:1349.33;name:A03;tourism:viewpoint
node/332032801,-21.2347399 55.6739127,ele:2357.74;name:Caverne du Chisny;natural:cave_entrance;tourism:attraction
node/332034967,-21.222995 55.6880583,tourism:viewpoint
node/332034995,-21.2200676 55.6954682,direction:160;tourism:viewpoint
node/332050433,-21.2074082 55.7235381,direction:225;ele:2078;name:Nez Coupé de Sainte-Rose;natural:peak;tourism:viewpoint;wikidata:Q3339225;wikimedia_commons:Category:Nez Coupé de Sainte-Rose
node/332051054,-21.219059 55.7033962,alt_name:Piton Sale;direction:135;ele:2359;name:Piton Partage;natural:peak;tourism:viewpoint;wikidata:Q3389383;wikimedia_commons:Category:Piton de Partage
node/332054743,-21.1904013 55.5368423,direction:310;name:Belvédère de Bois-Court;tourism:viewpoint;wikidata:Q2908934
node/333250576,-21.0133604 55.2699458,bus:yes;name:Hôpital G. Martin;public_transport:stop_position
node/334514677,-21.0802431 55.2291298,bus:yes;name:Père Lafrite;public_transport:stop_position
node/335361032,-20.970746 55.2996853,bus:yes;name:Piton Defaud;public_transport:stop_position
node/335361537,-20.9714833 55.298338,bus:yes;name:Piton Defaud;public_transport:stop_position
node/335366862,-20.9888341 55.2893448,bus:yes;name:Pont de l'Étang;public_transport:stop_position
node/335700657,-21.2298519 55.6609168,name:Plaine des Sables;name:ja:プレンヌ・デ・サーブル;place:locality;tourism:attraction;wikidata:Q3391001;wikipedia:fr:Plaine des Sables
node/340189776,-20.8955214 55.4469824,name:Hôtel Bellepierre;survey:date:2021-10-31;tourism:hotel;wikidata:Q3145417;wikimedia_commons:Category:Hôtel Bellepierre
node/343372334,-21.3433109 55.4734755,addr:postcode:97410;addr:street:Boulevard Hubert Delisle;internet_access:wlan;name:La Villa Delisle;source:Kaart Ground Survey 2017;tourism:hotel;website:https://villadelisle.re/;wikidata:Q112061805
node/346141143,-20.8996987 55.4871067,bus:yes;name:Cité Universitaire;public_transport:stop_position
node/346141817,-20.8949748 55.4457284,bus:yes;name:Saphirs;operator:Citalis;public_transport:stop_position
node/346143366,-20.8942803 55.481783,bus:yes;name:Lory les Hauts;public_transport:stop_position
node/346143464,-20.8890263 55.4902313,bus:yes;name:Chaudron;public_transport:stop_position
node/346144273,-20.8802968 55.4571487,bus:yes;name:Petit Marché;public_transport:stop_position
node/346144293,-20.8865291 55.4603563,bus:yes;name:Monthyon;operator:Citalis;public_transport:stop_position
node/346144887,-20.896036 55.4911945,bus:yes;name:Leconte de Lisle;operator:Citalis;public_transport:stop_position
node/346145306,-20.89139 55.4668997,bus:yes;name:Champ Fleuri;operator:Citalis;public_transport:stop_position
node/346145325,-20.8891668 55.4486441,bus:yes;name:Routiers;operator:Citalis;public_transport:stop_position
node/346146402,-20.8874147 55.4631971,bus:yes;name:Lataniers;operator:Citalis;public_transport:stop_position
node/346146474,-20.8990955 55.5210321,bus:yes;name:Duparc;public_transport:stop_position
node/346146721,-20.8938902 55.5002686,bus:yes;name:Stade de l'Est;public_transport:stop_position
node/346147381,-20.8855882 55.4706243,bus:yes;name:Butor;public_transport:stop_position
node/346148509,-20.8895358 55.4450376,bus:yes;name:Camp Ozoux;operator:Citalis;public_transport:stop_position
node/352837635,-21.0280331 55.2863651,amenity:place_of_worship;name:Temple de Bois Rouge;religion:hindu
node/355890024,-21.3263974 55.484498,bus:yes;name:Chambre des Métiers;public_transport:stop_position
node/355895357,-21.3463334 55.486993,bus:yes;name:Croix Jubilé;public_transport:stop_position
node/355896313,-21.3497088 55.502111,bus:yes;name:42 Ancienne RN2;public_transport:stop_position
node/355896582,-21.3485941 55.4992325,bus:yes;name:Terre Rouge;public_transport:stop_position
node/356009174,-20.8998581 55.470368,bus:yes;name:Cité de la Vierge;operator:Citalis;public_transport:stop_position
