ext_id,coordinates,tags
node/20974626,53.0966461 8.9094121,bus:yes;highway:bus_stop;name:Beim Kleinen Tagwerk;public_transport:stop_position
node/20980464,53.1028423 8.8584967,"alt_name:Berufsbildungswerk (Technologiepark);bus:yes;highway:bus_stop;name:Berufsbildungswerk;public_transport:stop_position;ref_name:Berufsbildungswerk, Bremen;wheelchair:yes"
node/20980475,53.1074996 8.8522031,"bus:yes;highway:bus_stop;name:Universität/Zentralbereich;public_transport:stop_position;ref_name:Universität / Zentralbereich, Bremen;wheelchair:yes"
node/20992620,53.084927 8.8510294,name:Kirchbachstraße;railway:tram_stop;wheelchair:yes
node/21030859,53.0663897 8.7936905,"name:Gastfeldstraße;public_transport:station;railway:tram_stop;ref_name:Gastfeldstraße, Bremen;tram:yes;wheelchair:yes"
node/21096028,53.0819792 8.854842,name:Kurfürstenallee;railway:tram_stop;wheelchair:yes
node/21096105,53.0649876 8.9504627,"name:Schweizer Eck;public_transport:stop_position;ref_name:Schweizer Eck, Bremen;tram:yes"
node/21316732,53.0276735 8.8375432,name:Arsten;public_transport:stop_position;railway:tram_stop;tram:yes;wheelchair:yes
node/21316758,53.0787466 8.8016066,"name:Am Brill (Hutfilter-/Obernstraße);railway:tram_stop;ref_name:Am Brill (Hutfilter-/Obernstraße), Bremen;wheelchair:limited"
node/21316788,53.0613021 8.7856379,name:BSAG-Zentrum;public_transport:stop_position;tram:yes
node/21316797,53.050562 8.7897806,alt_name:Flughafen;name:Flughafen-Süd;old_name:Neuenlander Feld;railway:tram_stop;wheelchair:yes
node/21316798,53.076708 8.8061832,"name:Obernstraße;public_transport:stop_position;railway:tram_stop;ref_name:Obernstraße, Bremen;tram:yes;wheelchair:limited"
node/21316807,53.0636438 8.7892538,name:Schleiermacherstraße;public_transport:stop_position;railway:tram_stop;tram:yes
node/21316819,53.0743095 8.8078363,bus:no;name:Domsheide;public_transport:stop_position;railway:tram_stop;tram:yes
node/21530451,53.1052125 8.8510296,bus:no;name:Universität-Süd;old_name:Universität/NW1;public_transport:stop_position;tram:yes
node/21530611,53.1108663 8.8551634,"alt_name:Universität/IW3;name:Universität-Nord;old_name:Klagenfurter Straße;railway:tram_stop;ref_name:Klagenfurter Straße, Bremen;wheelchair:yes"
node/24965627,53.0539423 8.8871732,name:Bremen-Hemelingen;operator:DB Netz AG;public_transport:station;railway:station;railway:ref:HBHM;railway:station_category:6;train:yes;uic_ref:8001157;wheelchair:no;wikidata:Q15945139
node/25233461,53.0542006 8.7853012,bus:yes;name:Flughafen;network:VBN;operator:BSAG;public_transport:stop_position
node/25233645,53.0553686 8.7998152,amenity:fuel;brand:Shell;brand:wikidata:Q110716465;fuel:octane_95:yes;name:Shell;operator:G&W Tankstellen GmbH
node/25479694,53.0845151 8.8256168,name:Am Stern;public_transport:stop_position;railway:tram_stop;wheelchair:yes
