ext_id,coordinates,tags
node/122350,53.5492333 9.9786134,bus:yes;name:Michaeliskirche;network:HVV;public_transport:stop_position
node/178357,53.5013109 10.1471694,bus:yes;name:Billwerder Billdeich 318;public_transport:stop_position
node/178361,53.5041604 10.1365182,bus:yes;name:Billwerder (Feuerwehr);public_transport:stop_position
node/8084473,53.4729547 9.8774813,light_rail:yes;name:Neuwiedenthal;network:Hamburger Verkehrsverbund;operator:DB Station&Service AG;public_transport:stop_position;railway:stop;ref:1;tactile_paving:yes;train:yes;uic_name:Hamburg Neuwiedenthal;uic_ref:8006750
node/10691210,53.52171 10.0132971,light_rail:yes;name:Veddel (Ballin Stadt);network:Hamburger Verkehrsverbund;operator:S-Bahn Hamburg GmbH;operator:wikidata:Q99869216;public_transport:stop_position;railway:stop;train:yes
node/10691233,53.4614555 9.9819701,bus:yes;name:Harburg Rathaus (Hölertwiete);network:HVV;public_transport:stop_position
node/10774371,53.4717641 9.8936149,bus:yes;name:Hausbruch;public_transport:stop_position
node/10855043,53.4667913 9.9920829,bus:yes;name:Neuländer Straße;network:HVV;public_transport:stop_position
node/10864685,53.4619867 9.8544548,bench:no;bin:no;bus:yes;highway:bus_stop;lit:no;name:Ringheide;network:Hamburger Verkehrsverbund;network:short:HVV;network:wikidata:Q896916;public_transport:platform;route_ref:250;shelter:no;tactile_paving:no
node/11206066,53.5466227 10.0237395,light_rail:yes;name:Hammerbrook;network:Hamburger Verkehrsverbund;operator:S-Bahn Hamburg GmbH;operator:wikidata:Q99869216;public_transport:stop_position;railway:stop;train:yes
node/12109813,53.4778732 9.9094628,bus:yes;name:Heykenaukamp (Kehre);network:HVV;public_transport:stop_position
node/12258712,53.4682908 9.8559366,bus:yes;name:Distelacker;public_transport:stop_position
node/12258713,53.4675035 9.8593265,bus:yes;name:Fischbeker Holtweg;network:HVV;public_transport:stop_position
node/15364592,53.6145257 10.0212364,bus:yes;name:Stiftung Alsterdorf;network:HVV;public_transport:stop_position
node/15575972,53.613827 10.0359376,bus:yes;name:Feuerbergstraße;network:HVV;public_transport:stop_position
node/15582580,53.6124325 10.064452,bus:yes;name:Erich-Ziegel-Ring;network:HVV;public_transport:stop_position
node/15585299,53.6185538 10.0731676,bench:yes;bin:yes;highway:bus_stop;lit:yes;name:Bramfeld See;public_transport:platform;shelter:yes;tactile_paving:no;wheelchair:limited
node/15606810,53.5085966 9.8661393,bus:yes;name:Hohenwischer Straße 149;public_transport:stop_position
node/15606868,53.5071955 9.8431992,bus:yes;name:Achtern Brack (West);public_transport:stop_position
node/15606886,53.5130057 9.8248077,bus:yes;name:Hasselwerder Straße;public_transport:stop_position
node/15606904,53.5149659 9.7947475,bus:yes;name:Marschkamper Deich;public_transport:stop_position
node/15616789,53.616923 10.041901,bus:yes;name:Friedhof Ohlsdorf (Kapelle 4);network:HVV;public_transport:stop_position
node/15617891,53.6253261 10.0415032,bus:yes;name:Nordteich;network:HVV;public_transport:stop_position
node/15839213,53.4521601 9.9831151,bus:yes;name:Maretstraße/ Bürgerzentrum;network:HVV;public_transport:stop_position
node/16255173,53.4563125 9.8667229,bus:yes;name:Bauernholztal;public_transport:stop_position
