ext_id,coordinates,tags
node/17848301,54.1063105 11.6052041,tourism:viewpoint;wheelchair:yes
node/21537173,53.6561588 11.1746576,"bus:yes;name:Lützow, Gadebuscher Straße;public_transport:stop_position"
node/21537203,53.8207801 10.9875276,bus:yes;name:Roduchelstorf;public_transport:stop_position
node/23656919,53.9084565 13.0335071,tourism:hostel
node/23657694,53.2876046 11.652357,name:JGH Grabow;tourism:hostel
node/23657735,54.0873053 13.3834812,"addr:city:Greifswald;addr:country:DE;addr:housenumber:11,12;addr:postcode:17489;addr:street:Pestalozzistraße;beds:130;business:conference_rooms;capacity:beds:130;contact:email:jh-greifswald@jugendherberge.de;contact:phone:+49 3834 51690;contact:website:https://www.jugendherberge.de/jugendherbergen/greifswald/;dogs:yes;internet_access:wlan;name:DJH Jugendherberge Greifswald;operator:DJH-Landesverband Mecklenburg-Vorpommern e.V.;ref:632;rooms:disabled:2;stars:2;tourism:hostel;wheelchair:limited;wheelchair:description:Nicht alle Etagen, aber das EG + Speisesaal + Seminarräume"
node/23658160,53.9475385 14.1787832,addr:city:Heringsdorf;addr:housenumber:7-9;addr:postcode:17424;addr:street:Puschkinstraße;email:jh-heringsdorf@jugendherberge.de;internet_access:wlan;internet_access:fee:no;name:Jugendherberge Heringsdorf;operator:DJH-Landesverband Mecklenburg-Vorpommern e.V.;phone:+49 38378 22325;rooms:60;toilets:wheelchair:yes;tourism:hostel;website:https://www.jugendherberge.de/jugendherbergen/heringsdorf/;wheelchair:yes
node/23658650,54.1494477 11.7565567,"addr:city:Kühlungsborn;addr:country:DE;addr:housenumber:4;addr:postcode:18225;addr:street:Dünenstraße;name:JGH Kühlungsborn;phone:+49 38293 172 70;toilets:wheelchair:yes;tourism:hostel;website:https://www.mvp.de/barrierefreier-urlaub-in-mecklenburg-vorpommern/;wheelchair:yes;wheelchair:description:Barrierefreie Zimmer, super geräumig!"
node/23661208,54.2674567 13.1422083,addr:city:Stralsund;addr:country:DE;addr:housenumber:21;addr:postcode:18439;addr:street:Strandstraße;beds:199;business:conference_rooms;capacity:beds:199;contact:email:jh-stralsund@jugendherberge.de;contact:phone:+49 3831 490289;contact:website:https://www.jugendherberge.de/jugendherbergen/stralsund/;fax:+49 3831 490291;guest_house:hostel;internet_access:wlan;name:DJH Jugendherberge Stralsund;operator:DJH-Landesverband Mecklenburg-Vorpommern e.V.;ref:185;rooms:disabled:13;stars:3;toilets:wheelchair:yes;tourism:hostel;wheelchair:yes;wheelchair:description:13 rollstuhlfreundliche Zimmer + barrierefreier Speisesaal Gummimatten am Strand führen direkt ins Wasser - ein entsprechender Schwimm-Rollstuhl steht in der Herberge zur Verfügung.
node/23661450,53.7825452 12.5772817,addr:city:Teterow;addr:country:DE;addr:housenumber:7;addr:postcode:17166;addr:street:Seebahnhof;beds:96;business:conference_rooms;capacity:beds:96;contact:email:info@jugendherberge-teterow.de;contact:fax:+49 3996 158812;contact:website:https://www.jugendherberge-teterow.de/;guest_house:hostel;name:Freie Jugendherberge Teterow;operator:Freie Jugendherbergen Mecklenburg-Vorpommern;phone:+49 3996 172668;rooms:22;service:bicycle:rental:yes;sport:beachvolleyball;soccer;table_tennis;tourism:hostel;wheelchair:yes
node/24255592,53.7132583 11.8284261,"bus:yes;highway:bus_stop;name:Sternberg, Mecklenburg Ring;operator:Verkehrsgesellschaft Ludwigslust-Parchim mbH;public_transport:stop_position;ref:de:13076:6173"
node/24279214,53.7692287 12.5851107,"bus:yes;highway:bus_stop;name:Teterow, Bergringstadion;network:Verkehrsverbund Warnow;network:short:VVW;network:wikidata:Q2516492;operator:Rebus;public_transport:stop_position;ref:de:13072:1306"
node/24979261,53.9997324 13.8617291,name:Möwenort;natural:cape;tourism:viewpoint;wheelchair:no
node/25216207,53.9416641 11.00009,bus:yes;fee_zone:39;name:Tankenhagen Abzweig;network:Nahbus;operator:NAHBUS Nordwestmecklenburg GmbH;public_transport:stop_position
node/25469365,54.1746977 12.0872326,bus:yes;name:Poststraße;public_transport:stop_position
node/25470919,54.1047059 12.1593898,bus:yes;highway:bus_stop;name:Lorenzstraße;network:Verkehrsverbund Warnow;network:short:VVW;network:wikidata:Q2516492;operator:RSAG;public_transport:stop_position;tactile_paving:yes;wikidata:Q110751997
node/28152035,54.1041364 12.1147884,bus:yes;highway:bus_stop;name:Kirchenplatz;public_transport:stop_position;wheelchair:limited
node/28903601,54.0929686 12.1076782,bus:yes;name:Maßmannstraße;network:VVW;operator:RSAG;public_transport:stop_position;railway:tram_stop;tram:yes;wheelchair:yes;wikidata:Q110745793
node/28903603,54.0926868 12.0993305,lit:yes;name:S Holbeinplatz;network:VVW;old_name:Holbeinplatz;operator:Rostocker Straßenbahn AG;public_transport:stop_position;railway:tram_stop;tram:yes;wheelchair:yes;wikidata:Q50331187
node/28903615,54.1107029 12.0805053,name:S Marienehe;network:VVW;operator:Rostocker Straßenbahn AG;public_transport:stop_position;railway:tram_stop;tram:yes;wheelchair:yes
node/28903623,54.1164197 12.0605637,bus:yes;name:Evershagen Süd;network:VVW;operator:Rostocker Straßenbahn AG;public_transport:stop_position;railway:tram_stop;tram:yes;wheelchair:yes;wikidata:Q110739739
node/28903631,54.1245 12.0580997,name:Thomas-Morus-Straße;public_transport:stop_position;railway:tram_stop;tram:yes;wheelchair:yes;wikidata:Q110739728
node/28928784,54.0852664 12.1079928,public_transport:stop_position;railway:stop;ref:Gleis 1;train:yes;wheelchair:yes
node/28928787,54.0934982 12.0993911,name:Rostock Holbeinplatz;network:VVW;public_transport:stop_position;railway:stop;toilets:wheelchair:no;train:yes;wheelchair:no;wikidata:Q50331187
node/28929048,54.0877946 12.1224363,bus:yes;name:Doberaner Platz;public_transport:stop_position;wikidata:Q62497253
node/29925861,53.8093971 10.7931138,bus:yes;name:Duvennest Dorf;public_transport:stop_position
node/29925879,53.8147141 10.7951249,bus:yes;name:Duvennest Ortseingang;public_transport:stop_position
node/29927004,53.8469506 10.7479796,bench:yes;bin:yes;bus:yes;highway:bus_stop;lit:yes;name:Eichholz;operator:Stadtverkehr Lübeck;public_transport:platform;ref:ibnr:704235;ref:svhl:150-2;shelter:yes;tactile_paving:no;wheelchair:yes
node/30115400,53.2138742 11.3379126,bus:yes;name:Malliß Ludwigsluster Straße;public_transport:stop_position
node/30115408,53.2127851 11.3279398,bus:yes;name:Malliß;public_transport:stop_position
node/30239878,54.1462661 12.0818095,bus:yes;name:Gerüstbauerring;public_transport:stop_position
