ext_id,coordinates,tags
node/131521,53.709088 9.7417672,"bus:yes;name:Ahrenlohe, Hörnweg;public_transport:stop_position"
node/131555,53.6980957 9.6491305,"bus:yes;name:Groß Nordende, Kahlkes Weg;public_transport:stop_position"
node/131571,53.6831703 9.6567072,"bus:yes;name:Uetersen, Buttermarkt;network:HVV;public_transport:stop_position"
node/522930,54.7521477 8.9004723,"bus:yes;name:Stedesand, Broweg;public_transport:stop_position"
node/1212988,53.8210145 10.7259761,bus:yes;name:Berliner Straße;operator:Stadtverkehr Lübeck;public_transport:stop_position;ref:svhl:215-1
node/1212991,53.8345533 10.714642,bus:yes;name:Grönauer Baum;operator:Stadtverkehr Lübeck;public_transport:stop_position;ref:svhl:212-2
node/5080035,53.9133333 10.8009156,bus:yes;name:Friedhof Waldhusen;operator:Stadtverkehr Lübeck;public_transport:stop_position;ref:svhl:479-1
node/8667113,53.848877 10.6783328,bus:yes;name:Bei der Gasanstalt;operator:Stadtverkehr Lübeck;public_transport:stop_position;ref:svhl:351-2
node/9352698,54.8149026 8.290861,"bus:yes;highway:bus_stop;name:Rantum, Wassertal/Sansibar;network:Sylter Verkehrsgesellschaft;network:short:SVG;network:wikidata:Q2373957;network:wikipedia:de:Sylter Verkehrsgesellschaft;operator:Sylter Verkehrsgesellschaft;public_transport:stop_position;route_ref:2;wheelchair:yes"
node/9352717,54.8306838 8.2913839,"bus:yes;name:Rantum, FKK-Strand Samoa;network:Sylter Verkehrsgesellschaft;network:short:SVG;network:wikidata:Q2373957;network:wikipedia:de:Sylter Verkehrsgesellschaft;operator:Sylter Verkehrsgesellschaft;public_transport:stop_position;route_ref:2"
node/9353065,54.9013679 8.3199039,"bus:yes;name:Tinnum, Königskamp;public_transport:stop_position"
node/9353461,54.9421918 8.3337274,"bench:yes;bin:yes;bus:yes;check_date:shelter:2022-07-25;name:Wenningstedt, Norddörfer Schule;network:Sylter Linineverkehr;operator:Sylter Verkehrsgesellschaft;public_transport:stop_position;route_ref:1, 3;shelter:yes;tactile_paving:no"
node/9353792,54.8872154 8.3008908,"bus:yes;name:Westerland, FKK-Strand;network:Sylter Linienverkehr;operator:Sylter Verkehrsgesellschaft;public_transport:stop_position;route_ref:2"
node/9353801,54.8953025 8.3080002,"bench:yes;bin:yes;bus:yes;covered:no;highway:bus_stop;name:Westerland, Halemdüür;network:Sylter Linienverkehr;operator:Sylter Verkehrsgesellschaft;public_transport:stop_position;route_ref:A;shelter:no;tactile_paving:no"
node/9354653,54.7580845 8.2858909,"bus:yes;name:Hörnum(Sylt), Strandweg;network:Sylter Verkehrsgesellschaft;network:short:SVG;network:wikidata:Q2373957;network:wikipedia:de:Sylter Verkehrsgesellschaft;operator:Sylter Verkehrsgesellschaft;public_transport:stop_position;route_ref:2"
node/9354695,54.8911553 8.3816736,tourism:viewpoint
node/9356298,54.7562122 8.2881298,"bus:yes;name:Hörnum(Sylt), Mitte;public_transport:stop_position"
node/20432852,53.7372675 9.9666861,"bus:yes;name:Quickborn-Heide, Feldweg;public_transport:stop_position"
node/20696634,53.7551399 9.770611,"bus:yes;name:Bevern, Gemeindehaus;public_transport:stop_position"
node/20962470,53.788404 9.9795687,"bus:yes;name:Ulzburg, Kirche;public_transport:stop_position"
node/21259432,54.1296421 9.9981571,name:Einfeld;public_transport:stop_position;railway:stop;train:yes
node/21259510,54.3576844 10.1302897,bus:yes;name:Knorrstraße;public_transport:stop_position
node/21276239,54.3828438 10.1363587,bus:yes;name:Stettiner Weg;public_transport:stop_position
node/21316955,53.7230511 10.022751,"bus:yes;name:Harkshörn, Harckesheyde (Ost);public_transport:stop_position"
node/21351793,53.7778963 9.9783562,"bus:yes;name:Ulzburg-Süd, Birkenhof;public_transport:stop_position"
node/21392359,53.6543252 9.9839216,"bus:yes;name:Garstedt, Südportal;public_transport:stop_position"
node/21400563,54.3845187 10.1447338,bus:yes;name:Flughafen Kiel;public_transport:stop_position
node/21400905,54.3847583 10.1573189,bus:yes;name:Schusterkrug;public_transport:stop_position
node/21400945,54.3920309 10.1763123,bus:yes;name:An der Schanze;public_transport:stop_position
node/21401401,53.5621565 10.2061488,"bus:yes;name:Willinghusen, Zum Tunnel;public_transport:stop_position"
node/21421096,53.7086106 9.7799594,"bus:yes;name:Ellerhoop, Rugenranzel;public_transport:stop_position"
node/21421106,53.7016693 9.7881678,"bus:yes;name:Kummerfeld, Dorfstraße (Nord);public_transport:stop_position"
node/21421140,53.6847234 9.7924099,"bus:yes;name:Kummerfeld, Wiesengrund;public_transport:stop_position"
node/21421161,53.6665073 9.7937244,"bus:yes;name:Pinneberg, Schillerstraße;public_transport:stop_position"
node/21421219,53.6537629 9.8286171,"bus:yes;name:Rellingen, Tangstedter Chaussee;public_transport:stop_position"
node/21421243,53.6572714 9.8379388,"bus:yes;name:Rellingen, Lee-Dieks-Weg;public_transport:stop_position"
node/21421250,53.6593957 9.8420706,"bench:no;bin:yes;bus:yes;check_date:shelter:2021-04-13;highway:bus_stop;lit:no;name:Rellingen, Jebbenberg;network:HVV;network:wikidata:Q896916;network:wikipedia:de:Hamburger Verkehrsverbund;public_transport:platform;route_ref:295;781;795;shelter:no;tactile_paving:no"
node/21421297,53.6590886 9.8744713,"bus:yes;name:Ellerbek, Dubenhorst;network:HVV;public_transport:stop_position"
node/21426592,53.6394915 10.3302663,"bus:yes;name:Hoisdorf, Lunken;public_transport:stop_position"
node/21432641,53.694385 9.9198327,bus:yes;name:Hasloh;network:HVV;public_transport:stop_position
node/21447695,53.5421208 10.1691097,"bus:yes;name:Oststeinbek, Stormarnstraße;network:HVV;public_transport:stop_position"
node/21447996,53.5623199 10.2054913,"bus:yes;name:Willinghusen, Zum Tunnel;public_transport:stop_position"
node/21469682,53.7930306 10.0430652,bus:yes;name:Götzberg;public_transport:stop_position
node/21469694,53.7887981 10.0140261,"bus:yes;name:Henstedt, Krummacker;public_transport:stop_position"
node/21474012,53.723036 9.9075065,hvv:psv_type:A;internet_access:wlan;internet_access:fee:no;name:Quickborn Süd;network:HVV;operator:AKN;public_transport:station;railway:station;uic_name:Quickborn Süd;uic_ref:8007064;wheelchair:yes;wikidata:Q19601687
node/21483391,53.7357354 10.0759772,"bus:yes;name:Tangstedt OD, Harksheider Weg;public_transport:stop_position"
node/21483398,53.7344822 10.0837691,"bus:yes;name:Tangstedt OD, Hauptstraße;public_transport:stop_position"
node/21522192,53.6829239 10.0461783,"bus:yes;name:Glashütte, Friedhof;public_transport:stop_position"
node/21522584,53.900038 10.0600198,"bus:yes;name:Hartenholm, Am Dorfplatz;public_transport:stop_position"
node/21522591,53.9007 10.0606298,"bus:yes;name:Hartenholm, Am Dorfplatz;public_transport:stop_position"
node/21522636,53.8979747 10.0667111,"bus:yes;name:Hartenholm, Dorfstraße;public_transport:stop_position"
node/21522666,53.8645267 10.0785283,bus:yes;name:Bredenbekshorst;public_transport:stop_position
node/21522710,53.7891988 10.0893992,"bus:yes;name:Wakendorf II, Sandbergstraße;public_transport:stop_position"
node/21534858,53.6327997 9.6103922,"bus:yes;name:Haseldorf, Roßsteert;public_transport:stop_position"
node/21534860,53.6335364 9.6055302,"bus:yes;name:Haseldorf, Schule;public_transport:stop_position"
node/21534892,53.6384142 9.5895363,"bus:yes;name:Haseldorf, Neuer Weg;public_transport:stop_position"
node/21535225,53.6629648 9.7341468,"bus:yes;name:Appen, Turnhalle;public_transport:stop_position"
node/21535233,53.6613224 9.7359147,"bus:yes;name:Appen, Schule;public_transport:stop_position"
node/21535258,53.6598402 9.7434123,"bus:yes;name:Appen, Bouhlentwiete;public_transport:stop_position"
node/21545191,53.5718928 9.7188086,"bus:yes;name:Wedel, Pulverstraße;network:HVV;public_transport:stop_position;wheelchair:yes"
node/21634136,53.5106531 10.2504808,amenity:library;name:Stadtbibliothek;ref:isil:none
node/21652005,53.5470794 10.2331728,"bus:yes;name:Glinde, Berliner Straße;public_transport:stop_position"
node/21652048,53.5310316 10.2511144,"bus:yes;name:Schönningstedt, Schule;public_transport:stop_position"
node/21665446,53.590613 10.1786475,bus:yes;highway:bus_stop;name:Schimmelreiterweg;public_transport:platform;route_ref:164;shelter:yes
node/21665472,53.5908553 10.184982,bus:yes;name:Sorenkoppel;network:HVV;public_transport:stop_position
