ext_id,coordinates,tags
node/535901,49.3051282 7.3306785,bench:yes;bus:yes;covered:yes;name:Birkensiedlung;network:saarVV;public_transport:stop_position;shelter:yes;stop_id:50001
node/22256994,49.3348828 7.3170333,bus:yes;name:Erbach Berliner Straße;public_transport:stop_position;stop_id:50306;wheelchair:yes
node/25694050,49.5396122 6.3643724,"bus:yes;name:Remich, Piscine;public_transport:stop_position"
node/33746779,49.4991546 7.0229878,bus:yes;name:Theley Kirche;public_transport:stop_position
node/49842021,49.2613301 7.3365979,amenity:fuel;brand:Independent;name:Globus Tankstelle;name:fr:Station essence Globus;opening_hours:Mo-Sa 08:00-20:30;operator:Globus;wheelchair:yes
node/50554264,49.3205063 7.3426493,email:schlossberghoehlen@homburg.de;fax:+49 6841 9930589;name:Schlossberghöhlen;opening_hours:Apr-Oct: 09:00-17:00; Nov-Mar: 10:00-16:00;phone:+49 6841 2064;tourism:attraction;website:https://www.homburger-schlossberghoehlen.de;wheelchair:yes;wikipedia:de:Schlossberghöhlen
node/60681217,49.6078772 6.9645741,bus:yes;local_ref:A;name:Nonnweiler Kreuzung Nord;network:saarVV;network:wikidata:Q2209244;public_transport:stop_position;stop_id:66505
node/78510544,49.3544881 6.7212228,amenity:arts_centre;toilets:wheelchair:no;wheelchair:limited
node/91741298,49.318036 6.7469879,bus:yes;name:Saarlouis Alte Saarbrücke;network:saarVV;public_transport:stop_position;stop_id:40039
node/91741299,49.3176412 6.7475516,bus:yes;name:Saarlouis Alte Saarbrücke;public_transport:stop_position;ref:IFOPT:de:10044:40039::400396;stop_id:40039
node/102909705,49.1388232 7.0578653,bench:no;covered:no;highway:bus_stop;name:Auersmacher Vogesenstraße;network:saarVV;network:wikidata:Q2209244;operator:Saar-Pfalz-Bus GmbH;public_transport:platform;ref:IFOPT:de:10041:16404::164041;shelter:no;stop_id:16404;tactile_paving:yes
node/104581464,49.1975517 7.0201116,advertising:yes;bench:yes;bin:yes;bus:yes;departures_board:timetable;highway:bus_stop;name:Schönbach;network:saarVV;network:wikidata:Q2209244;passenger_information_display:yes;public_transport:platform;ref:IFOPT:de:10041:14003::1400301;ref:saarbahn_sms:SOEB;shelter:yes;stop_id:14003;tactile_paving:no;wheelchair:limited
node/108381173,49.2189958 7.0131543,advertising:yes;advertising:access:no;advertising:animated:no;advertising:luminous:yes;advertising:message:commercial;advertising:sides:2;advertising:support:street_furniture:transit_shelter;bench:yes;bin:yes;bus:yes;departures_board:timetable;highway:bus_stop;land_property:public;lit:yes;local_ref:D;name:Julius-Kiefer-Straße;network:saarVV;network:wikidata:Q2209244;public_transport:platform;ref:IFOPT:de:10041:11104::1110407;ref:saarbahn_sms:JUKI;shelter:yes;shelter:ref:117;stop_id:11104;tactile_paving:no;wheelchair:limited
node/108383172,49.249315 7.0061892,bus:yes;name:EKZ Im Sauerbrod;network:saarVV;public_transport:stop_position;ref:IFOPT:de:10041:10811::1081106;ref:saarbahn_sms:EKZS;stop_id:10811
node/117552968,49.3278137 7.3365309,name:Homburg (Saar) Hauptbahnhof;operator:DB Netz AG;DB Station&Service AG;public_transport:station;railway:station;railway:ref:SHO;railway:station_category:3;short_name:Homburg (Saar) Hbf;toilets:wheelchair:yes;train:yes;uic_name:Homburg(Saar)Hbf;uic_ref:8000176;website:https://www.bahn.de/;wheelchair:yes;wheelchair:description:Behindertentoilette und -parkplätze sowie Aufzug vorhanden;wikidata:Q324828;wikipedia:de:Homburg (Saar) Hauptbahnhof
node/130321111,49.233539 6.9936085,bus:yes;name:Karstadt;public_transport:stop_position
node/132592390,49.2444226 6.9811345,advertising:yes;bench:yes;bin:yes;bus:yes;departures_board:timetable;highway:bus_stop;lit:yes;local_ref:C;name:Ludwigsberg C;network:saarVV;network:wikidata:Q2209244;public_transport:platform;ref:IFOPT:de:10041:10401::1040107;ref:saarbahn_sms:LUBG;shelter:yes;stop_id:10401;tactile_paving:no;wheelchair:limited
node/138285425,49.2416736 7.0242133,bus:yes;name:Rotenbühl Ende;public_transport:stop_position
node/138285493,49.24187 7.023577,bus:yes;name:Rotenbühl;public_transport:stop_position
node/142629691,49.2319207 6.9847776,advertising:yes;advertising:access:no;advertising:animated:no;advertising:luminous:yes;advertising:message:commercial;advertising:operator:JCDecaux Deutschland GmbH;advertising:sides:2;advertising:support:street_furniture:transit_shelter;bench:yes;bin:yes;bus:yes;highway:bus_stop;lit:yes;name:Keplerstraße;network:saarVV;network:wikidata:Q2209244;public_transport:platform;ref:IFOPT:de:10041:10002::1000201;ref:saarbahn_sms:KEPL;shelter:yes;stop_id:10002;tactile_paving:no;wheelchair:limited
node/169541092,49.2207163 6.9713552,bus:yes;name:Deutsch-Franz. Garten DFG Süd;public_transport:stop_position
node/169541622,49.2110015 6.9820843,bench:yes;bin:yes;bus:yes;departures_board:timetable;highway:bus_stop;lit:yes;name:Druckzentrum SZ;network:saarVV;network:wikidata:Q2209244;public_transport:platform;ref:IFOPT:de:10041:10020::1002006;ref:saarbahn_sms:DRUZ;shelter:yes;shelter:ref:370;stop_id:10020;tactile_paving:yes;wheelchair:yes
node/169581967,49.2064605 6.9611728,bus:yes;name:Hauptfriedhof;public_transport:stop_position
node/245597940,49.2488073 6.8492341,addr:city:Völklingen;addr:housenumber:55;addr:postcode:66333;addr:street:Rathausstraße;name:Völklingen;operator:DB Netz AG;DB Station&Service AG;public_transport:station;railway:station;railway:position:10.7;railway:ref:SVL;railway:station_category:3;ref:station:6445;toilets:wheelchair:no;train:yes;uic_ref:8000175;wheelchair:yes;wikidata:Q801570;wikipedia:de:Bahnhof Völklingen
node/247314889,49.1952518 7.0236411,addr:city:Saarbrücken;addr:housenumber:285;addr:street:Großblittersdorfer Straße;amenity:fuel;brand:Aral;brand:wikidata:Q565734;brand:wikipedia:en:Aral AG;name:Aral;opening_hours:Mo-Su 00:00-24:00
node/248183533,49.3505373 6.7312933,artist:wikidata:Q321245;artist_name:Richard Serra;artwork_type:sculpture;loc_name:Serra-Skulptur;material:steel;name:Viewpoint;tourism:artwork;wheelchair:yes;wikidata:Q98541460;wikimedia_commons:Category:Viewpoint (Richard Serra);year:2006
node/252137685,49.2309138 6.8980917,amenity:kindergarten;name:kath. Kindergarten
node/252138936,49.2318456 6.8944797,amenity:fuel;name:Tankstelle Jürgen Knaul;opening_hours:Mo-Fr 08:00-18:00; Sa 08:00-13:00
node/252139168,49.2307466 6.8965634,amenity:bank;name:Sparkasse
node/252142602,49.2291602 6.8857409,bench:yes;bin:yes;highway:bus_stop;lit:no;name:Klarenthal Birkenweg;network:saarVV;network:wikidata:Q2209244;public_transport:platform;ref:IFOPT:de:10041:11805::1180506;ref:saarbahn_sms:KLBW;shelter:yes;stop_id:11805;tactile_paving:yes
node/252593522,49.2291693 6.9044482,bus:yes;name:Klarenthal Weidenstraße;network:saarVV;network:wikidata:Q2209244;public_transport:stop_position;ref:saarbahn_sms:WEID;stop_id:11903
node/252788061,49.2404623 6.8911435,bus:yes;name:Dellbrückschacht;public_transport:stop_position
node/252788063,49.2412584 6.8905054,bus:yes;name:Dellbrückschacht;network:saarVV;network:wikidata:Q2209244;public_transport:stop_position;stop_id:11806
node/252788495,49.2436372 6.8965818,bus:yes;name:Raffineriestraße;public_transport:stop_position
node/253041395,49.2433386 6.9803942,bus:yes;name:Ludwigsberg;public_transport:stop_position
