ext_id,coordinates,tags
node/18344051,51.2908859 12.1994372,"bus:yes;name:Quesitz, Gasthof;network:Mitteldeutscher Verkehrsverbund;operator:PNVG Merseburg-Querfurt;public_transport:stop_position"
node/23656947,51.8367696 12.2179072,phone:+49 340 619452;tourism:hostel
node/23659737,51.1408233 11.8106984,addr:city:Naumburg (Saale);addr:country:DE;addr:housenumber:9;addr:postcode:06618;addr:street:Am Tennisplatz;name:Jugendherberge Naumburg;phone:+49 3445 703422;tourism:hostel;website:https://naumburg.jugendherberge.de/jugendherbergen/naumburg-335/portraet/;wikidata:Q89039825
node/23659752,51.2923768 11.5719359,"addr:city:Nebra (Unstrut);addr:country:DE;addr:housenumber:29;addr:postcode:06642;addr:street:Altenburgstraße;name:JGH Nebra;phone:+49 34461 25454;tourism:hostel;wheelchair:no;wheelchair:description:katastrophal starke Gefälle von mehr als 40° besonders zum Speisesaal hinauf, unebene Wege, lediglich die Zimmer+WC sind barrierefrei, Weg zum Zimmer 3/4 um das Haus herum ebenfalls stark uneben und ohne Zwischenplateaus"
node/25581688,51.3397514 12.168489,"bus:yes;name:Günthersdorf, Sonnenweg;network:MDV;operator:PNVG Merseburg-Querfurt;public_transport:stop_position"
node/25808609,51.8400554 12.2343345,local_ref:7;name:Dessau Hauptbahnhof;operator:DB Station&Service AG;public_transport:stop_position;railway:stop;short_name:Dessau Hbf;train:yes
node/25808945,51.5700474 12.2853963,description:Gleis 2;local_ref:2;name:Petersroda;public_transport:stop_position;railway:stop;train:yes
node/25809214,51.792523 12.243553,bench:yes;bus:yes;highway:bus_stop;name:Schlehenweg;public_transport:stop_position;shelter:no;tactile_paving:no
node/25809880,51.6226151 12.3171181,description:Gleis 1;name:Bitterfeld;public_transport:stop_position;railway:stop;ref:1;train:yes
node/26354370,51.794375 12.241009,amenity:fuel;brand:JET;brand:wikidata:Q568940;compressed_air:yes;fuel:diesel:yes;fuel:e10:yes;fuel:octane_95:yes;name:JET;opening_hours:Mo-Fr 04:30-22:30; Sa 06:00-22:30; Su 07:00-22:30;operator:Daniela Hein;smoking:no
node/26405723,51.8018797 12.2366086,local_ref:2;name:Dessau Süd;operator:DB Station&Service AG;public_transport:stop_position;railway:stop;train:yes
node/26510433,51.8385063 12.2448382,bus:yes;name:Ferdinand-von-Schill-Straße;network:Mitteldeutscher Verkehrsverbund;operator:Dessauer Vekehrsgesellschaft mbH;public_transport:stop_position
node/26510452,51.8390794 12.2450577,bus:yes;name:Katholische Kirche;network:Mitteldeutscher Verkehrsverbund;operator:Vetter Verkehrsbetriebe;public_transport:stop_position
node/26511049,51.8313775 12.2424807,name:Museum Nord;operator:Dessauer Verkehrsgesellschaft mbH;public_transport:stop_position;railway:tram_stop;tram:yes;wheelchair:yes
