ext_id,coordinates,tags
node/523117,50.8974584 10.8482549,"bench:yes;bin:yes;bus:yes;highway:bus_stop;lit:yes;name:Wandersleben, Grundschule;network:Regionale Verkehrsgemeinschaft Gotha GmbH;public_transport:stop_area;shelter:yes;tactile_paving:no"
node/524457,50.893 10.8497646,highway:bus_stop;name:Wandersleben Gewerbegebiet;shelter:yes;tactile_paving:no
node/10802223,50.6185367 10.8310884,"bus:yes;name:Rennsteig, Kreuzung;public_transport:stop_position;tactile_paving:no;uic_name:Kreuzung Rennsteig, Stützerbach"
node/15861386,50.7669595 11.0708954,name:Stadtilm;network:Verkehrsverbund Mittelthüringen;network:short:VMT;operator:DB Station&Service AG;public_transport:stop_position;rail:yes;train:yes
node/20916523,50.6823423 10.9044143,"bus:yes;name:Ilmenau, Festhalle;operator:IOV Omnibusverkehr GmbH Ilmenau;public_transport:stop_position;short_name:Festhalle"
node/20916536,50.6795482 10.8619455,"bus:yes;name:Manebach, Kammerberg;operator:IOV Omnibusverkehr GmbH Ilmenau;public_transport:stop_position"
node/20916566,50.6622341 10.8530405,"bus:yes;name:Manebach, Moosbach;operator:IOV Omnibusverkehr GmbH Ilmenau;public_transport:stop_position;short_name:Moosbach"
node/21499632,50.8498568 10.9553177,"bus:yes;name:Anstadt, Hellweg;public_transport:stop_position;short_name:Hellweg"
node/21499642,50.8313827 10.9554867,"bus:yes;name:Arnstadt, Südbahnhof;public_transport:stop_position"
node/21499666,50.8482135 11.0413583,"bus:yes;name:Alkersleben, Am Anger;operator:IOV Omnibusverkehr GmbH Ilmenau;public_transport:stop_position"
node/21666584,50.8360434 12.0680827,bus:yes;name:Oberröppisch;network:Verkehrsverbund Mittelthüringen;network:short:VMT;operator:GVB;public_transport:stop_position
node/21991043,50.8494592 12.0736763,name:Gleisdreieck Lusan;network:Verkehrsverbund Mittelthüringen;network:short:VMT;operator:GVB;public_transport:stop_position;railway:tram_stop;ref:GLEI;tram:yes;wheelchair:limited
node/21991067,50.8544363 12.0727267,name:Keplerstraße;network:Verkehrsverbund Mittelthüringen;network:short:VMT;operator:GVB;public_transport:stop_position;railway:tram_stop;tram:yes;wheelchair:yes
node/21991111,50.8493047 12.0720543,name:Fußgängerbrücke;network:Verkehrsverbund Mittelthüringen;network:short:VMT;operator:GVB;public_transport:stop_position;railway:tram_stop;ref:FUSB;tram:yes;wheelchair:yes
node/21991161,50.8461841 12.0637542,name:Lusan/Laune;network:Verkehrsverbund Mittelthüringen;network:short:VMT;operator:GVB Verkehrs- und Betriebsgesellschaft Gera mbH;public_transport:stop_position;railway:tram_stop;ref:LAUN;tram:yes;wheelchair:yes
node/21991162,50.8493426 12.0788144,name:Betriebshof GVB;network:Verkehrsverbund Mittelthüringen;network:short:VMT;operator:GVB;public_transport:stop_position;railway:tram_stop;ref:AHOF;tram:yes
node/23657202,50.963516 11.0159269,addr:city:Erfurt;addr:country:DE;addr:housenumber:12;addr:postcode:99094;addr:street:Hochheimer Straße;contact:phone:+49 361 562 6705;contact:website:http://www.erfurt-hochheimerstr.jugendherberge.de/;internet_access:wlan;name:DJH Jugendherberge Erfurt Hochheimerstraße;tourism:hostel;wheelchair:limited
node/23660903,50.4954469 11.6425801,name:Zum Kanzler;tourism:hostel
node/25749475,50.580748 12.1317086,"bus:yes;name:Schönbach, Abzw Schönbach;network:VVV;operator:Plauener Omnibusbetrieb GmbH;public_transport:stop_position"
node/25749501,50.6065483 12.162911,"bus:yes;name:Elsterberg, HP Kunstseidenwerk;public_transport:stop_position"
node/25749582,50.7017884 12.1698983,"bus:yes;name:Neumühle, Bahnhof;network:Verkehrsgemeinschaft des Landkreises Greiz;operator:PRG;public_transport:stop_position"
node/26080368,50.6974909 10.8887385,ele:513;name:Ilmenau-Roda;public_transport:stop_position;railway:halt;railway:ref:UIR;railway:station_category:7;ref:erfurterbahn:UIR;ref:ibnr:8011932;start_date:1879;train:yes;uic_name:Ilmenau-Roda;uic_ref:8011932;wikidata:Q116017395
node/26080391,50.715571 10.8572711,ele:473;name:Geraberg;network:VMT;operator:DB Netz AG;Db Station&Service AG;public_transport:stop_position;rail:yes;railway:halt;railway:ref:UGBG;railway:station_category:6;ref:erfurterbahn:UGBG;ref:ibnr:8011624;ref:station:2082;toilets:wheelchair:no;train:yes;uic_name:Geraberg;uic_ref:8011624;wheelchair:yes;wheelchair:description:Schiefe Ebene wird im Zug mitgeführt.
node/26080410,50.7334188 10.8810887,ele:430;name:Martinroda;on_demand:yes;public_transport:stop_position;rail:yes;railway:halt;railway:ref:UMT;railway:station_category:7;ref:erfurterbahn:UMT;ref:ibnr:8012317;train:yes;uic_name:Martinroda;uic_ref:8012317
node/26080444,50.7788075 10.9090494,name:Plaue (Thür);operator:DB Station&Service AG;public_transport:stop_position;railway:stop;ref:2;train:yes;wheelchair:no;wheelchair:description:Kein Behindertengerechter Bahnsteigzugang
node/26080452,50.8678613 10.90521,name:Haarhausen;network:Verkehrsverbund Mittelthüringen;network:short:VMT;public_transport:stop_position;railway:stop;train:yes
node/26195953,50.5994371 10.5968995,ele:374.48;name:Dietzhausen;operator:DB Netz AG;DB Station&Service AG;public_transport:stop_position;railway:station;railway:ref:UDN;railway:station_category:7;train:yes;uic_name:Dietzhausen;uic_ref:8011378
node/26196059,50.6795854 10.9347807,"alt_name:Hauptgebäude;amenity:library;contact:website:http://www.tu-ilmenau.de/ub/;level:0;-1;-2;name:Universitätsbibliothek;opening_hours:Mo-Fr 09:00-22:00; Sa 09:00-17:00; PH,Su off;ref:isil:DE-Ilm1;wheelchair:yes;wikidata:Q1366123;wikipedia:de:Universitätsbibliothek Ilmenau"
node/26786546,50.9797192 10.3029278,"bus:yes;name:Eisenach, West-Bahnhof;public_transport:stop_position"
node/27024230,50.8448069 9.9651654,"bus:yes;name:Ortsmitte;public_transport:stop_position;ref_name:Röhrigshof Ortsmitte, Philippsthal (Werra)"
node/27581560,50.9270882 10.9832724,bus:yes;highway:bus_stop;name:Stedten;network:Verkehrsverbund Mittelthüringen;network:guid:DE-TH-VMT;network:short:VMT;network:wikidata:Q2516468;public_transport:stop_position
node/27581566,50.9313765 10.9841176,bus:yes;name:Am Kirchberg;public_transport:stop_position
node/27592711,50.7035084 11.8953878,"bus:yes;name:Auma, Anker;network:Verkehrsgemeinschaft des Landkreises Greiz;operator:PRG;public_transport:stop_position"
node/28235277,50.9737944 11.0399624,"bus:yes;name:Erfurt, Busbahnhof;public_transport:stop_position;ref:8;short_name:Busbahnhof"
node/28403386,51.3732934 10.8387722,bus:yes;public_transport:stop_position
node/28403395,51.3731255 10.8360329,"bus:yes;name:Jechaburg, Kirche;public_transport:stop_position"
node/28491585,50.4759342 11.9543698,"alt_name:Reuth (bei Plauen/Vogtland);name:Reuth (b Plauen/Vogtl);note:""Reuth (b Plauen/Vogtl)"" ist die offizielle Betriebsstellenbezeichnung;operator:DB Station&Service AG;public_transport:station;railway:station;railway:ref:DRTH;short_name:Reuth (b Plauen/Vogtl);train:yes;uic_ref:8012759;wikidata:Q110381342"
node/28788682,51.3384522 10.8616651,"addr:housenumber:1;addr:street:Possen;ele:430;name:Freizeit und Erholungpark ""Zum Possen"";toilets:wheelchair:yes;tourism:attraction;website:https://www.possen.de/startseite.html;wheelchair:yes;wheelchair:description:4 nicht kostenpflichtige Parkplätze, Rollstuhlwanderweg mit diversen Betätigungen, Rollstuhltoiette, Tiergehege;wikidata:Q1554152;wikipedia:de:Possen (Sondershausen)"
node/28835218,50.47155 11.9613113,addr:city:Reuth;addr:country:DE;addr:housenumber:2;addr:postcode:08538;addr:street:Dehleser Straße;addr:suburb:Reuth;amenity:fuel;brand:bft;name:bft-Tankstelle Reuth;opening_hours:24/7;website:https://ich-tanke.de/tankstelle/34be30ded545a4dae957c7830ea8f898/
node/29278091,50.7843415 12.0156677,"bus:yes;name:Burkersdorf, B 175;network:Verkehrsgemeinschaft des Landkreises Greiz;operator:RVG;public_transport:stop_position"
node/29350554,50.9780046 11.0868786,bus:yes;highway:bus_stop;name:Linderbacher Weg;public_transport:stop_position
node/29907729,51.3624188 10.0764966,bus:yes;name:Uder Mitte;public_transport:stop_position
node/30034785,50.7985924 10.9150433,bus:yes;name:Dosdorf;public_transport:stop_position;shelter:yes;tactile_paving:yes
node/30507416,50.9906424 10.3830721,"bench:yes;bin:yes;bus:yes;check_date:2023-04-04;departures_board:timetable;highway:bus_stop;lit:yes;name:Stockhausen, Mitte;public_transport:platform;shelter:yes;tactile_paving:yes"
node/30520187,50.9590806 10.3835573,"bus:yes;name:Wutha-Farnroda, Eichrodt;public_transport:stop_position"
node/30584688,51.0229325 10.519464,"bus:yes;name:Behringen, Schule;public_transport:stop_position"
node/30585611,51.0841065 10.51085,man_made:tower;name:Baumkronenpfad;opening_hours:Jan-Mar 10:00-16:00; Apr-Oct 10:00-19:00; Nov-Dec 10:00-16:00; Dec 24 off; Dec 31 off;operator:Nationalpark Hainrich;tourism:viewpoint;tower:type:observation;wheelchair:limited;wikidata:Q113531342
node/30585612,51.0823749 10.5128074,genus:Quercus;leaf_type:broadleaved;name:Kolumbuseiche;natural:tree;tourism:attraction
node/30587016,50.8251913 10.6868371,bus:yes;name:Nauendorf;public_transport:stop_position
node/30685996,50.9737177 11.0271487,from:Ringelberg;name:Lange Brücke;public_transport:stop_position;railway:tram_stop;shelter:yes;to:P+R-Platz Messe;tram:yes;wheelchair:yes
node/30810184,50.8786615 10.9727965,"bus:yes;name:Ichtershausen, Nadelwerk;public_transport:stop_position"
node/30903113,50.4553195 10.4328044,name:Rentwertshausen;public_transport:stop_position;rail:yes;railway:stop;ref:2;train:yes
node/30922114,50.9728068 11.0376931,amenity:clock;check_date:2023-04-05;display:analog;entrance:main;indoor:no;support:wall_mounted;visibility:area
node/33134844,50.8348209 11.7160473,bus:yes;name:Geisenhain;operator:JES;public_transport:stop_position
node/33209231,51.1643419 11.1859624,bench:yes;bus:yes;departures_board:timetable;highway:bus_stop;lit:yes;name:B 176;public_transport:platform;shelter:yes;tactile_paving:no
node/33303877,50.9446587 12.5130534,"bus:yes;highway:bus_stop;name:Ehrenhain, Bahnhof;network:Mitteldeutscher Verkehrsverbund;network:wikidata:Q1742463;network:wikipedia:de:Mitteldeutscher Verkehrsverbund;operator:Thüsac Personennahverkehrsgesellschaft mbH;public_transport:stop_position"
node/33303921,50.9824689 12.478617,"bus:yes;name:Nobitz, Polnische Hütte;network:Mitteldeutscher Verkehrsverbund;operator:Thüsac Personennahverkehrsgesellschaft mbH;public_transport:stop_position"
node/33305195,51.0386644 12.3118263,"bus:yes;name:Meuselwitz, Lehrwerkstatt;network:MDV;operator:ThüSac;public_transport:stop_position"
node/33305326,50.9761064 12.4871772,"bus:yes;highway:bus_stop;name:Nobitz, Ost;network:Mitteldeutscher Verkehrsverbund;operator:Thüsac Personennahverkehrsgesellschaft mbH;public_transport:stop_position"
node/33322020,50.9331277 11.2933723,"bus:yes;name:Legefeld, Hauptstraße;public_transport:stop_position"
node/33323255,50.8658829 11.7244627,"bus:yes;name:Stadtroda, Aufgang Bahnhof;operator:JES;public_transport:stop_position"
node/33466787,50.9475406 12.4039402,bus:yes;highway:bus_stop;name:Burkersdorf (bei Altenburg);public_transport:stop_position;wheelchair:limited
node/33466793,50.9370013 12.3957631,bus:yes;highway:bus_stop;name:Gleina;public_transport:stop_position;wheelchair:limited
node/33466831,50.9038416 12.3593298,"bus:yes;highway:bus_stop;name:Schmölln, Robert-Koch-Straße;network:MDV;operator:ThüSac;public_transport:stop_position;wheelchair:limited"
node/33466834,50.9021868 12.3541322,"bus:yes;highway:bus_stop;name:Schmölln, Schmiede;network:MDV;operator:ThüSac;public_transport:stop_position"
node/33597691,50.6540176 10.6053231,"bus:yes;name:Benshausen, Abzweig Viernau;public_transport:stop_position"
node/34794517,50.9210183 12.4452783,bus:yes;public_transport:stop_position
node/34794551,50.8884084 12.433056,"bus:yes;name:Gößnitz, Mittelstraße;network:Mitteldeutscher Verkehrsverbund;operator:Thüsac Personennahverkehrsgesellschaft mbH;public_transport:stop_position"
node/35137043,51.5613356 10.827663,"bus:yes;highway:bus_stop;name:Neustadt, Ärztehaus am Ring;public_transport:stop_position"
node/35137451,50.9857536 10.3260073,"bus:yes;highway:bus_stop;name:Eisenach, Überm Gänsetal;public_transport:stop_position"
node/35138086,50.9962945 10.312093,"bus:yes;name:Eisenach, Am Schleierborn;public_transport:stop_position"
node/35138499,50.9642658 10.3162092,"bus:yes;name:Eisenach, Liliengrund;public_transport:stop_position"
node/35163765,50.9943469 10.1706762,tourism:viewpoint;wheelchair:no
node/35174759,50.9584631 10.449334,drinking_water:yes;ele:386;image:https://upload.wikimedia.org/wikipedia/commons/d/db/Jesusbr%C3%BCnnlein.jpg;name:Jesusbrünnlein;natural:spring;tourism:attraction
node/35174806,50.95347 10.4614061,ele:484;name:Großer Hörselberg;natural:peak;sota:summit_code:DM/TH-064;tourism:viewpoint
node/35192847,50.8435431 10.2904256,"bus:yes;name:Gumpelstadt, Oberland;public_transport:stop_position"
node/35304750,50.8924863 11.6024061,bus:yes;name:Lobeda;operator:JES;public_transport:stop_position;shelter:yes;wheelchair:yes
node/35304936,50.9505214 11.3814898,"bus:yes;name:Taubach, Kirche;public_transport:stop_position"
node/35304972,50.9653939 11.3465753,bus:yes;name:Plan Oberweimar;public_transport:stop_position
node/35305205,51.0125479 11.4242044,highway:bus_stop;name:Ulrichshalben;public_transport:stop_position
node/35332653,50.6572748 11.050765,bus:yes;name:Sorge;public_transport:stop_position
node/35595957,51.3637947 10.8427609,bus:yes;highway:bus_stop;name:Eichenbergstraße;public_transport:stop_position
node/35720076,50.6615871 11.0966928,name:Zum Löwen;tourism:hotel;wheelchair:no
node/35721380,50.6615969 11.0977418,"addr:city:Königsee-Rottenbach;addr:country:DE;addr:housenumber:2;addr:postcode:07426;addr:street:Am Markt;addr:suburb:Königsee;amenity:bank;name:Volksbank eG Gera * Jena * Rudolstadt Filiale Königsee;network:BankCard ServiceNetz;opening_hours:Mo 08:00-12:30,13:30-18:00; Tu,We 08:00-12:30,13:30-16:00; Th 08:00-12:30,13:30-18:00; Fr 08:00-12:30;operator:Volksbank eG Gera * Jena * Rudolstadt;url:https://www.volksbank-vor-ort.de;wheelchair:no"
node/36145701,51.4005448 10.9130778,name:Schöne Aussicht;tourism:viewpoint
node/36145748,51.3830357 10.8989846,bench:no;highway:bus_stop;name:Schersental;public_transport:platform;shelter:no
node/36243955,50.8965384 12.3485083,"bus:yes;highway:bus_stop;name:Schmölln, Bergstraße/Ronneburger Straße;network:MDV;operator:ThüSac;public_transport:stop_position"
node/36246038,50.9883015 12.4376686,"bus:yes;name:Altenburg, Theater 1;network:Mitteldeutscher Verkehrsverbund;operator:Thüsac Personennahverkehrsgesellschaft mbH;public_transport:stop_position"
node/36852265,51.1967628 11.4761211,bus:yes;highway:bus_stop;name:Tauhardt;public_transport:stop_position
node/44555724,50.6110376 10.7066679,amenity:bank;name:Rhön-Rennsteig-Sparkasse
node/48930320,50.9732655 10.3201572,addr:country:DE;fee:yes;name:Lutherhaus;opening_hours:Tu-Su 10:00-17:00;toilets:wheelchair:yes;tourism:museum;website:http://lutherhaus-eisenach.de;wheelchair:limited;wikidata:Q76639069
node/49262187,50.9459421 11.5936636,bench:no;bus:yes;direction:forward;highway:bus_stop;name:Pfälzer Straße;network:Verkehrsverbund Mittelthüringen;network:guid:DE-TH-VMT;network:short:VMT;network:wikidata:Q2516468;network:wikipedia:de:Verkehrsverbund Mittelthüringen;operator:JeNah;public_transport:stop_position;shelter:no;tactile_paving:no
node/49314773,50.9506553 11.6066177,"bus:yes;highway:bus_stop;loc_name:Stifterstraße;name:Jena, Stifterstraße;network:Verkehrsverbund Mittelthüringen;network:guid:DE-TH-VMT;network:short:VMT;network:wikidata:Q2516468;network:wikipedia:de:Verkehrsverbund Mittelthüringen;public_transport:stop_position;wheelchair:yes"
node/49395426,50.9929665 11.1378511,local_ref:1;name:Vieselbach;operator:DB Station&Service AG;public_transport:stop_position;railway:stop;train:yes
node/51206211,50.8286516 11.7935334,bus:yes;name:Lippersdorf;operator:JES;public_transport:stop_position
node/51206299,50.8265655 11.8221937,"bus:yes;name:Ottendorf, Hirsch;operator:JES;public_transport:stop_position"
node/51206617,50.8022186 11.8473161,"bus:yes;name:Renthendorf, Agrargenossenschaft;operator:JES;public_transport:stop_position"
node/51206775,50.7731576 11.8543532,"bus:yes;highway:bus_stop;name:Schönborn, Mühle;network:Verkehrsverbund Mittelthüringen;network:guid:DE-TH-VMT;network:short:VMT;network:wikidata:Q2516468;operator:KomBus GmbH;public_transport:stop_position"
node/60297221,50.627255 11.428245,bus:yes;highway:bus_stop;name:Tauschwitz;network:VMT;operator:KomBus GmbH;public_transport:stop_position
