ext_id,coordinates,tags
node/12977263,65.7195551 -16.7509409,tourism:viewpoint;wheelchair:no
node/13391742,64.7298413 -13.9856468,"man_made:lighthouse;name:Streiti;seamark:light:1:character:Fl;seamark:light:1:colour:green;seamark:light:1:group:3;seamark:light:1:height:22;seamark:light:1:period:20;seamark:light:1:range:12;seamark:light:1:sector_end:217;seamark:light:1:sector_start:176;seamark:light:1:sequence:1.5+(4),1.5+(13);seamark:light:2:character:Fl;seamark:light:2:colour:white;seamark:light:2:group:3;seamark:light:2:height:22;seamark:light:2:period:20;seamark:light:2:range:14;seamark:light:2:sector_end:222;seamark:light:2:sector_start:217;seamark:light:2:sequence:1.5+(4),1.5+(13);seamark:light:3:character:Fl;seamark:light:3:colour:red;seamark:light:3:group:3;seamark:light:3:height:22;seamark:light:3:period:20;seamark:light:3:range:12;seamark:light:3:sector_end:281;seamark:light:3:sector_start:222;seamark:light:3:sequence:1.5+(4),1.5+(13);seamark:light:4:character:Fl;seamark:light:4:colour:white;seamark:light:4:group:3;seamark:light:4:height:22;seamark:light:4:period:20;seamark:light:4:range:14;seamark:light:4:sector_end:340;seamark:light:4:sector_start:281;seamark:light:4:sequence:1.5+(4),1.5+(13);seamark:light:5:character:Fl;seamark:light:5:colour:green;seamark:light:5:group:3;seamark:light:5:height:22;seamark:light:5:period:20;seamark:light:5:range:12;seamark:light:5:sector_end:3;seamark:light:5:sector_start:340;seamark:light:5:sequence:1.5+(4),1.5+(13);seamark:light:6:character:Fl;seamark:light:6:colour:red;seamark:light:6:group:3;seamark:light:6:height:22;seamark:light:6:period:20;seamark:light:6:range:12;seamark:light:6:sector_end:38;seamark:light:6:sector_start:3;seamark:light:6:sequence:1.5+(4),1.5+(13);seamark:light:7:character:Fl;seamark:light:7:colour:white;seamark:light:7:group:3;seamark:light:7:height:22;seamark:light:7:period:20;seamark:light:7:range:14;seamark:light:7:sector_end:40;seamark:light:7:sector_start:38;seamark:light:7:sequence:1.5+(4),1.5+(13);seamark:light:8:character:Fl;seamark:light:8:colour:green;seamark:light:8:group:3;seamark:light:8:height:22;seamark:light:8:period:20;seamark:light:8:range:12;seamark:light:8:sector_end:58;seamark:light:8:sector_start:40;seamark:light:8:sequence:1.5+(4),1.5+(13);seamark:light:reference:L 4749.2;seamark:name:Streiti;seamark:type:light_minor;source:US NGA Pub. 115. 2010-09-09.;wikidata:Q3378409"
node/13391878,63.7938233 -18.0395304,amenity:fuel;brand:N1;name:N1
node/13391945,65.5708013 -17.0314721,tourism:viewpoint;wheelchair:no
node/13472406,65.7184487 -16.7908674,tourism:viewpoint
node/13472725,65.7193826 -16.7912584,tourism:viewpoint
node/21566871,66.0730933 -23.1322583,highway:bus_stop;name:Menntaskóli
node/26452735,64.1513019 -21.9850731,amenity:fuel;brand:Orkan;compressed_air:yes;name:Orkan;opening_hours:24/7;operator:Orkan
node/26459539,64.1480914 -21.9829575,bus:yes;name:Skerjabraut;public_transport:stop_position
node/26471910,64.1505943 -21.9814143,bus:yes;name:Öldugrandi;public_transport:stop_position
node/26478197,64.1529768 -21.9510127,bus:yes;name:Grandagarður;public_transport:stop_position
node/26479019,64.1528606 -21.9320938,ele:6;man_made:lighthouse;seamark:light:character:Fl;seamark:light:colour:green;seamark:light:height:7;seamark:light:period:2;seamark:light:reference:L 4506;seamark:light:visibility:part_obscured;seamark:type:light_minor;source:US NGA Pub. 115. 2010-09-09.
node/34814044,63.8794725 -20.5007303,amenity:fuel;name:ÓB;operator:ÓB
node/35624829,64.141203 -21.9226724,bus:yes;name:Barónsstígur / Egilsgata;public_transport:stop_position
node/35925714,64.1426834 -21.9062416,bus:yes;name:Þjóðskjalasafnið;public_transport:stop_position
node/36165240,64.0758748 -21.9418372,bus:yes;name:Flatahraun / Álfaskeið;public_transport:stop_position
node/38558589,65.6034575 -18.5104561,tourism:picnic_site
node/52096313,66.1979368 -15.3356481,amenity:fuel;name:N1
node/52109272,66.1916334 -15.5833855,tourism:picnic_site
node/52130408,66.4535561 -15.9496321,amenity:fuel;name:N1
node/52131176,66.4478675 -15.9428039,tourism:picnic_site
node/52999025,66.1375894 -16.9497998,tourism:picnic_site
node/53003574,66.1437906 -17.2571337,description:en:Fossils;name:Tjörneslögin;tourism:attraction
node/53005077,66.0622982 -17.3443748,tourism:picnic_site
node/53017162,66.0475797 -17.3434445,addr:city:Húsavík;addr:housenumber:2;addr:postcode:640;addr:street:Héðinsbraut;amenity:fuel;fuel:diesel:yes;fuel:octane_95:yes;name:N1;opening_hours:Mo-Fr 08:00-23:30; Sa 09:00-22:00; Su 10:00-22:00;operator:N1;shop:convenience
node/53017208,66.0487357 -17.3444893,amenity:fuel;car_wash:yes;drinking_water:yes;name:Orkan;operator:Orkan;sanitary_dump_station:yes
node/56235981,64.0278817 -16.9823718,name:Sjónar-sker;tourism:viewpoint
node/59644347,64.1464783 -21.8948347,amenity:fuel;fuel:octane_95:yes;name:N1;wheelchair:yes
node/59665958,65.2618313 -13.9992134,amenity:fuel;compressed_air:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:no;name:Orkan;operator:Orkan
node/59666454,65.2605294 -14.4077805,addr:postcode:700;addr:street:Austurlandsvegur;amenity:fuel;fuel:diesel:yes;fuel:octane_95:yes;internet_access:wlan;name:N1;operator:N1;source:Kaart Ground Survey 2017
node/59861237,64.6561037 -14.2862906,amenity:fuel;fuel:diesel:yes;fuel:octane_95:yes;name:N1;operator:N1
node/59864651,63.9954406 -21.1917154,amenity:fuel;name:Orkan;operator:Orkan
node/59985139,64.1370366 -21.807943,amenity:fuel;name:Olís
node/59999766,64.1658534 -21.6953997,amenity:fuel;name:en:N1
node/60471398,63.9965506 -22.625146,bus:yes;highway:bus_stop;public_transport:stop_position
node/60653536,64.3138382 -20.2995104,geyser:height:70m;geyser:interval:rare occasions;geyser:type:volcanic;name:Stóri Geysir;name:de:Großer Geysir;name:en:Geysir;name:ko:게이시르;name:ru:Гейсир;name:zh:盖歇尔间歇泉;natural:geyser;tourism:attraction;wheelchair:yes;wikidata:Q216846;wikipedia:is:Geysir
node/60653640,64.2258979 -20.3384764,name:Faxafoss/Vatnsleysufoss;name:en:Faxafoss;name:zh:Faxa瀑布;tourism:viewpoint
node/60711758,64.1520071 -21.7987072,bus:yes;name:Dvergaborgir;public_transport:stop_position
node/60711763,64.1531782 -21.7968715,bus:yes;name:Dofraborgir;public_transport:stop_position
node/60714223,64.6092221 -19.7036184,name:Árbúðir;tourism:camp_site
node/65272056,65.7464897 -19.5489026,tourism:picnic_site
node/65293633,65.7331856 -19.1115994,name:Hólar;tourism:attraction
node/67046220,64.1235591 -21.8265536,amenity:fuel;fuel:diesel:yes;fuel:octane_95:yes;name:N1
node/87373728,64.07566 -21.9130947,bus:yes;name:IKEA;public_transport:stop_position
node/111472895,64.099141 -21.8807864,amenity:fuel;name:ÓB;operator:ÓB
node/122272928,64.4101054 -21.5975171,amenity:fuel;fuel:diesel:yes;fuel:octane_95:yes;name:OB;operator:OB
node/122275348,64.5444358 -21.9082248,addr:postcode:310;addr:street:Brúartorg;amenity:fuel;name:Olís;operator:ÓB;short_name:ÓB;source:Kaart Ground Survey 2017;wheelchair:yes
node/122275354,64.5440281 -21.9103893,addr:city:Borgarnes;addr:housenumber:1;addr:postcode:310;addr:street:Brúartorg;amenity:fuel;contact:phone:+354 440 1333;fuel:diesel:yes;fuel:octane_95:yes;internet_access:wlan;internet_access:fee:no;name:N1;opening_hours:Mo-Su 07:30-23:30;operator:N1;toilets:wheelchair:yes;wheelchair:yes
node/122275360,64.5435232 -21.9087217,amenity:fuel;fuel:diesel:yes;fuel:octane_95:yes;name:Orkan
node/122323571,64.141379 -21.9042818,addr:city:Reykjavík;addr:housenumber:22-24;addr:postcode:105;addr:street:Brautarholt;name:22 Hill Hotel;phone:+354 5113777;smoking:outside;tourism:hotel;website:https://www.22hillhotel.is/;wikidata:Q111409539
node/126053091,64.9157609 -23.8815931,addr:city:Hellissandur;addr:country:IS;addr:housenumber:9;addr:postcode:360;addr:street:Klettsbúð;internet_access:wlan;name:Hotel Hellissandur;tourism:hotel
node/126054386,64.8953245 -23.7069013,amenity:bank;name:Sparisjóður Ólafsvikur
node/126199291,64.9458772 -23.4910655,amenity:parking;tourism:viewpoint
