ext_id,coordinates,tags
node/283479071,54.1710039 -4.4422305,light_rail:yes;name:Majestic Halt;public_transport:stop_position;railway:stop;ref:50156;ref:poll:50-51;wikidata:Q6737695;wikipedia:en:Majestic Halt
node/283479609,54.0721498 -4.6492515,man_made:lighthouse;seamark:light:character:Oc;seamark:light:colour:red;seamark:light:height:8;seamark:light:period:15;seamark:light:range:5;seamark:light:reference:A 4760;seamark:light:sequence:13+(2);seamark:type:light_minor;source:US NGA Pub. 114. 2011-05-26.
node/283480522,54.1482153 -4.5061524,amenity:school;name:Pulrose School
node/283481023,54.2605383 -4.5815164,name:Barregarrow Crosroads;tourism:attraction
node/283481204,54.2498249 -4.3770246,light_rail:yes;name:Dhoon Glen Halt;public_transport:stop_position;railway:stop;ref:50132;wikidata:Q5269757;wikipedia:en:Dhoon Glen Halt
node/283481300,54.2514145 -4.4637109,light_rail:yes;name:Bungalow;public_transport:stop_position;railway:halt;wikidata:Q4997614;wikipedia:en:Bungalow railway station
node/283481474,54.2811615 -4.5879813,name:Douglas Corner;tourism:attraction
node/283483099,54.2776121 -4.3734159,light_rail:yes;name:Watson's Crossing;public_transport:stop_position;railway:stop;ref:50119
node/283483230,54.172797 -4.511609,"bus:yes;name:Strang, Postbox;public_transport:stop_position"
node/283484193,54.1264425 -4.5383256,public_transport:stop_position;rail:yes;railway:stop;train:yes
node/283484388,54.1879537 -4.4743241,name:Hillberry Corner;tourism:attraction;wikidata:Q5762625;wikipedia:en:Hillberry Corner
node/283486904,54.3035861 -4.5632419,name:Dub Cottage;tourism:attraction
node/283488031,54.0910596 -4.6761763,name:Iron Gates;tourism:attraction
node/283488566,54.1036781 -4.729075,tourism:picnic_site
node/283490888,54.2295722 -4.3952208,light_rail:yes;name:Minorca Halt;name:en:Minorca Halt;name:gv:Staad Minorca;operator:Isle of Man Govermaent;public_transport:stop_position;railway:stop;ref:50136;wikidata:Q6869214;wikipedia:en:Minorca Halt
node/283492465,54.316805 -4.4827231,leisure:park;name:Sulby Claddagh;name:en:Sulby Claddagh;name:gv:Yn Claddagh;place:locality
node/283492817,54.1683329 -4.4484602,light_rail:yes;name:Onchan Head;name:gv:Straad Kione Droghad;public_transport:stop_position;railway:stop;ref:50158;ref:poll:033-034;wikidata:Q7091954;wikipedia:en:Onchan Head railway station
node/283494046,54.3096741 -4.3610486,light_rail:yes;name:Bellevue Halt;public_transport:stop_position;railway:stop;ref:50106;wheelchair:yes;wikidata:Q4883715;wikipedia:en:Belle Vue Halt
