ext_id,coordinates,tags
node/25141160,56.8931109 21.1647929,man_made:lighthouse;name:Pāvilostas dienvidu mola bāka;name:de:Leuchtfeuer Pāvilosta Mole Süd;name:lv:Pāvilostas dienvidu mola bāka;seamark:light:character:Fl;seamark:light:colour:green;seamark:light:height:8;seamark:light:period:3;seamark:light:range:2;seamark:light:reference:C 3443.4;seamark:light:sequence:0.5+(2.5);seamark:type:light_minor;wikidata:Q28922045
node/26671445,56.9702372 23.7763411,bus:yes;name:Dubultu stacija (Dubulti);public_transport:stop_position
node/26804985,57.6651507 25.215611,bench:yes;highway:bus_stop;name:Briedes;public_transport:platform;shelter:no
node/26842969,57.0359061 24.114864,name:Ziemeļblāzma;public_transport:stop_position;railway:stop;train:yes
node/26860116,57.1368791 24.3344639,email:dzirnkalns@inbox.lv;name:Kempings „Dzirnezers K”;phone:+371 67700343;tourism:camp_site
node/26860118,56.406669 20.995827,name:Gaili;tourism:camp_site
node/26860126,56.641944 22.566111,name:Radi;tourism:camp_site;website:https://www.radi.lv/
node/26860130,57.352222 25.087222,name:Ungurs;tourism:camp_site
node/28444764,57.6000982 24.3722417,name:Kutkāju rags;tourism:viewpoint
node/29783876,56.9476505 24.116339,name:Stacijas laukums;public_transport:stop_position;railway:tram_stop;tram:yes
node/32338121,57.9466811 24.5629094,tourism:picnic_site
node/32339172,57.9023737 24.5123578,tourism:picnic_site
node/32515354,57.2481952 24.6699749,bench:yes;bus:yes;highway:bus_stop;name:Bīriņi;public_transport:platform;service:regional;shelter:yes
node/32516811,57.3476101 24.6621364,bench:yes;bus:yes;highway:bus_stop;name:Vidriži;public_transport:platform;shelter:yes
node/32704986,57.8414129 24.4857067,name:Sarkanās klintis;tourism:viewpoint
node/33697067,57.6055793 26.2286069,highway:bus_stop;name:Cirgaļi;public_transport:platform
node/33697127,57.516816 26.400172,bench:yes;highway:bus_stop;name:Gaujiena;public_transport:platform;service:regional;shelter:yes
node/33698481,57.6678844 26.0815257,leisure:fishing;name:Atpūtas vietas pie Dziļā ezera;operator:LVM un Dabas aizsardzības pārvalde;source:https://www.lvmgeo.lv/dati Tūrisma vietas;tourism:picnic_site
node/33702046,57.4279429 25.8981562,addr:city:Smiltene;addr:country:LV;addr:district:Smiltenes novads;addr:housenumber:2;addr:postcode:LV-4729;addr:street:Stacijas iela;amenity:fuel;name:Virši A;ref:LV:addr:101198007
node/34032910,57.1531642 24.8555149,esr:user:095119;name:Sigulda;name:de:Segewold;name:he:סיגולדה;name:ja:スィグルダ;name:ka:სიგულდა;name:ko:시굴다;name:lt:Sigulda;name:lv:Sigulda;name:ru:Сигулда;name:uk:Сігулда;name:zh:錫古爾達;public_transport:station;railway:station;train:yes;uic_ref:2500346;wheelchair:yes;wikidata:Q4418683
node/35112343,57.5130427 26.3986544,addr:city:Gaujiena;addr:country:LV;addr:district:Smiltenes novads;addr:housename:Anniņas;addr:postcode:LV-4339;addr:subdistrict:Gaujienas pagasts;name:Jāzepa Vītola memoriālais muzejs;ref:LV:addr:103898860;tourism:museum
node/35112601,57.5155115 26.3968446,historic:ruins
node/35112607,57.5140368 26.3974398,addr:city:Gaujiena;addr:country:LV;addr:district:Smiltenes novads;addr:housename:Vidusskola;addr:postcode:LV-4339;addr:subdistrict:Gaujienas pagasts;amenity:school;name:Gaujienas O. Vācieša vidusskola;phone:+371 64381629;ref:LV:addr:103899372;website:http://www.gaujienasvidusskola.lv
node/35119237,57.5127124 26.3981898,tourism:picnic_site
node/57568109,56.7969347 23.9245257,addr:city:Olaine;addr:country:LV;addr:district:Olaines novads;addr:housenumber:4;addr:postcode:LV-2114;addr:street:Rūpnīcu iela;amenity:bank;brand:Swedbank;brand:wikidata:Q1145493;brand:wikipedia:en:Swedbank;name:Swedbank;operator:Swedbank;ref:LV:addr:102679373
node/58950232,57.4969786 25.4165895,bus:yes;highway:bus_stop;public_transport:platform
node/60575236,57.3941471 21.6153658,addr:city:Ventspils;addr:country:LV;addr:housenumber:1;addr:postcode:LV-3601;addr:street:Robežu iela;alt_name:Virši-A;amenity:fuel;name:Virši-A;opening_hours:24/7;ref:LV:addr:105720345
node/60660175,57.1842749 25.0239619,esr:user:095104;name:Līgatne;name:lt:Lygatnė;name:lv:Līgatne;name:ru:Лигатне;public_transport:station;railway:station;train:yes;uic_ref:2500170;wheelchair:no
node/60660250,57.3882564 25.4143294,esr:user:111107;name:Lode;name:lv:Lode;name:ru:Лоде;public_transport:station;railway:station;uic_ref:2500173;wheelchair:no
node/60660342,57.096265 24.68654,esr:user:095208;name:Inčukalns;name:de:Hinzenberg;name:lv:Inčukalns;name:ru:Инчукалнс;public_transport:station;railway:station;train:yes;uic_ref:2500347;wikidata:Q7263449
