ext_id,coordinates,tags
node/32011279,47.2113777 9.5622276,bus:yes;name:Schaanwald Zuschg;public_transport:stop_position
node/32011360,47.1432488 9.5183012,bus:yes;name:Vaduz Quäderle;public_transport:stop_position
node/32020981,47.2074785 9.5284713,bus:yes;name:Eschen Presta;public_transport:stop_position
node/33645328,47.2096551 9.5137496,bus:yes;name:Eschen Brühl;public_transport:stop_position
node/50028409,47.1087486 9.5251103,bus:yes;name:Triesen Sonnenkreisel;public_transport:stop_position
node/266796706,47.2305531 9.5620968,bus:yes;name:Tosters Werdenbergstraße;public_transport:stop_position
node/275566481,47.2180876 9.5465399,bus:yes;name:Mauren Freihof;public_transport:stop_position
node/276018968,47.2415565 9.5285505,bus:yes;name:Ruggell Kirche;public_transport:stop_position
node/277113773,47.241361 9.560687,bus:yes;name:Hinterschellenberg;public_transport:stop_position
node/277113962,47.2373227 9.5582367,bus:yes;name:Schellenberg Obergut;public_transport:stop_position
node/277115791,47.2384406 9.5266766,bus:yes;name:Ruggell Sennerei;public_transport:stop_position
node/277116160,47.2330989 9.5499371,bus:yes;name:Schellenberg Sägaplatz;public_transport:stop_position
node/277116184,47.2321555 9.5468266,bus:yes;name:Schellenberg Post;public_transport:stop_position
node/277116238,47.227633 9.5388942,bus:yes;name:Schellenberg Tannwald;public_transport:stop_position
node/277116260,47.2283326 9.5355995,bus:yes;name:Schellenberg Loch;public_transport:stop_position
node/280027006,47.1076923 9.526155,addr:country:LI;addr:housename:ehem. Spörryfabrik;addr:housenumber:24;addr:street:Dorfstrasse;amenity:school;int_name:formatio privatschool;name:formatio Privatschule;wikidata:Q106908575;wikimedia_commons:Category:Formatio Privatschule;wikipedia:de:Formatio Privatschule
node/280027783,47.1080267 9.526459,"amenity:arts_centre;name:Kulturzentrum Gasometer;opening_hours:Fr 16:00-20:00; Sa,Su 14:00-18:00"
node/282832269,47.2185721 9.5426063,bus:yes;name:Mauren Post;public_transport:stop_position
node/300208511,47.1348474 9.5454485,bus:yes;name:Masescha Foppa;public_transport:stop_position
node/300209431,47.1087579 9.5992979,bus:yes;name:Malbun Schneeflucht;public_transport:stop_position
node/300209696,47.1320409 9.6254377,alt_name:Mattajoch;direction:135;ele:1867;mountain_pass:yes;name:Mattlerjoch;natural:saddle;tourism:viewpoint
node/304485040,47.1119883 9.531834,bus:yes;name:Triesen Vaschiel;public_transport:stop_position
node/315596859,47.0667582 9.4973178,"bus:yes;ele:474;name:Balzers Schlossweg;operator:LIEmobil;public_transport:stop_position;uic_name:Balzers, Schlossweg;uic_ref:8574408;wheelchair:yes"
node/315596874,47.0615448 9.4978282,"bench:no;bus:yes;departures_board:timetable;ele:474;highway:bus_stop;name:Balzers Mälsnerdorf;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:no;uic_name:Balzers, Mälsnerdorf;uic_ref:8574405"
node/315596896,47.0637113 9.5033576,"bench:yes;bin:yes;bus:yes;departures_board:timetable;ele:474;highway:bus_stop;lit:yes;name:Balzers Rietstrasse;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:yes;tactile_paving:yes;uic_name:Balzers, Rietstrasse;uic_ref:8509611;wheelchair:no"
node/315596943,47.0669967 9.5074401,"bench:no;bin:yes;bus:yes;departures_board:timetable;ele:474;highway:bus_stop;lit:no;name:Balzers Höfle;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;uic_name:Balzers, Höfle;uic_ref:8574404"
node/315596952,47.069686 9.5069969,bus:yes;name:Balzers Alter Pfarrhof;public_transport:stop_position
node/315636800,47.0984402 9.5248212,"bench:yes;bin:yes;bus:yes;departures_board:timetable;ele:463;highway:bus_stop;name:Triesen Argweg;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:yes;tactile_paving:yes;uic_name:Triesen, Argweg;uic_ref:8581003;wheelchair:yes"
node/315636807,47.1024034 9.5249171,"bench:yes;bin:yes;bus:yes;departures_board:timetable;ele:463;highway:bus_stop;name:Triesen Bächlegatter;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:yes;uic_name:Triesen, Bächlegatter;uic_ref:8574398;wheelchair:yes"
node/315636808,47.1056702 9.5252135,"bench:yes;bin:yes;bus:yes;departures_board:timetable;ele:466;highway:bus_stop;name:Triesen Schule;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:yes;uic_name:Triesen, Schule;uic_ref:8580201;wheelchair:yes"
node/315636810,47.1112284 9.5242086,"bench:yes;bin:yes;bus:yes;departures_board:timetable;ele:463;highway:bus_stop;lit:yes;name:Triesen Alte Post;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;old_name:Triesen Post;operator:LIEmobil;public_transport:platform;shelter:yes;tactile_paving:no;uic_name:Triesen, Alte Post;uic_ref:8509629"
node/315636811,47.1165796 9.523921,"bench:yes;bin:yes;bus:yes;departures_board:realtime;ele:463;highway:bus_stop;name:Triesen Maschlina;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;passenger_information_display:yes;public_transport:platform;shelter:yes;uic_name:Triesen, Maschlina;uic_ref:8574396;wheelchair:yes"
node/315636812,47.1220485 9.5241056,"bench:yes;bin:yes;bus:yes;departures_board:realtime;ele:466;highway:bus_stop;lit:yes;name:Triesen Messina;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;passenger_information_display:yes;public_transport:platform;shelter:yes;uic_name:Triesen, Messina;uic_ref:8580602"
node/315636813,47.134232 9.5221641,"bench:yes;bin:yes;bus:yes;departures_board:timetable;ele:504;highway:bus_stop;lit:yes;name:Vaduz Spital;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:yes;uic_name:Vaduz, Spital;uic_ref:8574392;wheelchair:yes"
node/315636814,47.1387841 9.5217904,"bench:yes;bin:yes;bus:yes;departures_board:realtime;ele:504;highway:bus_stop;lit:yes;local_ref:A;name:Vaduz Post;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;passenger_information_display:yes;public_transport:platform;shelter:yes;tactile_paving:yes;uic_name:Vaduz, Post;uic_ref:8509985;wheelchair:yes"
node/315636878,47.1404097 9.5194669,amenity:fountain
node/315636966,47.1357886 9.5207662,amenity:library;check_date:2024-03-02;check_date:opening_hours:2024-03-02;email:www.landesbibliothek.li;name:Landesbibliothek;opening_hours:Mo-Fr 09:00-18:30; Sa 13:00-17:00;operator:type:public;wheelchair:yes;wikidata:Q964098;wikimedia_commons:Category:Liechtensteinische Landesbibliothek;wikipedia:en:Liechtenstein State Library
node/315636967,47.1400138 9.5228187,addr:city:Vaduz;addr:country:LI;addr:housenumber:23;addr:postcode:9490;addr:street:Städtle;name:Residence Hotel;toilets:wheelchair:yes;tourism:hotel;wheelchair:yes
node/315637019,47.1407543 9.5241332,name:Känzile;tourism:viewpoint
node/315637069,47.1471256 9.523371,name:Park-Hotel Sonnenhof;tourism:hotel
node/315637103,47.1452479 9.5149895,"bench:yes;bus:yes;departures_board:realtime;ele:504;highway:bus_stop;name:Vaduz Hofkellerei;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;passenger_information_display:yes;public_transport:platform;shelter:yes;uic_name:Vaduz, Hofkellerei;uic_ref:8574389"
node/315637104,47.149045 9.512315,"bench:yes;bin:yes;bus:yes;departures_board:realtime;ele:504;highway:bus_stop;lit:yes;name:Vaduz Ebenholz/Universität;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;passenger_information_display:yes;public_transport:platform;shelter:yes;uic_name:Vaduz, Ebenholz/Universität;uic_ref:8509614"
node/315637114,47.1547748 9.5105919,"bench:yes;bin:yes;bus:yes;departures_board:timetable;ele:504;highway:bus_stop;lit:yes;name:Vaduz Mühleholz;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:yes;uic_name:Vaduz, Mühleholz;uic_ref:8509620"
node/316511086,47.160804 9.5089337,"bench:yes;bus:yes;ele:455;highway:bus_stop;name:Schaan Laurentiusbad;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:yes;uic_name:Schaan, Laurentiusbad;uic_ref:8574388"
node/316511088,47.1644497 9.508793,"bench:no;bin:yes;bus:yes;departures_board:timetable;ele:449;highway:bus_stop;name:Schaan Zentrum/LKW;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:no;uic_name:Schaan, Zentrum/LKW;uic_ref:8574387"
node/316511160,47.1679814 9.5049687,"bus:yes;ele:447;highway:bus_stop;name:Schaan Malarsch;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;uic_name:Schaan, Malarsch;uic_ref:8582436"
