ext_id,coordinates,tags
node/31319735,54.683 25.2759,artist_name:Konstantinas Bogdanas;historic:memorial;mapillary:498725531281569;memorial:bust;name:Frank Zappa;start_date:1995;subject:wikidata:Q127330;subject:wikipedia:lt:Frank Zappa;tourism:attraction;wheelchair:yes;wikidata:Q110468664
node/31451531,54.6449966 25.0470605,esr:user:120908;name:Lentvaris;name:lt:Lentvaris;name:ru:Лянтварис;name:uk:Лянтваріс;public_transport:station;railway:station;uic_ref:2400417;wikidata:Q12662836;wikipedia:lt:Lentvario geležinkelio stotis
node/31451565,54.3523155 24.7202066,esr:user:122301;name:Valkininkai;name:lt:Valkininkai;name:ru:Валькининкай;name:uk:Валькінінкай;railway:station;uic_ref:2401422;wikidata:Q55979370
node/31451577,54.2747567 24.6860969,esr:user:122208;name:Matuizos;name:lt:Matuizos;name:ru:Матуйзос;name:uk:Матуйзос;public_transport:station;railway:station;train:yes;uic_ref:2401424;wikidata:Q56338576
node/31451593,54.2093718 24.5747343,esr:user:121608;int_name:Varena;name:Varėna;name:bat-smg:Varėna;name:be:Варэна;name:de:Warnen;name:en:Varena;name:fa:وارنا، لتونی;name:he:וריאנה;name:ja:ヴァレナ;name:ka:ვარენა;name:kk:Варена;name:lt:Varėna;name:lv:Varēna;name:pl:Orany;name:ru:Варена;name:sr:Варена;name:uk:Варена;name:zh:瓦雷纳;railway:station;uic_ref:2400426;wikidata:Q55163129
node/31451778,54.6448164 25.2072034,bus:yes;public_transport:stop_position
node/32320314,54.7030087 25.2889954,bus:yes;public_transport:stop_position
node/32324777,54.7107967 25.2562819,public_transport:stop_position
node/32448087,54.7399026 24.7240466,public_transport:stop_position
node/32593348,54.8247282 24.9864247,public_transport:stop_position
node/32593483,54.7863145 24.8906435,public_transport:stop_position
node/32598856,54.7216771 25.1933766,public_transport:stop_position
node/32828401,54.78286 24.6133782,public_transport:stop_position
node/32846370,54.9149102 23.8752088,public_transport:stop_position
node/32868767,54.6734429 25.2143137,bus:yes;public_transport:stop_position
node/32868930,54.6799559 25.2174428,bus:yes;public_transport:stop_position
node/32869222,54.6710312 25.1921158,addr:city:Vilnius;addr:housenumber:12;addr:postcode:04123;addr:street:Oslo g.;amenity:fuel;brand:Circle K;brand:wikidata:Q3268010;brand:wikipedia:lt:Circle K;fuel:diesel:yes;fuel:octane_95:yes;name:Circle K 1-2-3;opening_hours:24/7;operator:Circle K;self_service:yes;website:https://www.circlek.lt/
node/33143973,55.1819044 24.8111702,bus:yes;public_transport:stop_position
node/33189805,56.1754739 23.5520265,public_transport:stop_position
node/33351953,54.6710142 25.2844688,bus:yes;public_transport:stop_position
node/33351957,54.6708107 25.2834528,bus:yes;public_transport:stop_position
node/33691497,54.8174975 25.1737838,public_transport:stop_position
node/33699231,56.0697391 24.4358329,public_transport:stop_position
node/33699381,56.1711561 24.4443062,public_transport:stop_position
node/33732330,54.7092614 25.2125874,bus:yes;public_transport:stop_position
node/33733833,54.7345514 25.2196674,bus:yes;public_transport:stop_position
node/34102244,54.6678914 24.9116497,public_transport:stop_position
node/36138656,54.7553245 25.2807679,bus:yes;highway:bus_stop;name:Vaikų ligoninė;operator:VVT;public_transport:platform;wheelchair:yes
node/36165559,54.1067506 24.7570357,public_transport:stop_position
node/36808978,54.7362171 25.2665744,bus:yes;public_transport:stop_position
node/36808982,54.7357892 25.266399,bus:yes;public_transport:stop_position
node/38459495,54.7221882 25.3187763,bus:yes;name:Keleivių išlaipinimas;public_transport:stop_position
node/38459888,54.7224685 25.3181266,bus:yes;public_transport:stop_position
node/40572654,54.5590764 25.2790732,public_transport:stop_position
node/40572660,54.5653792 25.2744851,public_transport:stop_position
node/53802245,54.698311 25.2454322,bus:yes;public_transport:stop_position
node/55338381,54.8363945 24.5887434,alt_name:Žaslių geležinkelio stotis;esr:user:122725;name:Žasliai;name:lt:Žasliai;name:ru:Жасляй;name:uk:Жаль;public_transport:station;railway:station;uic_ref:2400366;wikidata:Q108602987
node/55338421,54.9017033 24.2208195,esr:user:122903;name:Pravieniškės;name:lt:Pravieniškės;name:ru:Правенишкес;name:uk:Правенішкес;public_transport:station;railway:station;train:yes;uic_ref:2400365;wikidata:Q108602722
