ext_id,coordinates,tags
node/25609667,49.6150126 6.1659779,name:Cents-Hamm;operator:CFL;public_transport:station;railway:station;railway:ref:Cs;railway:ref:DB:XLCS;uic_ref:8270280;wheelchair:yes;wikidata:Q2042597
node/25611441,49.5427228 6.1336836,name:Berchem;public_transport:stop_position;railway:stop;train:yes
node/25611779,49.5160743 6.1013625,alt_name:lb:Beetebuerg;name:Bettembourg;name:de:Bettemburg;name:fr:Bettembourg;name:lb:Bétebuerg;operator:CFL;public_transport:stop_position;railway:stop;ref:2;train:yes;wheelchair:no
node/25694050,49.5396122 6.3643724,"bus:yes;name:Remich, Piscine;public_transport:stop_position"
node/25699834,49.6008075 6.367204,"bus:yes;name:Lenningen, Basilika;public_transport:stop_position"
node/25725304,49.6303911 6.2685599,name:Munsbach;public_transport:stop_position;railway:stop;ref:2;train:yes
node/25762233,49.6147628 6.2170908,"bus:yes;name:Sandweiler, Rue d'Itzig;network:RGTR;public_transport:stop_position;ref:verkeiersverbond:200601012"
node/25907784,49.5762099 6.275832,"bus:yes;name:Ersange, Irseng;public_transport:stop_position;ref:verkeiersverbond:500000063"
node/25907839,49.5694012 6.2843612,"bus:yes;name:Roedt, Reidt;public_transport:stop_position;ref:verkeiersverbond:500000063"
node/25917539,49.5573252 6.2934537,"bus:yes;name:Waldbredimus, Hanner Lautesch;public_transport:stop_position"
node/25921029,49.4972363 6.1140921,"bus:yes;name:Dudelange, Eurohub;network:RGTR;public_transport:stop_position"
node/25922176,49.5103113 6.0150495,"bus:yes;name:Schifflange, Denis Netgen;public_transport:stop_position"
node/25923526,49.5080338 6.050847,elevator:yes;name:Noertzange;operator:CFL;public_transport:station;railway:station;railway:ref:Nz;railway:ref:DB:XLNZ;train:yes;uic_ref:8270800;wheelchair:yes;wikidata:Q2455195
node/25923528,49.5083472 6.0534729,name:Noertzange;public_transport:stop_position;railway:stop;train:yes
node/31724071,49.6595021 6.2395051,"bus:yes;name:Oberanven, Rue Schetzel;public_transport:stop_position"
node/31724083,49.6618317 6.2390715,"bus:yes;name:Oberanven, Rue d'Ernster;public_transport:stop_position"
node/31768297,49.5998322 6.134439,local_ref:4;name:Luxembourg;public_transport:stop_position;railway:stop;train:yes
node/32020639,49.6111445 6.1431878,"bus:yes;name:Cents, Kéibierg-I.N.S.;public_transport:stop_position"
