ext_id,coordinates,tags
node/755,59.9296625 10.7160479,bus:yes;name:Majorstuen (F);network:Ruter;public_transport:stop_position;ref:F
node/1188,68.3459 16.919517,highway:bus_stop;name:Arnes;ref:nsrq:82139
node/1194,68.34916 16.938766,highway:bus_stop;name:Skjellneset;ref:nsrq:82148
node/1202,68.352551 16.952982,highway:bus_stop;name:Osen;ref:nsrq:82152
node/1228,68.355606 17.012326,highway:bus_stop;name:Råna;ref:nsrq:85307
node/78348,63.4304961 10.3950581,"artist_name:Wilhelm Rasmussen;artwork_type:statue;description:Monument of King Olav 1 Tryggvason, founder of Trondheim.;height:18;historic:memorial;memorial:statue;name:Olav Tryggvason;start_date:1921;tourism:artwork;wheelchair:yes;wikidata:Q15037602;wikipedia:en:Olav Tryggvason (statue)"
node/79248,59.9478741 10.7641113,bus:yes;name:Nydalsveien;network:Ruter;public_transport:stop_position
node/79349,59.9276662 10.6754387,bus:yes;name:Hoff terrasse;network:Ruter;public_transport:stop_position
node/79400,59.9144675 10.640266,bus:yes;name:Lysaker bru;network:Ruter;public_transport:stop_position
node/79463,59.9307562 10.7613053,bus:yes;name:Biermanns gate;network:Ruter;public_transport:stop_position
node/79592,59.9178809 10.7989845,bus:yes;name:Valle;network:Ruter;public_transport:stop_position
node/79606,59.9229952 10.7717523,bus:yes;name:Sofienberg;network:Ruter;operator:Sporveien Trikken;public_transport:stop_position
node/79784,59.9658668 10.777636,bus:yes;name:Stillatorvet;network:Ruter;public_transport:stop_position
node/103761,59.9669462 10.9085043,bus:yes;name:Rommi;network:Ruter;public_transport:stop_position
node/103766,59.96323 10.9033972,bus:yes;name:Sveiva;network:Ruter;public_transport:stop_position
node/103875,59.9441055 10.8175726,bus:yes;name:Brobekk;network:Ruter;public_transport:stop_position
node/104029,59.8820882 10.8340752,bus:yes;name:Bogerudmyra;network:Ruter;public_transport:stop_position
node/105404,63.428779 10.435008,bus:yes;highway:bus_stop;name:Clara Holsts veg;public_transport:platform;ref:nsrq:75615
node/105563,63.4518579 10.3092381,bus:yes;check_date:2024-04-06;name:Trolla;public_transport:stop_position;public_transport:version:2
node/105658,63.4215173 10.1470935,bus:yes;name:Hegsnippen;public_transport:stop_position;public_transport:version:2
node/106330,59.9149363 10.7871375,bus:yes;network:Ruter;public_transport:stop_position
node/106389,59.8974803 10.7757564,bus:yes;name:Ekeberg Camping;network:Ruter;public_transport:stop_position
node/106457,59.874618 10.7598893,bus:yes;name:Malmøysundet;network:Ruter;public_transport:stop_position
node/106719,59.96388 10.7342283,bus:yes;name:Kringsjå;network:Ruter;public_transport:stop_position
node/130938,69.4592886 25.4471128,bus:yes;public_transport:stop_position
node/146843,59.729497 10.7338018,bus:yes;name:Nesset;network:Ruter;public_transport:stop_position
node/158022,60.0043129 11.031652,bus:yes;name:Skedsmokorset;network:Ruter;public_transport:stop_position
node/158375,59.9196843 10.9740323,bus:yes;network:Ruter;public_transport:stop_position
node/158501,59.9280805 10.8654933,bus:yes;name:Trosterudkrysset;network:Ruter;public_transport:stop_position
node/158587,59.9174604 10.8512826,bus:yes;name:Haugerudveien;network:Ruter;public_transport:stop_position
node/158650,59.9105571 10.8601437,bus:yes;name:Krokstien;network:Ruter;public_transport:stop_position
node/158812,59.7909834 10.8824484,bus:yes;network:Ruter;public_transport:stop_position
node/158826,59.8020831 10.8814433,bus:yes;network:Ruter;public_transport:stop_position
node/158854,59.7249403 10.8418487,bus:yes;name:Ski sykehus;network:Ruter;public_transport:stop_position;tactile_paving:yes
node/159301,59.6670631 10.637781,bus:yes;name:Seiersten;network:Ruter;public_transport:stop_position
node/159309,59.6633281 10.6338443,bus:yes;name:Grøndal;network:Ruter;public_transport:stop_position
node/159333,59.6902273 10.694826,bus:yes;name:Billitt;network:Ruter;public_transport:stop_position
node/159465,59.8180953 10.7874775,bus:yes;name:Trollåsveien;network:Ruter;public_transport:stop_position
node/191799,59.9036061 10.6869245,bus:yes;name:Fredriksborg;network:Ruter;public_transport:stop_position
node/191833,59.9012012 10.6789746,bus:yes;name:Frimurerhjemmet;network:Ruter;public_transport:stop_position
node/191848,59.9016817 10.6877447,bus:yes;name:Langvik;network:Ruter;public_transport:stop_position
node/191893,59.9018556 10.6946341,bus:yes;name:Herbernveien;network:Ruter;public_transport:stop_position
node/194481,59.9626396 10.6464615,bus:yes;name:Himstadplassen;network:Ruter;public_transport:stop_position
node/194484,59.962061 10.642287,highway:bus_stop;name:Bogstad Camping;ref:nsrq:11792;shelter:yes
node/247687,68.784639 16.559288,highway:bus_stop;name:Gangsåsveien;ref:nsrq:95604
node/261028,59.915527 10.934442,bus:yes;network:Ruter;public_transport:stop_position
node/275948,59.9474802 10.72201,bus:yes;name:Domus Athletica;network:Ruter;public_transport:stop_position
node/277520,59.9401443 10.7727662,bus:yes;name:Nordpolen skole;network:Ruter;public_transport:stop_position
node/280735,59.8724827 10.8012109,bus:yes;name:Ringshusveien;network:Ruter;public_transport:stop_position
node/280969,59.9490155 10.767561,bus:yes;name:Nydalen T;network:Ruter;public_transport:stop_position
node/325127,59.9449323 10.6794604,bus:yes;name:Holmendammen;network:Ruter;public_transport:stop_position
node/328526,59.9122768 10.7796836,bus:yes;name:Kampen;network:Ruter;public_transport:stop_position
node/328578,59.910086 10.7773531,bus:yes;name:Kjølberggata;network:Ruter;public_transport:stop_position
node/582496,59.9371148 10.8195871,bus:yes;name:Kroklia;network:Ruter;public_transport:stop_position
node/621600,60.7308516 6.1364398,bus:yes;name:Nesheimsfjellet;public_transport:stop_position
node/621608,60.7196469 6.1271667,bus:yes;name:Langeland;public_transport:stop_position
node/621646,60.671478 6.0867429,bus:yes;name:Forvo;public_transport:stop_position
node/621657,60.6633532 6.0954766,bus:yes;name:Fadnestreet;public_transport:stop_position
node/621659,60.6593102 6.0970065,bus:yes;name:Solvikåsen;public_transport:stop_position
node/647570,59.9655934 10.7824894,bus:yes;name:Kjelsås stasjon;network:Ruter;public_transport:stop_position
node/647596,59.9170734 10.9582876,bus:yes;network:Ruter;public_transport:stop_position
node/649694,59.973819 10.9198,bus:yes;name:Bånkallstubben;network:Ruter;public_transport:stop_position
node/650140,59.9622411 10.89698,bus:yes;name:Gangtunnelen;network:Ruter;public_transport:stop_position
node/650150,59.9630109 10.8901274,bus:yes;name:Tiurleiken;network:Ruter;public_transport:stop_position
node/650599,59.9437121 10.841489,bus:yes;name:Veitvetstubben;network:Ruter;public_transport:stop_position
node/653914,60.3889151 5.331651,bus:yes;name:Bergen Busstasjon I;public_transport:stop_position
node/653920,60.3896635 5.3257726,alt_name:Bergen sentrum (K);bus:yes;public_transport:stop_position
node/660905,59.9139467 10.7514288,bus:yes;name:Storgata;operator:Unibuss;Nobina;public_transport:stop_position
node/660921,59.9110251 10.7531379,alt_name:Oslo sentralstasjon;name:Oslo S;name:de:Oslo Hauptbahnhof;name:en:Oslo Central Station;name:et:Oslo keskraudteejaam;name:fi:Oslon keskusrautatieasema;name:fr:Gare centrale d'Oslo;name:no:Oslo S;name:zh:奥斯陆站;official_name:Oslo sentralstasjon;operator:Bane NOR;public_transport:station;railway:station;railway:traffic_mode:mixed;ref:03010010;route_ref:300;400;440;450;460;500;550;560;FT;R01;R20;R21;R41;start_date:1854-09-01;toilets:wheelchair:yes;uic_ref:7600001;wheelchair:yes;wikidata:Q1410317;wikipedia:no:Oslo Sentralstasjon
node/662104,59.916911 10.8270532,bus:yes;name:Fretex;network:Ruter;public_transport:stop_position
node/662164,59.9223751 10.830653,bus:yes;name:Ole Deviks vei;network:Ruter;public_transport:stop_position
node/682977,59.9180035 10.7401616,"image:https://photos.app.goo.gl/9E4uJyGiRutpAVeQ9;name:St. Olavs plass;source:bing;tourism:artwork;wikidata:Q12002560;wikimedia_commons:Category:St. Olavs plass, Oslo"
