ext_id,coordinates,tags
11628682,55.9342995 -4.344168,amenity:fuel;brand:BP;brand:wikidata:Q152057;name:Malthurst Service Station
17898241,58.4390491 -3.0788798,man_made:lighthouse;name:Wick South;seamark:fog_signal:category:bell;seamark:fog_signal:group:2;seamark:fog_signal:period:10;seamark:light:1:character:Fl;seamark:light:1:colour:green;seamark:light:1:height:12;seamark:light:1:period:3;seamark:light:1:sector_end:270;seamark:light:1:sector_start:253;seamark:light:2:character:Fl;seamark:light:2:colour:white;seamark:light:2:height:12;seamark:light:2:period:3;seamark:light:2:sector_end:286;seamark:light:2:sector_start:270;seamark:light:3:character:Fl;seamark:light:3:colour:red;seamark:light:3:height:12;seamark:light:3:period:3;seamark:light:3:sector_end:329;seamark:light:3:sector_start:286;seamark:light:reference:A 3528;seamark:type:light_major;source:US NGA Pub. 114. 2011-05-26.
21135031,55.9432531 -3.1817258,addr:city:Edinburgh;addr:housenumber:7;addr:street:Cowan's Close;amenity:kindergarten;name:Hope Cottage Nursery School;source:survey;website:http://www.hopecottage-nur.edin.sch.uk/
21270143,57.6709383 -2.500036,"man_made:lighthouse;name:Macduff Pier;seamark:light:1:character:Fl;seamark:light:1:colour:green;seamark:light:1:group:2;seamark:light:1:height:12;seamark:light:1:period:6;seamark:light:1:sector_end:115;seamark:light:1:sector_start:40;seamark:light:1:sequence:1+(1),1+(3);seamark:light:2:character:Fl;seamark:light:2:colour:white;seamark:light:2:group:2;seamark:light:2:height:12;seamark:light:2:period:6;seamark:light:2:range:9;seamark:light:2:sector_end:174;seamark:light:2:sector_start:115;seamark:light:2:sequence:1+(1),1+(3);seamark:light:3:character:Fl;seamark:light:3:colour:red;seamark:light:3:group:2;seamark:light:3:height:12;seamark:light:3:period:6;seamark:light:3:range:7;seamark:light:3:sector_end:210;seamark:light:3:sector_start:174;seamark:light:3:sequence:1+(1),1+(3);seamark:light:reference:A 3348;seamark:type:light_minor;source:US NGA Pub. 114. 2011-05-26."
22457602,55.7843144 -4.8478701,created_by:JOSM;tourism:viewpoint
24953756,56.0768353 -4.8104333,created_by:JOSM;tourism:viewpoint
24985098,56.6973751 -3.7215943,addr:city:Pitlochry;addr:postcode:PH16 5LY;addr:street:Perth Road;amenity:fuel;brand:BP;brand:wikidata:Q152057;fhrs:id:942833;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_97:yes;name:Pitlochry;operator:BP;source:survey
25271464,55.9237565 -5.1505374,name:Colintraive Hotel;tourism:hotel;wikidata:Q108659112;wikipedia:en:Colintraive Hotel
27070940,55.9500697 -4.7648317,amenity:place_of_worship;created_by:JOSM;denomination:assemblies_of_god;name:Christian Fellowship;religion:christian
27070944,55.9511786 -4.7653815,amenity:place_of_worship;denomination:scottish_episcopal;name:St. John's Episcopal Church;religion:christian
27089639,55.949167 -4.7657313,amenity:place_of_worship;religion:christian
27273341,56.1974883 -3.1696326,addr:postcode:KY7 5PS;amenity:fuel;brand:Shell;brand:wikidata:Q110716465;name:Shell;opening_hours:24/7;phone:+44 1592 750151;ref:navads:NVDS353_10019478;website:https://find.shell.com/gb/fuel/10019478-leslie-road
27430415,55.9162285 -3.2851455,"amenity:library;created_by:Potlatch 0.10f;is_in:Wester Hailes, Edinburgh, Scotland, UK;name:Wester Hailes Library;wheelchair:yes"
27467003,55.9097358 -3.2580515,artist_name:Chris Rutterford;artwork_type:installation;description:Mural;name:Colinton Tunnel;tourism:artwork;website:https://www.colintontunnel.org.uk/
27467007,55.9084901 -3.2587473,artist_name:Chris Rutterford;artwork_type:installation;description:Mural;name:Colinton Tunnel;tourism:artwork;website:https://www.colintontunnel.org.uk/
28213503,55.8160605 -4.2642864,amenity:library;name:Couper Institute Library
28841476,55.7883239 -4.922508,amenity:conference_centre;name:Osprey Holiday & Conference Centre
28841545,55.7600577 -4.9451369,historic:memorial;memorial:war_memorial;note:This memorial is dedicated to the men and women of the British and Allied Forces who sacrificed their lives for our freedom and have no known grave.
28841588,55.7926255 -4.9018335,"historic:monument;name:HMS Shearwater Memorial;note:In memory of Charles Cayley aged 17 and William Jewell aged 19, Midshipmen of HMS Shearwater. Two promising young officers drowned by the upsetting of their boat near this place 17th May 1844. This monument is erected in token of their worth by Captain R"
29019294,55.9232575 -3.2877434,amenity:fuel;brand:BP;brand:wikidata:Q152057;brand:wikipedia:en:BP;name:BP;operator:BP
30985723,56.0613517 -5.4722249,bar:yes;name:Cairnbaan Hotel;tourism:hotel;website:https://www.cairnbaan.com/
31159893,57.4474109 -2.786906,amenity:pub;name:Gordon Arms;tourism:hotel
31220711,58.4520356 -3.0997113,amenity:fuel;brand:Tesco;brand:wikidata:Q487494;brand:wikipedia:en:Tesco;name:Tesco;website:https://www.tesco.com/store-locator/wick/north-rd/petrol-filling-station
31289623,54.8578354 -4.3106806,"alt_name:Carnholy I;Carn Holy;Kirkdale;Cairn Holy Chambered Cairn;Cairn Holy 1;archaeological_site:megalith;description:Cairn Holy, chambered cairn 190m SSW of Cairnholy;historic:archaeological_site;material:stone;megalith_type:chambered_cairn;name:Cairnholy 1;website:https://www.megalithic.co.uk/article.php?sid=517;wikidata:Q56667464"
31518341,55.9561439 -3.2435779,amenity:fuel;brand:Esso;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;name:Windmill Malthurst Service Station;operator:Esso;phone:+44 131 315 3919;website:https://www.essofuelfinder.co.uk/425452-windmill-malthurst-sstn-edinburgh/
31556322,56.923688 -4.9808412,created_by:JOSM;name:fairy dell;tourism:attraction
31769089,56.7190261 -4.9633921,"name:Grey Mare's Tail Waterfall;tourism:attraction;waterway:waterfall;wikidata:Q5608202;wikipedia:en:Grey Mare's Tail, Kinlochmore"
32678855,55.8565338 -4.5774541,amenity:place_of_worship;denomination:church_of_scotland;name:Freeland Church;religion:christian
32996496,55.9856992 -3.4523792,tourism:viewpoint
33075225,56.0139344 -4.139496,cairn:no;corbett:no;donald:no;ele:570;graham:no;man_made:survey_post;marilyn:yes;munro:no;name:Meikle Bin;natural:peak;prominence:237;source:npe; survey; gps;tourism:viewpoint;wikidata:Q15252845;wikipedia:en:Meikle Bin
33131575,55.90021 -3.232166,addr:city:Edinburgh;addr:housenumber:50;addr:postcode:EH13 9QR;addr:street:Dreghorn Link;amenity:fuel;brand:Shell;brand:wikidata:Q110716465;designation:685;fuel:diesel:yes;fuel:octane_95:yes;name:Shell Dreghorn;opening_hours:24/7;phone:+44 131 4411792;+44 131 4410000;ref:navads:NVDS353_10018823;website:https://find.shell.com/gb/fuel/10018823-shell-dreghorn
33178929,55.9427844 -3.2039269,addr:city:Edinburgh;addr:housenumber:38;addr:street:Home Street;alt_name:Cameo;amenity:cinema;brand:Picturehouse Cinemas;brand:wikidata:Q7191215;check_date:2023-12-31;name:Cameo Picturehouse;payment:cash:yes;phone:+44 871 902 5723;source:survey;website:https://www.picturehouses.com/cinema/Cameo_Picturehouse;wheelchair:yes
33179012,55.9456211 -3.2057617,addr:city:Edinburgh;addr:country:GB;addr:housenumber:118;addr:postcode:EH3 9AN;addr:street:Lothian Road;amenity:cinema;brand:Odeon;brand:wikidata:Q6127470;brand:wikipedia:en:Odeon Cinemas;contact:website:https://www.odeon.co.uk/cinemas/edinburgh-lothian-road/;fhrs:id:71276;name:Odeon
33184984,55.9412502 -3.2182349,addr:city:Edinburgh;addr:country:GB;addr:place:Fountain Park;addr:postcode:EH11 1AF;amenity:cinema;brand:Cineworld;brand:wikidata:Q5120901;brand:wikipedia:en:Cineworld;fhrs:id:80239;name:Cineworld;not:addr:postcode:EH1 1AF;source:addr:postcode:code-point_open;website:https://www.cineworld.co.uk/cinemas/edinburgh/037;wheelchair:yes
33379760,55.8524664 -4.3671817,amenity:place_of_worship;created_by:JOSM
33736371,56.988372 -3.5452738,name:Linn of Dee;name:gd:Linne Dhè;name:sco:Linn o Dee;tourism:attraction;waterway:waterfall
33952900,55.9977835 -4.3974406,created_by:JOSM;tourism:viewpoint
35341141,55.9164464 -3.2255329,amenity:kindergarten;max_age:5;min_age:0;name:Little City Nursery
35706178,54.9372266 -3.9289004,amenity:place_of_worship;created_by:JOSM;denomination:scottish_episcopal;name:St Ninian's;religion:christian
35764710,55.8434703 -4.4427112,amenity:place_of_worship;created_by:JOSM
35772842,55.8417257 -4.4422274,amenity:place_of_worship;denomination:roman_catholic;name:St Mary's;religion:christian
35925144,57.1163542 -3.6439614,man_made:tower;name:Cairngorm Weather Station
36150503,55.9737056 -3.2510739,addr:postcode:EH4 4EP;amenity:school;email:admin@pirniehall.edin.sch.uk;fax:+44 131 538 7093;name:Pirniehall Primary School;operator:The City of Edinburgh Council;operator:wikidata:Q28530250;phone:+44 131 332 5256;ref:GB:uprn:906258238;ref:seedcode:5527821;school:primary;website:https://pirniehallprimary.wordpress.com/
36168578,54.9328228 -3.8219846,amenity:townhall;created_by:JOSM
36168580,54.9322469 -3.8251239,amenity:fuel;created_by:JOSM
36168583,54.9310301 -3.8267058,amenity:place_of_worship;created_by:JOSM;denomination:church_of_scotland;name:Dalbeattie Parish Church;religion:christian
36168584,54.9321333 -3.8258053,amenity:place_of_worship;created_by:JOSM;denomination:catholic;name:St Peter's;religion:christian
36244125,55.9517511 -3.2076392,artist_name:Sir John Steell;historic:monument;name:Albert Prince Consort;start_date:1876;tourism:artwork
36266798,54.9333367 -3.8456121,created_by:JOSM;historic:castle;name:Buittle Castle;wikidata:Q4986711
36307414,54.8726668 -3.8078312,direction:225;name:Muckle;tourism:viewpoint
36318955,54.8987615 -3.580421,"addr:city:Kirkbean;addr:housename:Near Arbigland House;addr:postcode:DG2 8BQ;fee:yes;museum:history;name:John Paul Jones Museum;opening_hours:Apr-Sep Tu,Th,Sa,Su 11:00-16:00;tourism:museum;website:https://johnpauljonesmuseum.com/;wikidata:Q3182264;wikipedia:en:John Paul Jones Cottage Museum"
36581493,55.949645 -3.2139291,historic:monument;name:Robert Viscount Melville;source:Bing;survey;wikidata:Q17570757
36608318,55.9598589 -3.1832586,addr:city:Edinburgh;addr:housenumber:9;addr:postcode:EH7 4AL;addr:street:Haddington Place;email:central@hostellingscotland.org.uk;fhrs:id:522445;internet_access:wlan;internet_access:fee:no;name:Edinburgh Central Youth Hostel;operator:SYHA;phone:+44 131 524 2090;source:survey;stars:5;toilets:wheelchair:yes;tourism:hostel;website:https://www.syha.org.uk/where-to-stay/lowlands/edinburgh-central.aspx;wheelchair:yes;wikidata:Q111117741
43640523,55.9969788 -4.3542363,historic:archaeological_site;name:Standing Stones
43649398,56.0636988 -4.4551627,direction:280;tourism:viewpoint
49333949,55.9381557 -3.2059285,addr:city:Edinburgh;addr:housenumber:69-74;addr:postcode:EH10 4HH;addr:street:Bruntsfield Place;brand:Best Western;brand:wikidata:Q830334;contact:facebook:https://www.facebook.com/BruntsfieldHotel;contact:instagram:https://www.instagram.com/thebruntsfield/;contact:tripadvisor:https://www.tripadvisor.co.uk/Hotel_Review-g186525-d191455-Reviews-The_Bruntsfield-Edinburgh_Scotland.html;fhrs:id:116693;internet_access:yes;name:Bruntsfield Hotel;tourism:hotel;website:https://www.thebruntsfield.co.uk/
49334495,55.9170545 -3.2126453,addr:city:Edinburgh;addr:housenumber:134;addr:postcode:EH10 6JB;addr:street:Braid Road;brand:Best Western;brand:wikidata:Q830334;contact:email:reservation@braidhillshotel.co.uk;contact:facebook:https://www.facebook.com/BraidHillsHotel/;contact:phone:+44 131 4478888;contact:twitter:BraidHillsHotel;contact:website:https://www.braidhillshotel.co.uk/;fhrs:id:132580;name:Braid Hills Hotel;official_name:Edinburgh South Braid Hills Hotel;tourism:hotel
50520202,55.9407099 -3.2810362,addr:city:Edinburgh;addr:housenumber:12;addr:postcode:EH12 7HD;addr:street:Kirk Loan;amenity:library;contact:website:http://www.edinburgh.gov.uk/directory_record/5058/corstorphine_library;name:Corstorphine Library;phone:+44 131 529 5506;source:survey
58706525,55.6258297 -5.1919869,corbett:yes;ele:874;ele:ft:2866;email:goatfell@nts.org.uk;graham:no;marilyn:yes;munro:no;name:Goat Fell;name:gd:Gaoda-Bheinn;natural:peak;prominence:874;tourism:viewpoint;wikidata:Q1533452;wikipedia:en:Goat Fell
59675225,55.6516887 -3.1894141,addr:city:Peebles;addr:housename:The Chambers Institution;addr:postcode:EH45 8AG;addr:street:High Street;museum:person;name:John Buchan Story;tourism:museum;website:http://www.johnbuchanstory.co.uk/;wikidata:Q113384107
59969421,55.8924152 -4.3237627,amenity:fuel;brand:Morrisons;brand:wikidata:Q922344;operator:Morrisons;website:https://my.morrisons.com/storefinder/179/glasgow-anniesland
60133881,55.9515659 -3.1793762,"historic:memorial;memorial:statue;name:Robert Fergusson, Scots Poet;url:http://curiousedinburgh.org/2017/09/19/statue-and-grave-of-robert-fergusson"
60491975,56.8099458 -2.6556496,amenity:fuel;fuel:diesel:yes;fuel:octane_95:yes;name:Hamish A MacKay;operator:Gleaner
60689779,55.8689457 -4.2732587,"amenity:fuel;check_date:2023-09-01;compressed_air:yes;fuel:diesel:yes;fuel:unleaded:yes;name:Sainsbury;opening_hours:PH,Mo-Su 00:00-23:59;payment:mastercard:yes;payment:visa:yes;self_service:yes"
60935229,56.1167693 -3.9371827,amenity:bank;atm:yes;brand:Nationwide;brand:wikidata:Q846735;contact:website:https://locations.nationwidebranches.co.uk/stirling/40-port-street;name:Nationwide Building Society;operator:Nationwide Building Society
63759976,55.5490931 -2.8421929,addr:city:Selkirk;addr:housename:Sheriff Court House;addr:postcode:TD7 4LE;addr:street:Ettrick Terrace;amenity:courthouse;name:Selkirk Sheriff Court;wikidata:Q109769548
71235429,55.9974015 -4.3893939,name:Queen's View;tourism:viewpoint
80019297,56.0547047 -4.4870803,amenity:place_of_worship;denomination:church_of_scotland;name:Kilmaronock Church;religion:christian;wikidata:Q17848738
87885579,59.38966 -2.3813879,"description:North Ronaldsay (""New"") Lighthouse;man_made:lighthouse;name:North Ronaldsay Lighthouse;seamark:light:character:Fl;seamark:light:colour:white;seamark:light:height:43;seamark:light:period:10;seamark:light:range:24;seamark:light:reference:A 3722;seamark:light:sequence:0.3+(9.7);seamark:name:North Ronaldsay;seamark:radar_transponder:category:racon;seamark:type:light_major;wikidata:Q17826758"
87935336,58.8256216 -2.9602383,name:Backpackers Hostel;tourism:hostel
87935363,58.8960038 -2.8974444,name:Totempole;tourism:attraction
87935388,58.9844989 -2.963323,name:Peedie Hostel;tourism:hostel
88036783,57.6076595 -3.6273667,amenity:fuel;operator:Esso
88128002,57.5935522 -3.113763,created_by:JOSM;tourism:viewpoint
130540961,55.6590988 -3.1802033,man_made:tower
142030737,55.9440035 -3.1620073,information:map;map_type:toposcope;tourism:viewpoint;wheelchair:no
151205024,55.947057 -3.1372581,addr:city:Edinburgh;addr:housenumber:226;addr:street:Willowbrae Road;amenity:fuel;brand:Esso;brand:wikidata:Q867662;brand:wikipedia:en:Esso;contact:website:https://www.esso.co.uk/en-gb/find-station/esso-edinburgh-essotescoedinburghexpress-100200331;name:Esso;source:survey
