ext_id,coordinates,tags
node/30361137,42.869887 22.5818381,"created_by:Potlatch 0.9c;name:х. Руй;operator:ТД Руй, Трън;tourism:alpine_hut"
node/60344291,45.280135 19.7868172,"bus:yes;highway:bus_stop;name:Горње Сајлово;name:sr:Горње Сајлово;name:sr-Latn:Gornje Sajlovo;operator:GSP ""Novi Sad"";public_transport:stop_position;ref:14"
node/72775646,44.7596755 20.4067807,bench:yes;bin:yes;bus:yes;gtfs:stop_id:1038;highway:bus_stop;int_name:Ilije Djuricica;lit:yes;name:Илије Ђуричића;name:sr:Илије Ђуричића;name:sr-Latn:Ilije Đuričića;network:БГ Превоз;operator:ГСП Београд;operator:wikidata:Q8227578;public_transport:platform;ref:1038;shelter:yes
node/78980179,44.7554402 20.40437,bench:no;bin:yes;bus:yes;gtfs:stop_id:1040;highway:bus_stop;lit:yes;name:Беле Воде;name:sr:Беле Воде;name:sr-Latn:Bele Vode;network:БГ Превоз;operator:ГСП Београд;operator:wikidata:Q8227578;public_transport:platform;ref:1040;shelter:no
node/114147859,44.7933111 20.4949495,bench:yes;bin:yes;gtfs:stop_id:211;highway:bus_stop;lit:yes;name:Велимира Тодоровића;name:sr:Велимира Тодоровића;name:sr-Latn:Velimira Todorovića;network:БГ Превоз;operator:ГСП Београд;operator:wikidata:Q8227578;public_transport:platform;ref:211;shelter:yes;trolleybus:yes
node/114160750,44.7646041 20.4929232,bus:yes;public_transport:stop_position
node/248924847,44.8242633 20.4492486,tourism:viewpoint
node/249251860,44.7719723 20.5028072,public_transport:stop_position
node/249251872,44.7756854 20.5001644,bus:yes;gtfs:stop_id:261;highway:bus_stop;name:Медаковић 2;name:sr:Медаковић 2;name:sr-Latn:Medaković 2;network:БГ Превоз;operator:ГСП Београд;operator:wikidata:Q8227578;public_transport:platform;ref:261;shelter:yes;trolleybus:yes
node/249251890,44.7918102 20.4974306,bench:yes;bin:yes;bus:yes;gtfs:stop_id:214;highway:bus_stop;lit:yes;name:Школа Војислав Илић;name:sr:Школа Војислав Илић;name:sr-Latn:Škola Vojislav Ilić;network:БГ Превоз;operator:ГСП Београд;operator:wikidata:Q8227578;public_transport:platform;ref:214;shelter:yes;trolleybus:yes
