ext_id,coordinates,tags
node/387754,53.3181979 -3.4887917,name:Rhyl;naptan:AtcoCode:9100RHYL;network:National Rail;network:website:https://www.nationalrail.co.uk/stations/rhl/;network:wikidata:Q26334;operator:en:Transport for Wales;operator:website:https://tfw.wales/places/stations/rhyl;operator:wikidata:Q104878180;public_transport:station;railway:station;ref:crs:RHL;source:NPE;train:yes;wikidata:Q2043736;wikipedia:en:Rhyl railway station
node/550884,52.234865 -3.3800373,bus:yes;highway:bus_stop;public_transport:platform
node/3376254,51.755621 -4.9967418,bus:yes;name:Johnston Railway Inn;public_transport:stop_position
node/9698913,52.9939748 -4.0909929,"bus:yes;name:Nantmor, Turn;public_transport:stop_position"
node/10280994,53.2838623 -3.8086287,name:Llandudno Junction;name:cy:Cyffordd Llandudno;name:en:Llandudno Junction;naptan:AtcoCode:9100LANDUDJ;network:National Rail;network:website:https://www.nationalrail.co.uk/stations/llj/;network:wikidata:Q26334;operator:en:Transport for Wales;operator:website:https://tfw.wales/places/stations/llandudno-junction;operator:wikidata:Q104878180;public_transport:station;railway:station;ref:crs:LLJ;train:yes;wheelchair:yes;wikidata:Q2344848;wikipedia:en:Llandudno Junction railway station
node/10281125,53.249742 -3.1322555,name:Flint;name:cy:Y Fflint;name:en:Flint;naptan:AtcoCode:9100FLINT;network:National Rail;network:website:https://www.nationalrail.co.uk/stations/fln/;network:wikidata:Q26334;operator:en:Transport for Wales;operator:website:https://tfw.wales/places/stations/flint;operator:wikidata:Q104878180;railway:station;ref:crs:FLN;source:NPE;wikidata:Q2110992;wikipedia:en:Flint railway station
node/10281147,53.214035 -3.0379443,addr:city:Shotton;addr:postcode:CH5 1BX;addr:street:Chester Road West;internet_access:no;name:Shotton Low Level;naptan:AtcoCode:9100SHOTTON;network:National Rail;operator:en:Transport for Wales;operator:website:https://tfw.wales/places/stations/shotton;operator:wikidata:Q104878180;public_transport:station;railway:station;ref:crs:SHT;wheelchair:yes;wikidata:Q2913893;wikipedia:en:Shotton railway station
node/10505243,51.7303705 -5.017422,bus:yes;name:Steynton;public_transport:stop_position
node/10515392,51.672568 -3.9499701,bus:yes;highway:bus_stop;public_transport:platform
node/18154990,51.5845063 -2.7597685,internet_access:no;name:Caldicot;naptan:AtcoCode:9100CDCOT;network:National Rail;network:website:https://www.nationalrail.co.uk/stations/cdt/;network:wikidata:Q26334;operator:en:Transport for Wales;operator:website:https://tfw.wales/places/stations/caldicot;operator:wikidata:Q104878180;public_transport:station;railway:station;ref:crs:CDT;source:Landsat photo;wikidata:Q2431706;wikipedia:en:Caldicot railway station
node/19840190,51.7157559 -5.0414117,name:Milford Haven;name:cy:Aberdaugleddau;name:en:Milford Haven;naptan:AtcoCode:9100MLFDHVN;network:National Rail;network:website:https://www.nationalrail.co.uk/stations/mfh/;network:wikidata:Q26334;operator:Trafnidiaeth Cymru;operator:cy:Trafnidiaeth Cymru;operator:en:Transport for Wales;operator:website:https://tfw.wales/places/stations/milford-haven;operator:wikidata:Q104878180;public_transport:station;railway:station;ref:crs:MFH;wikidata:Q3400252;wikipedia:en:Milford Haven railway station
node/19840233,51.7564283 -4.9968493,name:Johnston;naptan:AtcoCode:9100JHNSTND;network:National Rail;network:website:https://www.nationalrail.co.uk/stations/joh/;network:wikidata:Q26334;operator:en:Transport for Wales;operator:website:https://tfw.wales/places/stations/johnston-pembrokshire;operator:wikidata:Q104878180;public_transport:station;railway:station;ref:crs:JOH;request_stop:yes;train:yes;wikidata:Q1812881;wikipedia:en:Johnston railway station
node/19840285,51.8026795 -4.960232,name:Haverfordwest;name:cy:Hwlffordd;naptan:AtcoCode:9100HAVRFDW;network:National Rail;network:website:https://www.nationalrail.co.uk/stations/hvf/;network:wikidata:Q26334;operator:Trafnidiaeth Cymru;operator:cy:Trafnidiaeth Cymru;operator:en:Transport for Wales;operator:website:https://tfw.wales/places/stations/haverfordwest;operator:wikidata:Q104878180;public_transport:station;railway:station;ref:crs:HVF;wikidata:Q1931357;wikipedia:en:Haverfordwest railway station
node/19862316,52.0106512 -4.9862275,name:Fishguard Harbour;name:cy:Porthladd Abergwaun;naptan:AtcoCode:9100FGDHBR;network:National Rail;network:website:https://www.nationalrail.co.uk/stations/fgh/;network:wikidata:Q26334;operator:Trafnidiaeth Cymru;operator:cy:Trafnidiaeth Cymru;operator:en:Transport for Wales;operator:website:https://tfw.wales/places/stations/fishguard-harbour;operator:wikidata:Q104878180;railway:station;ref:crs:FGH;wikidata:Q2602643;wikipedia:en:Fishguard Harbour railway station
node/20068020,52.9332472 -3.06615,name:Chirk;name:cy:Y Waun;naptan:AtcoCode:9100CHIRK;network:National Rail;network:website:https://www.nationalrail.co.uk/stations/crk/;network:wikidata:Q26334;operator:en:Transport for Wales;operator:website:https://tfw.wales/places/stations/chirk;operator:wikidata:Q104878180;public_transport:station;railway:station;ref:crs:CRK;train:yes;wheelchair:yes;wikidata:Q2004430;wikipedia:en:Chirk railway station
node/20069422,52.9872119 -3.0433247,name:Ruabon;name:cy:Rhiwabon;naptan:AtcoCode:9100RUABON;network:National Rail;network:website:https://www.nationalrail.co.uk/stations/rua/;network:wikidata:Q26334;operator:en:Transport for Wales;operator:website:https://tfw.wales/places/stations/ruabon;operator:wikidata:Q104878180;public_transport:station;railway:station;ref:crs:RUA;train:yes;wikidata:Q2334676;wikipedia:en:Ruabon railway station
node/20455337,51.8517201 -4.8821672,name:Clarbeston Road;naptan:AtcoCode:9100CLARBRD;network:National Rail;network:website:https://www.nationalrail.co.uk/stations/clr/;network:wikidata:Q26334;operator:Trafnidiaeth Cymru;operator:cy:Trafnidiaeth Cymru;operator:en:Transport for Wales;operator:website:https://tfw.wales/places/stations/clarbeston-road;operator:wikidata:Q104878180;railway:station;ref:crs:CLR;request_stop:yes;wikidata:Q2137827;wikipedia:en:Clarbeston Road railway station
node/20466178,51.8401054 -4.7310195,alt_name:Clynderwen;name:Clunderwen;naptan:AtcoCode:9100CLYNDRW;network:National Rail;network:website:https://www.nationalrail.co.uk/stations/cuw/;network:wikidata:Q26334;operator:Trafnidiaeth Cymru;operator:cy:Trafnidiaeth Cymru;operator:en:Transport for Wales;operator:website:https://tfw.wales/places/stations/clunderwen;operator:wikidata:Q104878180;public_transport:station;railway:station;ref:crs:CUW;request_stop:yes;wikidata:Q3400242;wikipedia:en:Clunderwen railway station
node/20468177,51.818025 -4.6149893,name:Whitland;name:cy:Hendy-gwyn;naptan:AtcoCode:9100WHLAND;network:National Rail;network:website:https://www.nationalrail.co.uk/stations/wtl/;network:wikidata:Q26334;operator:Trafnidiaeth Cymru;operator:cy:Trafnidiaeth Cymru;operator:en:Transport for Wales;operator:website:https://tfw.wales/places/stations/whitland;operator:wikidata:Q104878180;railway:station;ref:crs:WTL;wikidata:Q2129176;wikipedia:en:Whitland railway station
