ext_id,coordinates,tags
node/755,59.9296625 10.7160479,bus:yes;name:Majorstuen (F);network:Ruter;public_transport:stop_position;ref:F
node/79248,59.9478741 10.7641113,bus:yes;name:Nydalsveien;network:Ruter;public_transport:stop_position
node/79349,59.9276662 10.6754387,bus:yes;name:Hoff terrasse;network:Ruter;public_transport:stop_position
node/79400,59.9144675 10.640266,bus:yes;name:Lysaker bru;network:Ruter;public_transport:stop_position
node/79463,59.9307562 10.7613053,bus:yes;name:Biermanns gate;network:Ruter;public_transport:stop_position
node/79592,59.9178809 10.7989845,bus:yes;name:Valle;network:Ruter;public_transport:stop_position
node/79606,59.9229952 10.7717523,bus:yes;name:Sofienberg;network:Ruter;operator:Sporveien Trikken;public_transport:stop_position
node/79784,59.9658668 10.777636,bus:yes;name:Stillatorvet;network:Ruter;public_transport:stop_position
node/103761,59.9669462 10.9085043,bus:yes;name:Rommi;network:Ruter;public_transport:stop_position
node/103766,59.96323 10.9033972,bus:yes;name:Sveiva;network:Ruter;public_transport:stop_position
node/103875,59.9441055 10.8175726,bus:yes;name:Brobekk;network:Ruter;public_transport:stop_position
node/104029,59.8820882 10.8340752,bus:yes;name:Bogerudmyra;network:Ruter;public_transport:stop_position
node/106330,59.9149363 10.7871375,bus:yes;network:Ruter;public_transport:stop_position
node/106389,59.8974803 10.7757564,bus:yes;name:Ekeberg Camping;network:Ruter;public_transport:stop_position
node/106457,59.874618 10.7598893,bus:yes;name:Malmøysundet;network:Ruter;public_transport:stop_position
node/106719,59.96388 10.7342283,bus:yes;name:Kringsjå;network:Ruter;public_transport:stop_position
node/158022,60.0043129 11.031652,bus:yes;name:Skedsmokorset;network:Ruter;public_transport:stop_position
node/158375,59.9196843 10.9740323,bus:yes;network:Ruter;public_transport:stop_position
node/158501,59.9280805 10.8654933,bus:yes;name:Trosterudkrysset;network:Ruter;public_transport:stop_position
node/158587,59.9174604 10.8512826,bus:yes;name:Haugerudveien;network:Ruter;public_transport:stop_position
node/158650,59.9105571 10.8601437,bus:yes;name:Krokstien;network:Ruter;public_transport:stop_position
node/158812,59.7909834 10.8824484,bus:yes;network:Ruter;public_transport:stop_position
node/158826,59.8020831 10.8814433,bus:yes;network:Ruter;public_transport:stop_position
node/159465,59.8180953 10.7874775,bus:yes;name:Trollåsveien;network:Ruter;public_transport:stop_position
node/191799,59.9036061 10.6869245,bus:yes;name:Fredriksborg;network:Ruter;public_transport:stop_position
node/191833,59.9012012 10.6789746,bus:yes;name:Frimurerhjemmet;network:Ruter;public_transport:stop_position
node/191848,59.9016817 10.6877447,bus:yes;name:Langvik;network:Ruter;public_transport:stop_position
node/191893,59.9018556 10.6946341,bus:yes;name:Herbernveien;network:Ruter;public_transport:stop_position
node/194481,59.9626396 10.6464615,bus:yes;name:Himstadplassen;network:Ruter;public_transport:stop_position
node/194484,59.962061 10.642287,highway:bus_stop;name:Bogstad Camping;ref:nsrq:11792;shelter:yes
node/261028,59.915527 10.934442,bus:yes;network:Ruter;public_transport:stop_position
node/275948,59.9474802 10.72201,bus:yes;name:Domus Athletica;network:Ruter;public_transport:stop_position
node/277520,59.9401443 10.7727662,bus:yes;name:Nordpolen skole;network:Ruter;public_transport:stop_position
node/280735,59.8724827 10.8012109,bus:yes;name:Ringshusveien;network:Ruter;public_transport:stop_position
node/280969,59.9490155 10.767561,bus:yes;name:Nydalen T;network:Ruter;public_transport:stop_position
node/325127,59.9449323 10.6794604,bus:yes;name:Holmendammen;network:Ruter;public_transport:stop_position
node/328526,59.9122768 10.7796836,bus:yes;name:Kampen;network:Ruter;public_transport:stop_position
node/328578,59.910086 10.7773531,bus:yes;name:Kjølberggata;network:Ruter;public_transport:stop_position
node/582496,59.9371148 10.8195871,bus:yes;name:Kroklia;network:Ruter;public_transport:stop_position
node/647570,59.9655934 10.7824894,bus:yes;name:Kjelsås stasjon;network:Ruter;public_transport:stop_position
node/647596,59.9170734 10.9582876,bus:yes;network:Ruter;public_transport:stop_position
node/649694,59.973819 10.9198,bus:yes;name:Bånkallstubben;network:Ruter;public_transport:stop_position
node/650140,59.9622411 10.89698,bus:yes;name:Gangtunnelen;network:Ruter;public_transport:stop_position
node/650150,59.9630109 10.8901274,bus:yes;name:Tiurleiken;network:Ruter;public_transport:stop_position
node/650599,59.9437121 10.841489,bus:yes;name:Veitvetstubben;network:Ruter;public_transport:stop_position
node/660905,59.9139467 10.7514288,bus:yes;name:Storgata;operator:Unibuss;Nobina;public_transport:stop_position
node/660921,59.9110251 10.7531379,alt_name:Oslo sentralstasjon;name:Oslo S;name:de:Oslo Hauptbahnhof;name:en:Oslo Central Station;name:et:Oslo keskraudteejaam;name:fi:Oslon keskusrautatieasema;name:fr:Gare centrale d'Oslo;name:no:Oslo S;name:zh:奥斯陆站;official_name:Oslo sentralstasjon;operator:Bane NOR;public_transport:station;railway:station;railway:traffic_mode:mixed;ref:03010010;route_ref:300;400;440;450;460;500;550;560;FT;R01;R20;R21;R41;start_date:1854-09-01;toilets:wheelchair:yes;uic_ref:7600001;wheelchair:yes;wikidata:Q1410317;wikipedia:no:Oslo Sentralstasjon
node/662104,59.916911 10.8270532,bus:yes;name:Fretex;network:Ruter;public_transport:stop_position
node/662164,59.9223751 10.830653,bus:yes;name:Ole Deviks vei;network:Ruter;public_transport:stop_position
node/682977,59.9180035 10.7401616,"image:https://photos.app.goo.gl/9E4uJyGiRutpAVeQ9;name:St. Olavs plass;source:bing;tourism:artwork;wikidata:Q12002560;wikimedia_commons:Category:St. Olavs plass, Oslo"
node/1024822,59.9521712 11.0333173,bus:yes;network:Ruter;public_transport:stop_position
node/1024858,59.9371774 10.6851895,bus:yes;name:Smestad;network:Ruter;public_transport:stop_position
node/1024930,59.9327115 10.7340757,bus:yes;name:Adamstuen;network:Ruter;public_transport:stop_position
node/1028887,59.9421794 10.7422899,artwork_type:sculpture;tourism:artwork
node/1705118,59.9004156 10.7791159,bus:yes;name:Utsikten;network:Ruter;public_transport:stop_position
node/5838244,59.9449905 10.7044646,bus:yes;name:Risalléen;network:Ruter;public_transport:stop_position
node/6923051,59.9377736 10.7740443,bus:yes;name:Haarklous plass;network:Ruter;public_transport:stop_position
node/7190576,59.9188244 10.8475863,bus:yes;name:Sigrid Undsets vei;network:Ruter;public_transport:stop_position
node/10527460,59.844466 10.8375818,bus:yes;name:Lofsrud;network:Ruter;public_transport:stop_position
node/10529401,59.8844521 10.7691176,bus:yes;name:Bekkelagsveien;network:Ruter;public_transport:stop_position
node/13822937,59.9323843 10.7244173,bus:yes;name:Marienlyst;network:Ruter;public_transport:stop_position
node/20240288,59.9150274 10.716252,bus:yes;name:Skovveien;network:Ruter;public_transport:stop_position
node/21288205,59.944637 10.930474,bench:no;bus:yes;highway:bus_stop;name:Vardeheim;public_transport:platform;ref:nsrq:10452;shelter:no;tactile_paving:no
node/21292050,59.9531081 10.9133912,bus:yes;name:Smedstua;network:Ruter;public_transport:stop_position
node/21292064,59.9545817 10.8987967,bus:yes;name:Haavard Martinsens vei;network:Ruter;public_transport:stop_position
node/21298033,59.9404857 10.8565068,bus:yes;name:Veitvetveien;network:Ruter;public_transport:stop_position
node/21299434,59.9346659 10.8710154,bus:yes;name:IKEA Furuset;network:Ruter;public_transport:stop_position
node/21299445,59.9316982 10.8589051,bus:yes;name:Kjelsrud;network:Ruter;public_transport:stop_position
node/21742966,59.8796957 10.8057071,bus:yes;name:Karlsrud T;network:Ruter;public_transport:stop_position
node/21744860,59.8751911 10.8419526,bus:yes;name:Bogerud T;network:Ruter;public_transport:stop_position
node/23598281,59.8890302 10.7347941,amenity:ferry_terminal;ferry:yes;name:Bleikøya;network:Ruter;public_transport:stop_position
node/23603727,59.8714621 10.725524,amenity:ferry_terminal;ferry:yes;name:Langøyene;network:Ruter;public_transport:stop_position
node/24986362,59.9516656 10.7720813,name:Nydalen;operator:Jernbaneverket;public_transport:stop_position;railway:stop;railway:position:8.5;train:yes
node/24986574,59.9662393 10.7831465,name:Kjelsås;operator:Jernbaneverket;public_transport:stop_position;railway:stop;railway:position:10.28;train:yes
node/25041423,59.9401125 10.7160898,name:Blindern;network:Ruter;old_name:Blindernveien;operator:Sporveien T-banen;public_transport:stop_position;railway:stop;subway:yes;toilets:wheelchair:no;wheelchair:limited
node/25047615,59.9466517 10.7319265,name:Ullevål stadion;network:Ruter;operator:Sporveien T-banen;public_transport:stop_position;railway:stop;subway:yes
node/25049175,59.9512469 10.7453664,name:Berg;network:Ruter;operator:Sporveien T-banen;public_transport:stop_position;railway:halt;subway:yes;wikidata:Q4891391
node/25050729,59.9538644 10.7523093,name:Tåsen;network:Ruter;operator:Sporveien T-banen;public_transport:stop_position;railway:halt;subway:yes;wikidata:Q7862180
node/25298228,59.9671305 10.7340042,name:Sognsvann;network:Ruter;old_name:Sognsvatn;operator:Sporveien T-banen;public_transport:stop_position;railway:halt;subway:yes;wikidata:Q6515864
node/25298233,59.9636716 10.7349676,name:Kringsjå;network:Ruter;operator:Sporveien T-banen;public_transport:stop_position;railway:halt;subway:yes;wikidata:Q6515495
node/25298243,59.960455 10.7409511,name:Holstein;network:Ruter;operator:Sporveien T-banen;public_transport:stop_position;railway:halt;subway:yes;wheelchair:no;wheelchair:description:Not accsesible towards Sognsvann;wikidata:Q11975723
node/25298260,59.9569366 10.7498266,name:Østhorn;network:Ruter;operator:Sporveien T-banen;public_transport:stop_position;railway:halt;subway:yes;wikidata:Q8079268
node/25313788,59.9358803 10.8310597,name:Vollebekk;network:Ruter;operator:Sporveien T-banen;public_transport:stop_position;railway:stop;subway:yes
node/25313797,59.9325223 10.8231081,name:Risløkka;network:Ruter;operator:Sporveien T-banen;public_transport:stop_position;railway:stop;subway:yes
node/25313799,59.9282792 10.8062685,name:Økern;network:Ruter;operator:Sporveien T-banen;public_transport:stop_position;railway:stop;subway:yes
node/25313829,59.9271254 10.811898,bus:yes;name:Kabelgata;network:Ruter;public_transport:stop_position
node/25313858,59.9394982 10.8309343,bus:yes;name:Linne hotell;network:Ruter;public_transport:stop_position
