ext_id,coordinates,tags
78348,63.4304961 10.3950581,"artist_name:Wilhelm Rasmussen;artwork_type:statue;description:Monument of King Olav 1 Tryggvason, founder of Trondheim.;height:18;historic:memorial;memorial:statue;name:Olav Tryggvason;start_date:1921;tourism:artwork;wheelchair:yes;wikidata:Q15037602;wikipedia:en:Olav Tryggvason (statue)"
682977,59.9180035 10.7401616,"image:https://photos.app.goo.gl/9E4uJyGiRutpAVeQ9;name:St. Olavs plass;source:bing;tourism:artwork;wikidata:Q12002560;wikimedia_commons:Category:St. Olavs plass, Oslo"
1028887,59.9421794 10.7422899,artwork_type:sculpture;tourism:artwork
10587816,58.582969 7.797222,amenity:fuel;branch:Evje;brand:YX;car_wash:yes;email:evje@st.yx.no;fuel:HGV_diesel:yes;fuel:adblue:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:propane:yes;hgv:yes;name:YX Evje;phone:+47 37929560;ref:yx:10400561;trailer:rental:yes
21646553,60.514762 5.228142,"alt_name:Frekhaug bilsenter AS;amenity:fuel;branch:Frekhaug;brand:Esso;car_wash:yes;compressed_air:yes;cuisine:burger;fuel:HGV_diesel:yes;fuel:adblue:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;fuel:propane:yes;fuel:taxfree_diesel:yes;name:Esso Frekhaug;opening_hours:Mo-Fr 06:00-23:00, Sa 08:00-23:00, Su 09:00-23:00;phone:+47 56177900;ref:esso:100115927;trailer:rental:yes"
21657158,60.545789 5.289275,amenity:fuel;automated:yes;branch:Knarvik;brand:Circle K;compressed_air:no;email:dshelpno@statoilfuelretail.com;fuel:HGV_diesel:yes;fuel:adblue:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:taxfree_diesel:yes;hgv:yes;name:Circle K Automat Knarvik;opening_hours:24/7;phone:+4722962530;ref:circlek:57072
21702293,58.026652 7.465308,"amenity:fuel;branch:Mandal;brand:Best;car_wash:yes;email:mandal@beststasjon.no;fast_food:yes;fuel:propane:yes;name:Best Mandal;opening_hours:Mo-Fr 06:30-23:00, Sa 08:00-23:00, Su 09:00-23:00;phone:+47 38264972;ref:best:398;service:vehicle:car_repair:yes;service:vehicle:tyres:yes;shop:yes"
21757411,60.474211 5.337153,"amenity:fuel;branch:Nyborg;brand:Esso;brand:wikidata:Q867662;car_wash:yes;fuel:HGV_diesel:yes;fuel:adblue:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;fuel:propane:yes;fuel:taxfree_diesel:yes;hgv:yes;name:Esso Nyborg;opening_hours:Mo-Th 00:00-24:00, Fr 00:00-23:00, Sa 07:30-23:00, Su 07:30-24:00;phone:+47 55181962;ref:esso:100115181;trailer:rental:yes"
21757415,60.488522 5.377541,amenity:fuel;branch:Haukås Nyborg;brand:Shell;brand:wikidata:Q110716465;fuel:adblue:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;fuel:taxfree_diesel:yes;hgv:yes;name:Shell Haukås Nyborg;opening_hours:24/7;phone:+47 55935000;ref:st1:9144
24935532,58.039477 7.433563,alt_name:XY Mones;amenity:fuel;branch:Mones;brand:YX;car_wash:yes;email:mones@st.yx.no;fuel:HGV_diesel:yes;fuel:diesel:yes;fuel:octane_95:yes;hgv:yes;name:YX Mones;phone:+47 38264900;ref:yx:10400332;trailer:rental:yes
24935548,58.1688029 7.550021,amenity:fuel;created_by:JOSM
24935555,59.559207 7.35628,alt_name:Hovden Bensin & Service AS;amenity:fuel;branch:Hovden;brand:YX;car_wash:yes;email:hovden@st.yx.no;fuel:HGV_diesel:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:propane:yes;hgv:yes;name:YX Hovden;opening_hours:Mo-Su 09:00-20:00;phone:+47 41346569;ref:yx:10400805;trailer:rental:yes
25046488,58.0692937 7.3890935,name:Sjølingstad Uldvarefabrik;operator:Vest-Agder-museet;tourism:museum
25074290,58.0173048 7.4429775,amenity:shelter;ele:56;name:Hobdeheia;natural:hill;place:locality;ssr:stedsnr:510763;ssr:type:hei;tourism:viewpoint
25272409,60.408951 5.322954,amenity:fuel;automated:yes;branch:Sandviken;brand:Shell;fuel:diesel:yes;fuel:octane_95:yes;name:Shell Express Sandviken;opening_hours:24/7;phone:+47 22665600;ref:st1:4461
25338842,68.330137 16.7869514,created_by:JOSM;name:Martinstollen;tourism:attraction
25416923,59.913388 10.72853,"amenity:cinema;email:post@kinovictoria.no;facebook:http://www.facebook.com/KinoVictoria;name:Vika kino;opening_hours:Mo-Fr 11:30-22:00; Sa,Su,PH 12:30-22:00;operator:Oslo Kino;start_date:2013-12-13;wikidata:Q12009749;wikimedia_commons:Category:Kino Victoria Oslo"
25416924,59.913468 10.732893,amenity:cinema;check_date:2022-12-19;name:Klingenberg kino;website:https://www.nfkino.no/kino/klingenberg;wheelchair:limited;wikidata:Q11981166;wikimedia_commons:Category:Klingenberg kino
