ext_id,coordinates,tags
78348,63.4304961 10.3950581,"artist_name:Wilhelm Rasmussen;artwork_type:statue;description:Monument of King Olav 1 Tryggvason, founder of Trondheim.;height:18;historic:memorial;memorial:statue;name:Olav Tryggvason;start_date:1921;tourism:artwork;wheelchair:yes;wikidata:Q15037602;wikipedia:en:Olav Tryggvason (statue)"
24935548,58.1688029 7.550021,amenity:fuel;created_by:JOSM
25647522,60.3946308 5.3237097,amenity:marketplace;cuisine:seafood;level:0;name:Fisketorget;name:en:Bergen Fish Market;wikidata:Q12007038;wikipedia:no:Torget (Bergen)
26861403,62.4765966 6.1595271,capacity:50;caravans:no;fee:yes;internet_access:wlan;internet_access:fee:no;motorhome:yes;name:Hjelsetgården bobilparkering;payment:cards:yes;payment:cash:yes;payment:easypark:yes;payment:flexipark:yes;power_supply:yes;reservation:no;sanitary_dump_station:yes;shower:yes;tents:no;toilets:yes;tourism:caravan_site;website:https://www.alesundbobil.no/parkering/hjelsetgarden-bobilparkering/
27496964,58.7748715 5.7244814,amenity:place_of_worship;name:Frøyland Forsamlingshus;religion:christian
29594326,60.984623 9.244288,amenity:fuel;branch:Fagernes;brand:Shell;car_wash:yes;fuel:HGV_diesel:yes;fuel:adblue:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;fuel:taxfree_diesel:yes;hgv:yes;name:Shell Fagernes;opening_hours:24/7;phone:+47 61360098;ref:st1:9052
30128090,60.3126947 5.3554694,amenity:fuel;branch:Nesttun;brand:Esso;brand:wikidata:Q867662;car_wash:yes;fuel:HGV_diesel:yes;fuel:adblue:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:propane:yes;fuel:taxfree_diesel:yes;name:Esso Nesttun;opening_hours:24/7;phone:+47 55112200;ref:esso:100115393;trailer:rental:yes;wheelchair:yes
31026175,59.928846 10.750035,amenity:fuel;branch:Kiellands plass;brand:Circle K;brand:wikidata:Q3268010;car_wash:yes;email:51435@circlekeurope.com;fuel:HGV_diesel:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:propane:yes;hgv:yes;internet_access:wlan;name:Circle K Kiellands plass;opening_hours:24/7;phone:+4722809850;ref:circlek:51435;trailer:rental:yes;vacuum_cleaner:yes
32575877,62.2214612 12.0150272,capacity:43;dnt:classification:betjent;dnt:iid:118;dnt:lock:yes;ele:830;name:Svukuriset;network:Den Norske Turistforening;operator:DNT Oslo og Omegn;ref:kartverket:hytte:1136;service:full;source:http://svukuriset.turistforeningen.no/;source:date:2011-06-28 14:01:20;tourism:alpine_hut;website:https://ut.no/hytte/svukuriset
33491797,69.973612 23.365614,amenity:fuel;branch:Elvebakken;brand:Circle K;car_wash:yes;email:52695@circlekeurope.com;fuel:HGV_diesel:yes;fuel:adblue:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:propane:yes;fuel:taxfree_diesel:yes;hgv:yes;internet_access:wlan;name:Circle K Elvebakken;opening_hours:24/7;phone:+4778430033;ref:circlek:52695;shop:yes
